"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717741400969896E9,"2024-06-07 08:23:20.970 UTC+02:00"
"PAUSE",5.964185583750077E2,1.717741997384350E9,"2024-06-07 08:33:17.384 UTC+02:00"
