"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717584239967973E9,"2024-06-05 12:43:59.968 UTC+02:00"
"PAUSE",3.946445166686317E0,1.717584243914467E9,"2024-06-05 12:44:03.914 UTC+02:00"
"START",3.946445166686317E0,1.717584528779383E9,"2024-06-05 12:48:48.779 UTC+02:00"
"PAUSE",3.386794135416858E2,1.717584863511548E9,"2024-06-05 12:54:23.512 UTC+02:00"
