"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.801734460E-1,1.403298378E-1,-1.558718085E0,6.039676666E-1
7.901734460E-1,1.113200188E-1,-1.467351437E0,8.315954208E-1
8.001734460E-1,2.020026147E-1,-1.389924645E0,2.389535904E-1
8.101734460E-1,1.907790005E-1,-1.289714217E0,-3.031797409E-1
8.201734460E-1,1.870325059E-1,-1.120164871E0,-6.503620148E-1
8.301734460E-1,6.740796566E-2,-9.339820147E-1,-9.010448456E-1
8.401734460E-1,-3.605793417E-1,-6.180960536E-1,-7.837018967E-1
8.501734460E-1,-1.984853506E0,2.694842815E-1,5.295324326E-1
8.601734460E-1,-4.591038227E0,1.930418849E0,3.352913857E0
8.701734460E-1,-5.422024250E0,3.269029856E0,5.897192001E0
8.801734460E-1,-3.322319508E0,2.879877329E0,5.940386772E0
8.901734460E-1,1.395967156E-1,1.408639789E0,4.308027267E0
9.001734460E-1,2.375506163E0,9.424884319E-1,1.248365402E0
9.101734460E-1,3.323246956E0,1.717427969E-1,2.990560532E-1
9.201734460E-1,3.579207659E0,-3.605669737E-1,-6.817150116E-2
9.301734460E-1,3.776591778E0,-5.712605119E-1,-6.555843353E-1
9.401734460E-1,3.630616188E0,-2.395921946E-1,-1.420003891E0
9.501734460E-1,3.329925537E0,4.439395666E-1,-1.565223694E0
9.601734460E-1,2.452030897E0,5.854578018E-1,-1.096922874E0
9.701734460E-1,1.519926548E0,3.466615677E-1,-2.525987625E-1
9.801734460E-1,8.974354267E-1,-1.440072060E-2,6.347780228E-1
9.901734460E-1,7.678694725E-1,-4.015098810E-1,8.319272995E-1
1.000173446E0,1.178448677E0,-6.120024920E-1,4.914245605E-1
1.010173446E0,1.727035165E0,-6.651348472E-1,3.822603226E-1
1.020173446E0,1.768652201E0,-5.714964867E-1,4.351940155E-1
1.030173446E0,3.342090249E-1,2.557812929E-1,-3.730258942E-1
1.040173446E0,-1.052780032E0,1.168821216E0,-9.629058838E-1
1.050173446E0,-1.560424209E0,1.251769185E0,-1.115362167E0
1.060173446E0,-1.595665097E0,1.067737460E0,-1.250051498E0
1.070173446E0,-1.474720597E0,8.566142321E-1,-1.375143051E0
1.080173446E0,-1.288560033E0,6.973224878E-1,-1.050045967E0
1.090173446E0,-1.125012755E0,6.220475435E-1,-7.815942764E-1
