"event","experiment time","system time","system time text"
"START",0.000000000E0,1717583605.893,"2024-06-05 12:33:25.893 UTC+02:00"
"PAUSE",1.480420530E2,1717583753.935,"2024-06-05 12:35:53.935 UTC+02:00"
