"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.109397917E-1,2.100881195E0,-2.519261169E-1,6.980284424E0
8.209657917E-1,1.280886383E0,-4.001179504E-1,6.881190491E0
8.309917917E-1,2.814147949E-1,1.514849854E-1,6.527326355E0
8.410177917E-1,-4.138893127E-1,9.828561401E-1,7.177274780E0
8.510427917E-1,-6.638694763E-1,1.037492523E0,7.547904053E0
8.610687917E-1,-2.496807861E-1,2.847079468E-1,8.033943329E0
8.710947917E-1,5.580395508E-1,-8.545729065E-1,1.207823318E1
8.811197917E-1,1.942360840E0,-1.240021362E0,1.414782944E1
8.911457917E-1,2.142943726E0,-7.997868347E-1,1.374950775E1
9.011717917E-1,2.376308441E0,-7.590715027E-1,1.264046402E1
9.111967917E-1,1.921853485E0,-9.949809265E-1,1.070184540E1
9.212227917E-1,1.253643036E0,-7.780819702E-1,1.005803421E1
9.312487917E-1,8.132588196E-1,-8.143066406E-2,1.006447083E1
9.412747917E-1,3.245251465E-1,5.635780334E-1,1.025592270E1
9.512997917E-1,2.369572449E-1,5.087919617E-1,1.041638901E1
9.613257917E-1,3.462300110E-1,1.830693054E-1,1.017973114E1
9.713517917E-1,1.803749084E-1,1.336720276E-1,9.765243073E0
9.813767917E-1,-6.331832886E-2,1.886077881E-1,9.450747070E0
9.914027917E-1,-4.775070190E-2,2.164498901E-1,9.324858856E0
1.001428792E0,2.107617188E-1,3.487747192E-1,9.328601074E0
1.011454792E0,6.164181519E-1,4.465214539E-1,9.273216248E0
1.021479792E0,1.008003845E0,4.827461243E-1,9.167835388E0
1.031505792E0,1.206491089E0,6.403683472E-1,9.026529236E0
1.041531792E0,1.284179535E0,7.530839539E-1,9.162596283E0
1.051556792E0,1.504970398E0,5.957611084E-1,9.451495514E0
1.061582792E0,1.356778564E0,5.059478760E-1,9.713750153E0
1.071608792E0,9.696835327E-1,5.176235962E-1,9.812844086E0
1.081633792E0,8.437953186E-1,5.075944519E-1,9.697733459E0
1.091659792E0,8.819659424E-1,6.277944946E-1,9.828860779E0
1.101685792E0,1.117126923E0,8.379574585E-1,1.003573059E1
1.111710792E0,1.301244049E0,1.024170227E0,9.685758362E0
1.121736792E0,9.722282410E-1,1.183439026E0,9.093889160E0
1.131762792E0,8.223898315E-1,1.184337158E0,8.981173553E0
1.141788792E0,7.670050049E-1,1.171014862E0,9.324260101E0
1.151813792E0,6.402186584E-1,1.458866272E0,9.833501129E0
1.161839792E0,6.188131714E-1,1.791025543E0,9.993368683E0
1.171865792E0,7.602690125E-1,1.882185974E0,9.680668945E0
1.181890792E0,8.815168762E-1,2.119143219E0,9.543105011E0
1.191916792E0,8.960366821E-1,2.292632446E0,9.855655060E0
1.201942792E0,9.084608459E-1,2.293380890E0,9.884994049E0
1.211968792E0,8.408015442E-1,2.299218750E0,9.656718750E0
1.221993792E0,7.369175720E-1,2.320175171E0,9.321116638E0
1.232019792E0,6.942562866E-1,2.376158752E0,9.111702118E0
1.242045792E0,7.445516968E-1,2.482886810E0,9.090895386E0
1.252070792E0,7.346722412E-1,2.588716736E0,9.254056091E0
