"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.545447917E-1,3.208784574E-1,5.099234710E-1,2.809178401E0
7.645707917E-1,4.605052894E-1,1.007259495E0,2.056130115E0
7.745967917E-1,1.483743397E-1,1.708409356E0,1.207528970E0
7.846217917E-1,4.891710448E-1,1.664738110E0,1.704404891E-1
7.946477917E-1,1.033422423E0,9.855455670E-1,-1.162167440E0
8.046737917E-1,1.267168523E0,-1.283836230E-1,-2.368001887E0
8.146987917E-1,8.495443741E-1,-8.006713723E-1,-2.825906115E0
8.247247917E-1,-2.369964212E-2,-6.158652976E-1,-3.041948454E0
8.347507917E-1,-8.628706171E-1,2.555332277E-1,-3.073231643E0
8.447767917E-1,-1.268754580E0,9.987694106E-1,-2.426079941E0
8.548017917E-1,-1.208625542E0,8.744546822E-1,-2.177157539E0
8.648277917E-1,-4.582356561E-1,2.611118004E-2,-6.723917931E-1
8.748537917E-1,7.198524731E-1,-8.885730768E-1,3.644840242E0
8.848787917E-1,1.817733285E0,-8.428631262E-1,4.215063636E0
8.949047917E-1,1.954601840E0,-4.707455547E-1,3.738593329E0
9.049307917E-1,2.084061679E0,-7.173583433E-1,2.035844954E0
9.149557917E-1,1.411202109E0,-9.053582402E-1,5.011075509E-1
9.249817917E-1,8.097520251E-1,-5.459646119E-1,2.250827193E-1
9.350077917E-1,3.052064941E-1,1.623039971E-1,3.118840510E-1
9.450337917E-1,-1.454113728E-1,5.146738952E-1,5.492886078E-1
9.550587917E-1,-1.452377105E-1,2.206842062E-1,5.688954914E-1
9.650847917E-1,-1.896655859E-1,-9.925136939E-2,2.357597351E-1
9.751107917E-1,-5.279250745E-1,-1.211662037E-1,-1.630180335E-1
9.851357917E-1,-7.858826675E-1,-1.680543134E-1,-3.979398626E-1
9.951617917E-1,-7.500347040E-1,-1.629894187E-1,-4.470997435E-1
1.005187792E0,-5.110491331E-1,-8.470795535E-2,-4.465553677E-1
1.015213792E0,-1.210826068E-1,-8.896783467E-2,-5.054245502E-1
1.025238792E0,1.605369868E-1,-6.461758018E-2,-6.433013105E-1
1.035264792E0,2.909830324E-1,5.465122037E-2,-7.007911348E-1
1.045290792E0,3.729373877E-1,1.516336508E-2,-4.689566356E-1
1.055315792E0,5.514433068E-1,-2.394852886E-1,-1.695932275E-1
1.065341792E0,2.142329183E-1,-3.145388331E-1,5.180925429E-2
1.075367792E0,-6.603867285E-2,-4.047631978E-1,5.861599803E-2
1.085392792E0,-1.250237764E-1,-4.521400434E-1,-1.100972235E-2
1.095418792E0,-2.046883620E-2,-3.530724958E-1,2.333541906E-1
1.105444792E0,2.740674030E-1,-2.203136571E-1,2.889787531E-1
1.115469792E0,2.805806896E-1,-1.296250235E-1,-2.576657438E-1
1.125495792E0,-3.872654781E-2,-9.840659291E-2,-6.864496690E-1
1.135521792E0,-6.132311270E-2,-2.335363314E-1,-6.092822099E-1
1.145547792E0,-1.418663887E-1,-2.078619383E-1,-1.343257463E-1
1.155572792E0,-2.135705019E-1,9.954986975E-2,2.935927910E-1
1.165598792E0,-1.539182311E-1,2.902657253E-1,2.674200690E-1
1.175624792E0,1.835075542E-2,3.592942987E-1,-9.710880339E-2
1.185649792E0,8.014617696E-2,6.030907394E-1,1.257969975E-2
1.195675792E0,8.117177859E-2,6.526306893E-1,2.731766528E-1
1.205701792E0,7.802086025E-2,6.369448024E-1,1.883195204E-1
1.215727792E0,-2.219164521E-2,6.282499927E-1,-9.927519679E-2
1.225752792E0,-1.185489352E-1,6.355838630E-1,-4.045817149E-1
1.235778792E0,-1.357368987E-1,7.006983103E-1,-5.446377325E-1
1.245804792E0,-1.202394383E-1,7.853906974E-1,-4.728210604E-1
1.255829792E0,-2.073771311E-1,8.768816422E-1,-3.007047594E-1
1.265855792E0,-2.903863972E-1,8.819707663E-1,-1.939544821E-1
1.275881792E0,-3.029806419E-1,8.287467782E-1,-2.536925608E-1
1.285906792E0,-1.231134179E-1,7.567565900E-1,-8.686512476E-1
1.295932792E0,-3.395826770E-1,5.928458329E-1,-2.181261114E0
1.305958792E0,-3.630922115E-1,5.222676010E-1,-2.680836695E0
1.315984792E0,-4.763752905E-1,9.447828725E-2,-2.703964187E0
1.326009792E0,-3.789664518E-1,-4.174185459E-1,-2.669967890E0
1.336035792E0,-9.326679533E-1,-8.386751311E-1,-2.258235615E0
1.346061792E0,-1.034854333E0,-1.151249665E0,-1.183417391E0
1.356086792E0,-4.145430315E-1,-9.901332924E-1,-1.613188326E-1
1.366112792E0,-3.843771728E-1,-4.291935957E-1,1.334235209E-1
1.376138792E0,-7.652238699E-1,-4.483465891E-2,1.007434326E-1
1.386163792E0,-5.409344716E-1,8.244418753E-2,2.602689242E-1
1.396189792E0,-4.921374835E-2,2.500442545E-2,7.149109912E-1
1.406215792E0,2.009761110E-1,1.391123867E-1,7.178439546E-1
1.416241792E0,4.117961557E-1,2.511930954E-2,1.237152718E0
1.426266792E0,8.302253198E-1,-8.254664171E-2,1.411555281E0
1.436292792E0,1.244113682E0,-9.741516095E-2,1.362490709E0
1.446318792E0,1.110281222E0,-3.661537405E-1,1.795303366E0
1.456343792E0,8.296001793E-1,-3.149249686E-1,1.762001719E0
1.466369792E0,5.064530023E-1,-3.785151199E-1,1.755093234E0
1.476395792E0,2.833352398E-1,-4.194475298E-1,1.682283120E0
1.486420792E0,2.741364732E-1,-3.014468441E-1,1.556897766E0
1.496447292E0,6.283088303E-1,4.241160929E-2,1.088819382E0
1.506473292E0,9.224918246E-1,2.605348995E-1,5.166243070E-1
1.516499292E0,9.213225277E-1,3.413281439E-1,2.172591448E-1
1.526524292E0,7.390129218E-1,4.248983773E-1,-8.917003870E-3
1.536550292E0,5.978671293E-1,5.472863019E-1,-2.599672079E-1
1.546576292E0,6.344014098E-1,6.791545366E-1,-4.018633443E-1
1.556601292E0,4.045663659E-1,3.024106114E-1,-6.382288510E-1
1.566627292E0,1.597620115E-1,-4.527133629E-2,-1.070222898E0
1.576653292E0,-1.898637700E-1,-2.392597322E-1,-1.250145816E0
1.586678292E0,-4.887209554E-1,-3.825046020E-1,-1.298263139E0
1.596704292E0,-7.262597059E-1,-3.793482019E-1,-1.273147593E0
1.606730292E0,-1.027858797E0,-1.512136745E-1,-1.073520142E0
1.616756292E0,-1.214252829E0,2.457714839E-1,-9.213317370E-1
1.626781292E0,-1.332348020E0,4.913881628E-1,-6.421681201E-1
1.636807292E0,-1.448873965E0,6.689340422E-1,-5.284046924E-1
1.646833292E0,-1.414837323E0,9.131732632E-1,-4.212842864E-1
1.656858292E0,-1.245829986E0,5.384548867E-1,-3.988403338E-1
1.666884292E0,-1.126692967E0,3.229022518E-2,-6.112328410E-1
1.676910292E0,-7.116973615E-1,-1.256341526E-1,-7.112412786E-1
1.686936292E0,-2.398399953E-1,-1.622690052E-1,-5.380946982E-1
1.696961292E0,4.158117311E-1,-1.466528463E-1,1.987275642E-1
1.706987292E0,1.111842794E0,1.150637023E-1,7.736024183E-1
1.717013292E0,1.266257819E0,3.012326168E-1,1.128476953E0
1.727038292E0,1.338967946E0,1.785849296E-1,1.572114560E0
1.737064292E0,1.396537584E0,6.573176712E-2,1.612696576E0
1.747090292E0,9.617345354E-1,5.432180285E-2,1.567563087E0
1.757115292E0,3.069776523E-1,1.731505273E-1,1.206362450E0
1.767141292E0,-4.250061853E-1,2.571430027E-1,3.952156448E-1
1.777167292E0,-1.138180846E0,3.823984019E-1,-4.477622330E-1
1.787193292E0,-1.649748042E0,5.123498462E-1,-1.300110274E0
1.797218292E0,-1.671448814E0,3.976030630E-1,-1.779135230E0
1.807244292E0,-8.504737160E-1,5.745719683E-1,-1.977212584E0
1.817270292E0,-3.245114421E-1,8.169776487E-1,-1.756542174E0
1.827295292E0,-4.275303187E-2,5.441114831E-1,-1.225689252E0
1.837321292E0,2.269067948E-1,-1.102805337E-1,-1.391787014E0
1.847347292E0,2.228409699E-1,-8.371028879E-1,-1.190084971E0
1.857373292E0,6.605251613E-1,-7.923719805E-1,-5.052462101E-1
1.867398292E0,1.405715666E0,-2.963982850E-2,1.737323545E0
1.877424292E0,1.301799535E0,1.130427584E-1,4.076520878E0
1.887450292E0,5.673327864E-1,1.041166914E-1,4.287410651E0
1.897475292E0,-2.148689127E-1,6.385177034E-1,3.227247888E0
1.907501292E0,2.008667315E-1,4.213225856E-1,1.313334922E0
1.917527292E0,7.547180314E-2,-3.463118720E-1,6.175618672E-1
1.927553292E0,-4.196244811E-1,-4.444366291E-1,3.572397333E-1
1.937578292E0,-5.307917817E-1,-1.187458402E-1,1.236107236E-1
1.947604292E0,-5.617389379E-1,9.094876170E-2,-1.812636852E-2
1.957630292E0,-4.581531372E-1,1.825260991E-1,-1.116350412E-2
1.967655292E0,-4.470923614E-2,3.078082493E-1,-2.093747592E-1
1.977681292E0,1.177088730E-1,3.429046994E-1,-5.098093772E-1
1.987707292E0,-4.062519355E-1,7.191554850E-1,-9.086157972E-1
1.997732292E0,-6.448620055E-1,4.702553022E-1,-8.017117381E-1
2.007758292E0,-4.988088642E-1,5.577860740E-1,-4.675299150E-1
2.017784292E0,-4.843200485E-1,5.241610757E-1,6.566306233E-2
2.027809292E0,-4.133029101E-1,6.486652538E-1,4.662025970E-1
2.037835292E0,-4.273788393E-2,6.086059794E-1,4.816784227E-1
2.047861292E0,2.150372759E-1,1.998437977E-1,3.942789209E-1
2.057887292E0,-2.110773953E-1,4.516827911E-2,3.834352595E-1
2.067912292E0,-5.981229450E-1,1.756509429E-1,3.424369222E-1
2.077938292E0,-5.119642223E-1,4.756508204E-1,6.724181056E-2
2.087964292E0,-1.853470883E-1,4.784408194E-1,-2.271824545E-1
2.097989292E0,5.195251107E-2,2.959454182E-1,-1.564194506E-1
2.108015292E0,7.253953412E-2,1.687982985E-1,-4.650466025E-2
2.118041292E0,-1.738090700E-1,-3.279703259E-2,-6.850773275E-2
2.128067292E0,-1.664927414E-1,-2.289939219E-1,4.999778688E-2
2.138092292E0,-3.409796499E-1,-2.316149363E-1,2.692859155E-1
2.148118292E0,-6.728823745E-1,-3.720817208E-2,6.526159251E-1
2.158144292E0,-7.224177928E-1,3.717098379E-1,9.334869289E-1
2.168169292E0,-3.711401729E-1,9.559837988E-1,8.988182026E-1
2.178195292E0,5.280849959E-1,1.199955948E0,1.424175911E0
2.188221292E0,1.539810009E0,7.896954176E-1,1.681901881E0
2.198247292E0,2.108440475E0,3.515164787E-1,1.207601475E0
2.208272292E0,2.102972013E0,1.415093431E-1,5.035376537E-1
2.218298292E0,1.431435083E0,1.698139599E-1,-8.690892041E-2
2.228324292E0,7.440780723E-1,3.067691991E-1,-3.035997158E-1
2.238349292E0,-1.620756085E-1,5.854708859E-1,-1.129342926E-1
2.248375292E0,-8.632374568E-1,1.059382160E0,1.755357528E-1
2.258401292E0,-1.090703063E0,1.311723137E0,5.827738577E-1
2.268426292E0,-8.944447777E-1,1.171516846E0,6.520200938E-1
2.278452292E0,-1.523994899E-1,8.468446416E-1,-3.586717165E-1
2.288478292E0,9.278889509E-1,1.692666605E-1,-1.538539263E0
2.298504292E0,7.723492138E-1,-7.267621279E-2,-1.045485667E0
2.308529292E0,1.538906614E0,-7.181257904E-3,-5.530770189E-1
2.318555292E0,2.494398224E0,-2.297634155E-2,2.387739748E-1
2.328581292E0,2.898905971E0,-5.723693222E-2,5.039522213E-1
2.338606292E0,2.422890285E0,-2.470495391E-1,6.989597869E-1
2.348632292E0,1.083838578E0,-2.110450163E-1,6.617492759E-1
2.358658292E0,-4.394277580E-1,5.219575524E-2,2.986979949E-1
2.368684292E0,-1.470430457E0,-1.163478971E-1,1.955811775E-1
2.378709292E0,-1.810500133E0,-3.236530343E-1,2.119440258E-1
2.388735292E0,-1.041760991E0,-9.476845533E-2,-7.655350149E-2
2.398761292E0,-1.028471877E-1,-9.275730550E-3,1.016795719E-1
2.408786292E0,5.021894319E-1,-1.673771328E-1,4.182700467E-1
2.418812292E0,4.258262573E-1,1.586223891E-1,6.646676213E-1
2.428838292E0,3.808196537E-1,-3.069758981E-2,1.788563865E-1
2.438863292E0,-1.936792244E-1,-5.284818757E-1,-1.945889050E-1
2.448889292E0,-7.895171506E-1,-8.062795830E-1,-3.485227042E-1
2.458915292E0,-9.419284811E-1,-5.146248516E-1,-2.600519925E-1
2.468941292E0,-5.171599851E-1,5.806524879E-1,1.473931038E-1
2.478966292E0,5.477274743E-1,8.918904215E-2,-8.227810103E-1
2.488992292E0,9.904307695E-1,-6.190917912E-1,-1.325808787E0
2.499018042E0,-6.930299062E-2,-5.247867277E-1,-2.618453336E-1
2.509043042E0,-1.302683926E0,-6.920980793E-1,3.362084681E-1
2.519069042E0,-1.441288226E0,-1.890512994E-1,2.052343458E-1
2.529095042E0,-7.756144452E-1,2.518258372E-1,2.454012090E-1
2.539121042E0,-5.775429386E-1,5.297285020E-3,7.488762975E-1
2.549146042E0,-2.154366225E-1,-7.045766222E-1,4.688396913E-1
2.559172042E0,1.458697032E-1,-1.255673774E0,2.832005346E-1
2.569198042E0,-4.749475100E-1,-5.128508064E-1,1.370680904E-1
2.579223042E0,-8.842777122E-1,9.613582671E-2,2.566763949E-1
2.589249042E0,-1.685778220E-1,8.516849667E-2,6.089898491E-1
2.599275042E0,6.067785052E-1,-3.203397095E-1,6.789131927E-1
2.609300042E0,8.486178828E-1,-8.384103253E-1,6.230231667E-1
2.619326042E0,1.108062496E0,-8.386255029E-1,5.086527979E-1
2.629352042E0,8.189219941E-1,-2.120291027E-1,4.537930512E-1
2.639378042E0,-6.888832802E-1,6.597050893E-1,2.317333424E-1
2.649403042E0,-1.536829683E0,1.041923251E0,2.455737019E-1
2.659429042E0,-1.240195756E0,5.588917825E-1,-3.850274563E-2
2.669455042E0,-2.697974372E-1,1.484570047E-1,-7.218913972E-1
2.679480042E0,7.939654199E-1,4.725564739E-1,-7.019921529E-1
2.689506042E0,8.952260388E-1,7.700879493E-1,1.381229281E-1
2.699532042E0,8.914420132E-1,8.079501325E-1,4.342750454E-1
2.709558042E0,6.613176783E-1,9.403296331E-1,7.198396093E-1
2.719583042E0,-1.188615420E-1,3.992639646E-1,5.200659782E-1
2.729609042E0,-3.127954857E-1,2.672399747E-1,-1.043388855E-1
2.739635042E0,-1.257266848E-1,7.280982167E-1,-7.409825563E-2
2.749660042E0,1.088751554E-1,6.723108092E-1,1.113227999E-1
2.759686042E0,2.993368033E-1,5.370287508E-1,7.906786269E-1
2.769712042E0,2.422165230E-2,7.647014943E-1,8.770396632E-1
2.779738042E0,-8.406394301E-1,6.487412676E-1,-3.257349354E-1
2.789763042E0,-1.529253300E0,1.051745988E0,2.160932100E-1
