"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.745967917E-1,3.712366223E-1,3.359488547E-1,4.979752600E-1
7.846217917E-1,4.551893175E-1,4.774261639E-2,4.323421717E-1
7.946477917E-1,3.665753901E-1,-1.984282732E-1,4.044258893E-1
8.046737917E-1,9.058507532E-2,-1.383063495E-1,4.413173199E-1
8.146987917E-1,-2.821908295E-1,3.504562378E-1,5.610935688E-1
8.247247917E-1,-7.831412554E-1,1.011270642E0,6.188247800E-1
8.347507917E-1,-1.160930395E0,1.102552891E0,6.049888730E-1
8.447767917E-1,-1.389774799E0,1.062337518E0,5.980537534E-1
8.548017917E-1,-1.499169469E0,1.437977672E0,6.152407527E-1
8.648277917E-1,-1.120417953E0,1.111782789E0,5.968878865E-1
8.748537917E-1,-4.608043134E-1,6.940990090E-1,4.119192362E-1
8.848787917E-1,1.798457205E-1,6.166460514E-1,2.430817187E-1
8.949047917E-1,6.253759265E-1,5.052611828E-1,6.729232520E-2
9.049307917E-1,7.744109631E-1,1.171456650E-1,-5.270306021E-2
9.149557917E-1,7.620416284E-1,-2.520554364E-1,-1.131912321E-1
9.249817917E-1,6.631901860E-1,-4.529344738E-1,-1.735807955E-1
9.350077917E-1,5.635429621E-1,-5.477739573E-1,-2.419842035E-1
9.450337917E-1,5.292827487E-1,-5.812267661E-1,-2.703322172E-1
9.550587917E-1,5.696933866E-1,-6.937501431E-1,-2.704937160E-1
9.650847917E-1,6.307706237E-1,-8.610320687E-1,-2.690207362E-1
9.751107917E-1,6.725156903E-1,-9.471018314E-1,-2.524776161E-1
9.851357917E-1,6.720176935E-1,-9.368119240E-1,-2.082755417E-1
9.951617917E-1,6.482534409E-1,-8.500959277E-1,-1.613527983E-1
1.005187792E0,6.052899957E-1,-6.617121696E-1,-1.144255027E-1
1.015213792E0,5.638601780E-1,-4.157163203E-1,-7.448668778E-2
1.025238792E0,5.427205563E-1,-2.446694672E-1,-5.082849786E-2
1.035264792E0,5.560691953E-1,-1.816913486E-1,-3.738670796E-2
1.045290792E0,5.967506170E-1,-1.411119550E-1,-2.713513188E-2
1.055315792E0,6.610497236E-1,-8.302408271E-3,-3.247122467E-2
1.065341792E0,7.469268441E-1,1.136328205E-1,-4.011876136E-2
1.075367792E0,7.710005641E-1,8.097146451E-2,-3.000403009E-2
1.085392792E0,7.271375060E-1,-5.223825574E-2,-4.743575305E-2
1.095418792E0,7.384023070E-1,-5.468151532E-3,-1.217886508E-1
1.105444792E0,8.098245859E-1,1.278736591E-1,-2.362414449E-1
1.115469792E0,8.808942437E-1,2.265459299E-1,-3.181700110E-1
1.125495792E0,8.709265590E-1,2.553589344E-1,-3.573413789E-1
1.135521792E0,7.308127880E-1,2.040979266E-1,-3.398423195E-1
1.145547792E0,5.806312561E-1,1.953217387E-1,-2.951329052E-1
1.155572792E0,4.523539245E-1,2.792268693E-1,-2.484787852E-1
1.165598792E0,3.930770159E-1,1.312619001E-1,-1.587837785E-1
1.175624792E0,3.417815268E-1,-1.010365188E-1,-9.084509313E-2
1.185649792E0,2.772643268E-1,-9.522496909E-2,-8.002467453E-2
1.195675792E0,2.215455770E-1,-5.052544922E-2,-1.076171324E-1
1.205701792E0,1.849806309E-1,-1.989164203E-2,-1.076512188E-1
1.215727792E0,1.800546199E-1,-3.784274682E-2,-6.316401064E-2
1.225752792E0,2.007750869E-1,-1.209131330E-1,1.646273304E-4
1.235778792E0,2.170873582E-1,-2.472014129E-1,5.865489319E-2
1.245804792E0,1.853542030E-1,-2.901733816E-1,8.833635598E-2
1.255829792E0,9.783937037E-2,-2.473946512E-1,1.042034104E-1
1.265855792E0,-1.695724949E-2,-1.883720756E-1,1.520582736E-1
1.275881792E0,-1.581945419E-1,2.137585916E-2,2.975410521E-1
1.285906792E0,-4.173339605E-1,2.496343255E-1,5.399006605E-1
1.295932792E0,-7.229446769E-1,5.337443948E-1,7.686592937E-1
1.305958792E0,-1.014813781E0,7.512711287E-1,9.174727201E-1
1.315984792E0,-1.303436399E0,7.151457071E-1,8.730601668E-1
1.326009792E0,-1.590966940E0,5.190427899E-1,6.720218658E-1
1.336035792E0,-1.829305887E0,2.678764760E-1,5.720067024E-1
1.346061792E0,-1.975166678E0,-2.499671876E-1,6.694229841E-1
1.356086792E0,-2.056777716E0,-4.564068615E-1,8.148674965E-1
1.366112792E0,-2.035408497E0,-2.944459319E-1,8.793870807E-1
