"event","experiment time","system time","system time text"
"START",0.000000000E0,1717693113.482,"2024-06-06 18:58:33.482 UTC+02:00"
"PAUSE",4.513079406E2,1717693564.790,"2024-06-06 19:06:04.790 UTC+02:00"
