"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718189718284546E9,"2024-06-12 12:55:18.285 UTC+02:00"
"PAUSE",7.232701955416705E2,1.718190441549165E9,"2024-06-12 13:07:21.549 UTC+02:00"
