Time (s),X,Y,Z,temp_X_mean,temp_X_std,temp_X_median,temp_X_sum,temp_X_skew,temp_X_kurt,X_lag1,X_lag2,temp_Y_mean,temp_Y_std,temp_Y_median,temp_Y_sum,temp_Y_skew,temp_Y_kurt,Y_lag1,Y_lag2,temp_Z_mean,temp_Z_std,temp_Z_median,temp_Z_sum,temp_Z_skew,temp_Z_kurt,Z_lag1,Z_lag2
10.254697,-0.1618051368119239,2.019660612663012,9.44855241832439,,,,,,,,,,,,,,,,,,,,,,,,
10.754697,-0.1577830290365662,2.045190514481317,9.429621035863516,,,,,,,-0.1618051368119239,,,,,,,,2.019660612663012,,,,,,,,9.44855241832439,
11.254697,-0.2838432965358908,2.023766054245405,9.547593724052495,,,,,,,-0.1577830290365662,-0.1618051368119239,,,,,,,2.045190514481317,2.019660612663012,,,,,,,9.429621035863516,9.44855241832439
11.754697,-0.1915190172975898,1.8689885729298497,9.502060605684536,,,,,,,-0.2838432965358908,-0.1577830290365662,,,,,,,2.023766054245405,2.045190514481317,,,,,,,9.547593724052495,9.429621035863516
12.254697,-0.2133647023955664,1.5662990484078447,9.635609035260462,,,,,,,-0.1915190172975898,-0.2838432965358908,,,,,,,1.8689885729298497,2.023766054245405,,,,,,,9.502060605684536,9.547593724052495
12.754697,-0.1923024254604256,1.4593058145510611,9.59054046521472,,,,,,,-0.2133647023955664,-0.1915190172975898,,,,,,,1.5662990484078447,1.8689885729298497,,,,,,,9.635609035260462,9.502060605684536
13.254497,-0.1866215248988355,1.1733234303087974,9.641488573215804,,,,,,,-0.1923024254604256,-0.2133647023955664,,,,,,,1.4593058145510611,1.5662990484078447,,,,,,,9.59054046521472,9.635609035260462
13.754697,-0.1029258402230679,1.21217575817928,9.672448613738531,,,,,,,-0.1866215248988355,-0.1923024254604256,,,,,,,1.1733234303087974,1.4593058145510611,,,,,,,9.641488573215804,9.59054046521472
14.254697,-0.2107377846028441,1.0771969450163872,9.656653796746214,,,,,,,-0.1029258402230679,-0.1866215248988355,,,,,,,1.21217575817928,1.1733234303087974,,,,,,,9.672448613738531,9.641488573215804
14.754697,0.152082711837683,0.672043981298627,9.756086785261717,-0.15488200454250273,0.11733342354227491,-0.18907027109821264,-1.5488200454250272,2.2709092612416466,6.241983286348154,-0.2107377846028441,-0.1029258402230679,1.5117950732081582,0.47565832818757325,1.5128024314794528,15.117950732081582,-0.3580062267074727,-0.9854510812626488,1.0771969450163872,1.21217575817928,9.588065505336239,0.10476423756550585,9.61307475023759,95.88065505336239,-0.17740524636326507,-0.8070603772268069,9.656653796746214,9.672448613738531
15.254697,0.1357069440808518,0.7321549621561252,9.65833607681718,-0.12513079645322517,0.1488649104222608,-0.18907027109821264,-1.2513079645322516,1.3844979806702442,0.6998722748006188,0.152082711837683,-0.2107377846028441,1.3830445081574694,0.4967004264985434,1.3357407863651707,13.830445081574695,-0.0037544363775625427,-1.2402489591634658,0.672043981298627,1.0771969450163872,9.609043871185518,0.09419426892554199,9.638548804238134,96.09043871185519,-0.5856619559328884,0.3129965831344543,9.756086785261717,9.656653796746214
15.754697,0.260622494032688,0.3634586654292829,9.730481568934078,-0.08329024414629974,0.1913925485167988,-0.18907027109821264,-0.8329024414629974,0.9550162991181979,-0.7740947720249319,0.1357069440808518,0.152082711837683,1.214871323252266,0.5311096956105774,1.1927495942440387,12.148713232522661,-0.02331801181216398,-0.7816580560858054,0.7321549621561252,0.672043981298627,9.639129924492575,0.0769963182736605,9.64907118498101,96.39129924492575,-0.3180640878710936,-0.07320014943898759,9.65833607681718,9.756086785261717
16.254497,0.3237362671896581,0.9620786190168928,9.676835059326834,-0.02253228777374484,0.21556482142698782,-0.1447736825609517,-0.2253228777374484,0.6271958421281599,-1.574315701172554,0.260622494032688,0.1357069440808518,1.108702579729415,0.4516110695693318,1.1252601876625923,11.08702579729415,0.03925582021252324,-0.3590245804296112,0.3634586654292829,0.7321549621561252,9.652054058020008,0.07049693939519094,9.657494936781697,96.52054058020008,-0.785142579363735,1.634940367019087,9.730481568934078,9.65833607681718
16.754697,0.2553628013071095,2.257085241875744,9.430174268584082,0.022155894086725088,0.22283839683396597,0.016390551928891946,0.22155894086725086,0.13446721227114675,-2.109347085499375,0.3237362671896581,0.260622494032688,1.1475122466240042,0.5334644701524003,1.1252601876625923,11.475122466240041,0.7339306481684181,1.0934586276279015,0.9620786190168928,0.3634586654292829,9.644865424309963,0.08878451244273554,9.657494936781697,96.44865424309963,-1.586746782840241,3.8856831082179295,9.676835059326834,9.730481568934078
17.254697,-0.1361798393481323,2.15690829857592,9.359829631211172,0.029874380391468502,0.21497210742543724,0.016390551928891946,0.298743803914685,0.1422182587640728,-2.0621083648977234,0.2553628013071095,0.3237362671896581,1.206573171640812,0.611907322679959,1.1252601876625923,12.065731716408118,0.7020324240934319,-0.1686513457763823,2.257085241875744,0.9620786190168928,9.617287483905034,0.12670986170806495,9.657494936781697,96.17287483905034,-1.2963305777497982,0.8954830640843748,9.430174268584082,9.676835059326834
17.754697,0.0158906217670375,1.9377763756249653,9.549606852266912,0.050693685114214806,0.20066988942421332,0.07579878292394465,0.506936851142148,-0.027308653239144623,-1.7774116365662995,-0.1361798393481323,0.2553628013071095,1.2544202277482022,0.6513034855739555,1.1252601876625923,12.544202277482022,0.49456596086270677,-1.0400991674113165,2.15690829857592,2.257085241875744,9.613194122610253,0.12832086965879785,9.657494936781697,96.13194122610253,-1.1475691869735822,0.4118952031285882,9.359829631211172,9.430174268584082
18.254497,0.0128758013669145,1.8763486132731444,9.503984147557684,0.07064341774078982,0.1836504547601841,0.07579878292394465,0.7064341774078982,-0.14629031534403286,-1.3350353498358076,0.0158906217670375,-0.1361798393481323,1.324722746044637,0.6789337930629482,1.1446863515978336,13.24722746044637,0.1537560185734428,-1.6183198245655233,1.9377763756249653,2.15690829857592,9.599443680044441,0.13225888179302306,9.657494936781697,95.9944368004444,-0.736205617164984,-0.636946649829839,9.549606852266912,9.359829631211172
18.754697,0.0257095807094508,1.8677305597817684,9.48687443647091,0.08350695983404167,0.17441504173506112,0.0807082623951513,0.8350695983404167,-0.313406785027582,-0.7783489333374624,0.0128758013669145,0.0158906217670375,1.3902782262048856,0.6982339077810839,1.4724637523990778,13.902782262048856,-0.14596549432141573,-1.8451508256768274,1.8763486132731444,1.9377763756249653,9.58088626231768,0.13388637099605963,9.603130324506562,95.8088626231768,-0.29128074078721017,-1.2049377829221146,9.503984147557684,9.549606852266912
19.254697,0.0381978365736112,1.8774020569764396,9.487542693194468,0.10840052195168721,0.142618961542768,0.0869523903272315,1.0840052195168721,-0.019891073102660303,-0.6657041246745184,0.0257095807094508,0.0128758013669145,1.470298737400891,0.7041947509611725,1.8720395865274564,14.70298737400891,-0.5122766711762349,-1.6737314211716934,1.8677305597817684,1.8763486132731444,9.563975151962504,0.13393302187423625,9.526795499912298,95.63975151962504,0.11315233924457196,-1.278811252120511,9.48687443647091,9.503984147557684
19.754697,0.0447716010351065,1.8962673047823844,9.495893490949738,0.09766941087142957,0.14300367211192008,0.04148471880435885,0.9766941087142956,0.24606578032661994,-0.6487919606552174,0.0381978365736112,0.0257095807094508,1.5927210697492666,0.654673668980916,1.876875335124792,15.927210697492667,-1.0578276374324613,-0.3857179982702458,1.8774020569764396,1.8677305597817684,9.537955822531305,0.1166193556510315,9.49993881925371,95.37955822531305,0.3749751607974137,-0.6632143238812007,9.487542693194468,9.48687443647091
20.254697,0.0411275740093212,1.9006176935670729,9.497196828076689,0.0882114738642765,0.14333567897158697,0.0396627052914662,0.882114738642765,0.4810798414085495,-0.5304872655764419,0.0447716010351065,0.0381978365736112,1.7095673428903613,0.584529659513923,1.8868346808794119,17.095673428903613,-1.7833868446132892,2.639592198555025,1.8962673047823844,1.8774020569764396,9.521841897657257,0.10902291872747123,9.496545159513214,95.21841897657256,0.8234606550093605,0.6598515948654793,9.495893490949738,9.487542693194468
20.754697,0.0292184750977505,1.912507949052356,9.473676035557515,0.06507107197078274,0.13051431757399196,0.03370815583568085,0.6507107197078275,0.9768644802423062,1.262013959574505,0.0411275740093212,0.0447716010351065,1.864472271252669,0.343882288556747,1.8984424991747286,18.64472271252669,-2.2156067654118425,6.495475520317664,1.9006176935670729,1.8962673047823844,9.4961613443196,0.08108192079258941,9.491718092072103,94.961613443196,0.8381533309351903,2.9242513978344045,9.497196828076689,9.495893490949738
