"event","experiment time","system time","system time text"
"START",0.000000000E0,1717602270.113,"2024-06-05 17:44:30.113 UTC+02:00"
"PAUSE",4.481799807E2,1717602718.293,"2024-06-05 17:51:58.293 UTC+02:00"
