Time (s),Accelerometer_X,Accelerometer_Y,Accelerometer_Z,pca1,pca2
10.24632544,-0.8719003591279477,2.835255269333582,9.167775171767966,-2.355511616929596,-0.9329959550847222
10.74632544,-0.6077647408662981,2.799737716833923,9.238673004475729,-2.506865301324572,-0.70249783334951
11.24632544,-0.7747846229920181,2.755938590207146,9.27984029363766,-2.5079817022061666,-0.8759159359276895
11.74612544,0.1990861467366439,2.43824864521993,9.321535030713084,-3.1002785323267963,-0.08215286710357805
12.24612544,-0.2697080499489241,2.54666816295923,9.442041307383567,-2.9229648767181127,-0.4867570928653641
12.74632544,-0.4813983255401143,3.657612587291396,8.892506260968903,-1.6909578842105466,-0.26268519000038676
13.24632544,-0.1778024925388265,3.641081559406322,9.075065936612836,-1.8979003459104153,0.006109855145493004
13.74632544,-0.1178963317307182,4.060710594173079,8.662619837245826,-1.3726259039087263,0.23098358671567953
14.24632544,-0.1712171965732611,4.322757790974664,8.582987634873668,-1.1067271349185113,0.27830707790864617
14.74632544,-0.0246775008008777,4.437789418405497,8.76510707276069,-1.1578531717134,0.4473985356434903
15.24632544,-0.3343377583114012,4.388262094110007,8.702956507170482,-1.063355144466954,0.14371648904747292
15.74632544,-0.4528414614628562,4.30054911707835,8.601685097139516,-1.0415669209919174,0.006687162714734796
16.24632544,0.3972211293529709,3.89282179293073,8.998130090098346,-1.8476674476732702,0.6360377642866667
16.74632544,0.1599295001963875,4.454640417390677,8.517653970643842,-1.0772948455317013,0.6374071011479244
17.24612544,-0.1134656269461004,4.194683872675781,8.769554975399755,-1.3233258591629553,0.27775881499533317
17.74632544,-0.2171185986772293,3.9542126263827857,8.859124041201794,-1.5257958049660092,0.09115172322290088
18.24632544,-0.2590353928283688,3.877861978325546,8.855301807423935,-1.5704666595678707,0.0250262564334347
18.74632544,-0.5934497608620641,3.863124815583853,8.869670384026259,-1.4798437292002868,-0.2929943902890114
19.24632544,-0.8557342043904214,4.033428114655355,8.679643140812333,-1.160959548347707,-0.4681250057374451
19.74632544,-0.8284002053888403,3.9184964193783793,8.874551702408102,-1.3614918767830388,-0.49277582842422557
20.24632544,-0.850002745982341,3.757906646813657,8.87984705116891,-1.4841698679734983,-0.5703717100414059
20.74612544,-0.940507998095503,3.162767822251798,9.13079802199676,-2.0548411697189977,-0.8786481528304315
21.24632544,-0.8997380648122418,3.377286017324287,9.094681822360938,-1.8798761475407617,-0.7625007192015906
21.74632544,-0.8295455742322262,3.4435261954683494,8.943515412066633,-1.7724409598293749,-0.666244270259969
22.24632544,-0.8743242273184078,2.995960574834116,9.251821438678494,-2.270997422997845,-0.8820143329744136
22.74632544,-0.7155853495761939,2.726471989949011,9.550186894098612,-2.6903191746999067,-0.8439692643826832
23.24632544,-0.0574568632245718,2.5725491290779545,9.204928022271451,-2.8496715481043626,-0.2682239858837821
23.74632544,-1.0105387566596995,3.2391697610181525,9.16899869855291,-1.991160080835601,-0.9186082094358007
24.24612544,-0.8155190853677345,3.2705456392865573,9.131834325863608,-2.0111228433274384,-0.7236727524143655
24.74632544,-0.6539732100135532,3.2328994007154277,9.169689969921452,-2.1134438432607308,-0.588109045371736
25.24612544,-0.6369852585902962,3.101577136170842,9.19665211537145,-2.2368186560431687,-0.6202949992641075
25.74632544,-0.8229491214053156,3.249481726775436,9.010949830631455,-1.9629217631090858,-0.732380311332077
26.24632544,-0.5449718033357432,2.531142640233654,9.490284913276016,-2.86986250678494,-0.7514610720664464
26.74632544,-0.3198357454673454,2.265999929616199,9.501670247422618,-3.159328439911954,-0.6363070016932393
27.24612544,-0.0090101928163523,3.1517447816988904,9.177942029003322,-2.3934721999850375,-0.015486753058780667
27.74632544,0.341813093149965,3.6637232408152975,8.707826054341146,-1.860797901861874,0.5165022889078746
28.24612544,-0.2624741653229935,3.802515669260342,9.038224134492722,-1.7234017128639487,-0.013679408758100586
28.74612544,-0.2518184176231193,3.4868533009406195,9.36633853602693,-2.146033703439907,-0.1316843449208297
29.24632544,-1.2398353744949442,4.380645992301919,8.170836582056257,-0.4975515483991885,-0.6788406386897573
29.74632544,-0.4248932275962216,4.349457942407263,8.669901425118905,-1.0472745526643785,0.04695389679748063
30.24612544,-0.3371697619667519,4.550947162401328,8.73129716792969,-0.9483742003813606,0.19766137013810536
30.74632544,-0.8088848867968319,4.943365621012627,8.258361989580775,-0.23899522629272196,-0.08042397437065851
31.24612544,-0.5620522300110529,4.898770418271145,8.188702873204283,-0.31926874175594766,0.1373528989372197
31.74632544,-0.6079295870486554,4.773327642012058,8.606800290247104,-0.6193560585462901,0.030060630192075943
32.24612544,-0.4862315515785404,4.671939975334464,8.33897710268177,-0.6011712231965224,0.12022086999611958
32.74632544,-0.6460534337757019,4.744429155307031,8.692538159958128,-0.6739850626672825,-0.019870931606632336
