Time_interval,Time,Acceleration_x,Acceleration_z,Acceleration_y
-1,-0.001138874999,-5.363496552,4.951104126,6.396947479
0,0.24954998724432653,-3.160665118134694,3.8042166417551018,8.303615196469387
1,0.745914735,-1.6654277252338,5.2897359375,8.5570275696
2,1.24729278,-0.9657347443016,6.87856195676,5.94342059326
3,1.7486707849999998,-1.877258221444,7.75965371734,4.612804623384
4,2.25004813,3.844458407778,9.0318342038,0.36405195021000003
5,2.751425395,4.93974873962,7.90930351838,-2.493397952272
6,3.2528020375,0.9690249023859999,8.88598948984,-3.6160753326600004
7,3.7541785,2.719969793824,7.65791628122,-5.202165042100001
8,4.250540591836734,0.9418200466122448,8.249693653285714,-4.649145317877551
9,4.746901882,-1.09416766658,7.0184939665,-6.30408658448
10,5.24827703366,-3.504254864516,6.499074105596001,-6.468193322498
11,5.749651685,-3.6620746765299996,7.61586273212,-5.192878353935999
12,6.2510266275,-3.3975507568239998,5.968230001839999,-7.102535201984
13,6.75240121,-3.6183835327200002,6.40374334722,-6.789751638599999
14,7.25377537084,-3.64150744626,6.89547678218,-5.3540661621000005
15,7.750135516489796,-3.234449438,6.099097473795918,-7.240324280387755
16,8.246495172,-3.5215139740400003,6.51919526364,-6.627557922319999
17,8.747868105,-2.757748233072,7.35013531488,-5.60721074524
18,9.249240905,-2.908203359936,6.4078537994,-6.903224670439999
19,9.75061399,-3.53824318544,6.44394674378,-6.752365383699999
20,10.2519861726,-3.1063074005200004,7.3581197113,-5.672531909220001
21,10.7533600942,-3.4929324096800003,6.08689723206,-6.82471892398
22,11.249717874897959,-3.924514440367347,6.34039569155102,-6.505343496938776
23,11.74607304,-2.9457842102000003,7.45011540538,-5.45278287964
24,12.24744392,-3.152166037,6.3167682129000005,-6.99075964052
25,12.748816934399999,-3.15311805726,6.86585039056,-6.64365245366
26,13.250187174,-2.82717086794,7.45704299928,-5.41236692506
27,13.75155453,-2.95463081364,6.366111602759999,-7.13944245302
28,14.252924190000002,-3.5301989135999996,6.6850533599999995,-6.52761974462
