Time_interval,Time,Acceleration_x,Acceleration_z,Acceleration_y
0,0.2520559872440816,-0.43927486226408163,-0.08258906307626529,-0.18202970628108164
1,0.748420735,-0.1897986247308,-0.3700696003598,0.7394296879094401
2,1.2497987799999999,0.31288716054480004,-0.21121678415439998,-0.6290317771280001
3,1.7511767850000002,-0.215459585234,-0.552144037138,0.5904139495309999
4,2.25255413,0.12664476779040001,0.039016575561400015,0.11777921796999996
5,2.7539313950000004,-0.48991336059619994,0.2127411415692,0.13296150323383998
6,3.250294262755102,-0.4555566423449184,-0.033098772799183655,-0.07915508881938776
7,3.74665698,0.41711365161159997,-0.07013146945360005,-0.0692683327508
8,4.2480328400000005,-0.7640822317748,0.227551823098,0.61948057258264
9,4.749407882,-0.19445889285139997,-0.2194835542904,0.048128864705999995
10,5.25078303366,-0.15051079240484,0.13235343360140003,0.15173333979375989
11,5.752157684999999,-0.6150177145316,0.40907250507,0.6371203008404
12,6.2535326275,-0.23376308642000002,-0.381550900641,-0.3453566591314
13,6.749893474489796,-0.019894077248836736,0.16089783313183673,-0.15155889891530613
14,7.24625389,-0.50300232941578,-0.0387592395656,0.8195903250066
15,7.7476277719999995,-0.2005121344102,-0.3229188344736,-0.48087461766620004
16,8.249001172,-0.2049806117348,0.17729349594920002,0.06892379717780002
17,8.750374104999999,-0.304988005655,0.224360073647,0.6521625085414
18,9.251746905,-0.06639710715566,-0.2601834613524,-0.2999933402694
19,9.75311999,-0.058602911947999985,0.16963573675399998,-0.07154029760520002
20,10.249478403061223,-0.44370774986489797,0.3487201253756327,0.6827251239126938
21,10.7458386738,-0.1073722339632,-0.43271484452032,-0.32607847102119997
22,11.2472101546,-0.23067820649800003,0.1490513625196,0.1043006914896
23,11.74857904,-0.26978332645527997,0.26106772405080003,0.65691112601586
24,12.249949919999999,-0.1107914225179,-0.41190281477084,-0.5409163305464
25,12.7513229342,0.166392028946,0.37433466470059995,-0.0899160381864
26,13.2526931746,-0.35521806140792,0.29640807325019997,0.8175077690054
27,13.754060529999999,0.005179820314599995,-0.28113121661999996,-0.5743951602024601
28,14.250416494897959,-0.0018261272173469472,0.3238292204128571,0.05195548247755104
29,14.746772026599999,-0.45874040378380004,0.2476979251376,0.8378763108920001
30,15.2481410846,-0.08015428122660001,-0.42961377367828,-0.545404840407
31,15.749509722600001,-0.137060822344,0.23856649217640002,0.28121153402072396
32,16.25087814,-0.38999671253959994,0.12514987448599998,0.2798201890572
33,16.75224699,-0.008967038474200004,-0.476882396065,-0.5186939056384
34,17.25361491,-0.2559946446952,0.07779728614742,0.62629056743
35,17.749968833265307,-0.324825693374898,0.12199969636987755,-0.4239059033985714
36,18.24632247,-0.17572741278788,-0.3498670259234,-0.259719250837
37,18.7476910004,-0.011310035360399984,0.16118668557719995,0.44878089984942
38,19.2490577142,-0.24016261247780002,-0.00721872686688001,-0.28034115256317604
39,19.750424954,-0.12337149062376,-0.25304335612922,-0.34840096520499997
40,20.251791049999998,-0.1074827872493,0.14325629230282,0.5428792993222
41,20.753154560600002,0.25382830974160003,0.06530321301579999,-0.45167540020874
42,21.24950640489796,-0.1889168491877551,-0.22291836648873878,-0.2680710788502041
43,21.7458577336,0.0389017420988,0.19013857742800003,0.8104769482706
44,22.24722268,0.1961438784108,0.119536687744,-0.4371470574016
45,22.748587565799998,-0.2082119000506,-0.0784087060214,-0.12300366567600002
46,23.24995199,0.11544858360500002,0.21984529809439998,0.594637507434
47,23.7513163118,0.19481970043934,-0.13773538637360003,-0.40652564510120004
48,24.2526801736,0.03604669874480001,-0.03744617711727999,-0.3278682569648
49,24.7540428192,-0.128788514932,0.006409133073199962,0.812042493493
50,25.250392532244895,-0.17265107069736735,-0.2772994529306122,-0.5926432417130612
51,25.746742435999998,0.33531910661200004,0.08964298487599999,-0.3319675995308
52,26.248105433800003,-0.1203600459094,0.21514987864399998,0.8042160186888
53,26.7494681142,0.08161292176620001,0.050046073193,-0.2366038859462
54,27.250830574400002,-0.22937996673359998,-0.4453640209116,-0.4651187688388
55,27.7521928382,0.030125702849999995,0.20632487492298002,0.7214227078340001
56,28.253554880000003,0.21348265045232,0.2678422379394,-0.29468962333382004
57,28.74990247734694,-0.04066127516081631,-0.3845171017408163,-0.17087050996142858
58,29.246250434,0.37966965843699996,0.1183102927296,0.3067333205594
59,29.747612654999998,-0.16851700651040002,0.74816382591,0.4071461984532
60,30.248973810000003,0.058794074971,-0.6519163875932,-0.4310155150224
61,30.7503376332,0.3971088212236,0.075817991915,-0.266236218272
62,31.25169851,-0.269848359165,0.7996439404679999,1.00251095914552
63,31.753055685999996,0.17468826313982,-0.69414935271782,-0.6016608320096001
64,32.249402308571426,0.32766653328163264,0.1332363862142857,-0.3056858949871021
65,32.7457492774,-0.2621530374232,0.72919938767864,0.94192862437
66,33.24710924,0.2165742954944,-0.48672299107434003,-0.484073921707
67,33.7484689632,0.20581058891506,0.22370598069845798,-0.2150379395916
68,34.24982852,-0.13172300445420002,0.05388831367240001,0.6882104293739999
69,34.7511884168,-0.19029886132964,0.310990152002,0.10993555966860001
70,35.25254766,0.7963383457512001,-0.1695595007532,-0.39093245411719996
71,35.75390608,-0.22491996790000002,-0.04506794093920001,-0.023219714404400012
72,36.25025121428571,-0.22995568142918366,0.531556986091449,0.7145633443734695
73,36.7465957276,0.580710194042,-0.423734328204,-0.41364608030780003
74,37.24795392,-0.08909026523000002,0.09389795698199999,-0.3462655737454
75,37.7493127074,-0.2360438805514,0.455410250763,0.9960971015343201
