Time (s),X,Y,Z,temp_X_mean,temp_X_std,temp_X_median,temp_X_sum,temp_X_skew,temp_X_kurt,X_lag1,X_lag2,temp_Y_mean,temp_Y_std,temp_Y_median,temp_Y_sum,temp_Y_skew,temp_Y_kurt,Y_lag1,Y_lag2,temp_Z_mean,temp_Z_std,temp_Z_median,temp_Z_sum,temp_Z_skew,temp_Z_kurt,Z_lag1,Z_lag2,pca1,pca2,pca3,X_fft,X_dominant_freq,X_spectral_energy,X_spectral_entropy,Y_fft,Y_dominant_freq,Y_spectral_energy,Y_spectral_entropy,Z_fft,Z_dominant_freq,Z_spectral_energy,Z_spectral_entropy
10.25058054,-0.0112882193107239,0.0106071201648281,0.0184697040349371,,,,,,,,,,,,,,,,,,,,,,,,,0.012595981981516555,0.010090402570537012,-0.00939691454722464,15.408449530438528,1088,132816.1705462535,-29578.7644213307,0.00010626920049650046,1104,142469.6069974436,-31317.983510181057,9.197613059425827,1088,494384.8541539504,-66455.87704588163
10.75058054,0.0158431179228721,-3.658780952646809e-05,0.0248196365970947,,,,,,,-0.0112882193107239,,,,,,,,0.0106071201648281,,,,,,,,0.0184697040349371,,0.026063433268493676,0.0019551032855746877,0.015944046059022925,5.141148144821545,1088,132816.1705462535,-29578.7644213307,0.4924877460335681,1104,142469.6069974436,-31317.983510181057,4.027233160175162,1088,494384.8541539504,-66455.87704588163
11.25058054,-0.0052255262263053,0.0279751680222172,0.0357301033752792,,,,,,,0.0158431179228721,-0.0112882193107239,,,,,,,-3.658780952646809e-05,0.0106071201648281,,,,,,,0.0248196365970947,0.0184697040349371,0.030458651682336794,0.02790014832030364,-0.009651289641456985,2.6550793600876466,1088,132816.1705462535,-29578.7644213307,2.116129614408818,1104,142469.6069974436,-31317.983510181057,9.597749479109789,1088,494384.8541539504,-66455.87704588163
11.75058054,-0.0044051536123808,-0.0076227274467575,0.054147232259109,,,,,,,-0.0052255262263053,0.0158431179228721,,,,,,,0.0279751680222172,-3.658780952646809e-05,,,,,,,0.0357301033752792,0.0248196365970947,0.0492195248153684,-0.007515981077790655,-0.010546402546658978,1.0385184384549375,1088,132816.1705462535,-29578.7644213307,1.7862052441713983,1104,142469.6069974436,-31317.983510181057,16.252899773118248,1088,494384.8541539504,-66455.87704588163
12.25058054,-0.0174663733392421,-0.0056109428193186,0.0583301586510777,,,,,,,-0.0044051536123808,-0.0052255262263053,,,,,,,-0.0076227274467575,0.0279751680222172,,,,,,,0.054147232259109,0.0357301033752792,0.04978922604448938,-0.006715292162870904,-0.02437296933354578,3.1291535818583727,1088,132816.1705462535,-29578.7644213307,0.5162446362130348,1104,142469.6069974436,-31317.983510181057,10.546085040055516,1088,494384.8541539504,-66455.87704588163
12.75058054,-0.0073585130853872,-0.0050835053157086,0.0451603709534881,,,,,,,-0.0174663733392421,-0.0044051536123808,,,,,,,-0.0056109428193186,-0.0076227274467575,,,,,,,0.0583301586510777,0.054147232259109,0.039719620156096924,-0.005236622174954654,-0.011246396682981427,2.1617576951575246,1088,132816.1705462535,-29578.7644213307,2.1572421315849506,1104,142469.6069974436,-31317.983510181057,9.674967830294483,1088,494384.8541539504,-66455.87704588163
13.25058054,0.0015456264747218,0.0057063628767687,0.0653517853329201,,,,,,,-0.0073585130853872,-0.0174663733392421,,,,,,,-0.0050835053157086,-0.0056109428193186,,,,,,,0.0451603709534881,0.0583301586510777,0.06129820895443786,0.006275324867075651,-0.008957783056247958,1.2378111609552842,1088,132816.1705462535,-29578.7644213307,0.4668786629087891,1104,142469.6069974436,-31317.983510181057,7.570167751528504,1088,494384.8541539504,-66455.87704588163
13.75058054,0.0069224394118267,-0.0090784992486507,-0.0025904613173271,,,,,,,0.0015456264747218,-0.0073585130853872,,,,,,,0.0057063628767687,-0.0050835053157086,,,,,,,0.0653517853329201,0.0451603709534881,-0.002522348642729119,-0.00780120897598524,0.015382282027131811,1.8365158958311179,1088,132816.1705462535,-29578.7644213307,3.4841379366822354,1104,142469.6069974436,-31317.983510181057,13.905298066252927,1088,494384.8541539504,-66455.87704588163
14.25058054,0.0003139176824357,0.0022177316209353,0.0415761041524167,,,,,,,0.0069224394118267,0.0015456264747218,,,,,,,-0.0090784992486507,0.0057063628767687,,,,,,,-0.0025904613173271,0.0653517853329201,0.038112392942704375,0.0027431245373400817,-0.0035807795333017535,2.821267144577888,1088,132816.1705462535,-29578.7644213307,1.7932588822726188,1104,142469.6069974436,-31317.983510181057,5.461911575522788,1088,494384.8541539504,-66455.87704588163
14.75058054,-0.0192282218664287,-0.0039956294989883,0.0182151518855223,-0.00403469059486117,0.010758493301016862,-0.00481533991934305,-0.040346905948611705,0.34298671459909025,-0.09383703701272442,0.0003139176824357,0.0069224394118267,0.001507849054579913,0.011173789116027368,-0.002016108654257384,0.01507849054579913,1.6529729561688364,2.9802040508863508,0.0022177316209353,-0.0090784992486507,0.03592097859245178,0.021193126217255467,0.03865310376384795,0.3592097859245178,-0.3732560539481466,-0.5234801651540987,0.0415761041524167,-0.0025904613173271,0.010588656972006567,-0.005175977069764809,-0.01566245794822621,1.5818137102984362,1088,132816.1705462535,-29578.7644213307,1.1343564549983234,1104,142469.6069974436,-31317.983510181057,3.8457087572301067,1088,494384.8541539504,-66455.87704588163
15.25058054,-0.0232870115967041,-0.0093854570647397,0.0526751922825421,-0.005234569823459189,0.012226327178430113,-0.00481533991934305,-0.0523456982345919,0.08974134489611303,-0.5374709471738431,-0.0192282218664287,0.0003139176824357,-0.000491408668376867,0.011153370880233923,-0.00453956740734845,-0.00491408668376867,2.1374448869695835,5.163230553858104,-0.0039956294989883,0.0022177316209353,0.03934152741721228,0.020820642907702164,0.043368237552952396,0.3934152741721228,-0.861728427989171,0.31097274215494203,0.0182151518855223,0.0415761041524167,0.042890505083786466,-0.010992792440799362,-0.02814339008209175,3.692829788870174,1088,132816.1705462535,-29578.7644213307,0.8849345682047232,1104,142469.6069974436,-31317.983510181057,15.604396648846894,1088,494384.8541539504,-66455.87704588163
15.75058054,-0.0135174871591653,-0.0460401683728844,0.0230536285346992,-0.00817063033166293,0.009907802605613027,-0.00629201965584625,-0.0817063033166293,-0.10232690164101527,-1.1295949104987126,-0.0232870115967041,-0.0192282218664287,-0.005091766724712661,0.0182038727383575,-0.0053472240675136,-0.050917667247126604,-0.7140347655735817,3.6588491199636346,-0.0093854570647397,-0.0039956294989883,0.03916492661097273,0.020964496438763497,0.043368237552952396,0.39164926610972733,-0.8314931748945021,0.16905459305176201,0.0526751922825421,0.0182151518855223,0.01767058210743777,-0.046534014379552714,-0.007717290702769784,3.5849733660510648,1088,132816.1705462535,-29578.7644213307,0.49586284881078013,1104,142469.6069974436,-31317.983510181057,4.952475610093211,1088,494384.8541539504,-66455.87704588163
16.25058054,-0.0597016099593764,-0.0739812778155946,0.0289604440580817,-0.01361823870497004,0.018954579703295688,-0.010438000122276251,-0.1361823870497004,-1.6952109283412782,3.772169971396046,-0.0135174871591653,-0.0232870115967041,-0.015287411308493842,0.02493382290977459,-0.00661683513303805,-0.15287411308493842,-1.902733791274576,3.053799506278414,-0.0460401683728844,-0.0093854570647397,0.03848796067925298,0.02119575854626227,0.043368237552952396,0.3848796067925298,-0.6996643822138868,-0.16541933441193635,0.0230536285346992,0.0526751922825421,0.01187856750894313,-0.07859056268549823,-0.05116150254901193,2.5362648561341445,1088,132816.1705462535,-29578.7644213307,2.2110546590670688,1104,142469.6069974436,-31317.983510181057,14.166585265680466,1088,494384.8541539504,-66455.87704588163
16.750380540000002,0.0583008866802241,0.0108237642784247,0.0143613853045883,-0.0073476346757095495,0.029679322648544216,-0.010438000122276251,-0.0734763467570955,0.7251129958610493,3.03996001594058,-0.0597016099593764,-0.0135174871591653,-0.01344276213597562,0.02621339464683786,-0.0053472240675136,-0.1344276213597562,-1.7680505034383656,2.649481252414423,-0.0739812778155946,-0.0460401683728844,0.03450937598380091,0.021658791169386588,0.0352682741052492,0.3450937598380091,-0.20275153919868477,-0.8689246396171671,0.0289604440580817,0.0230536285346992,0.02686049663155864,0.01667236239555192,0.05852046405900625,1.7362734922950893,1088,132816.1705462535,-29578.7644213307,1.2244695469275848,1104,142469.6069974436,-31317.983510181057,10.423723126081066,1088,494384.8541539504,-66455.87704588163
17.250380540000002,0.0350444809790379,0.0127388674582814,-0.0010842082280356,-0.002096549243881549,0.032226151132458594,-0.0035222977014757496,-0.020965492438815493,0.2698255107181335,1.0300773169559392,0.0583008866802241,-0.0597016099593764,-0.01160778110821562,0.02743628439145167,-0.00453956740734845,-0.1160778110821562,-1.675773918346223,2.315593983476259,0.0108237642784247,-0.0739812778155946,0.028567939295889584,0.022529970077582246,0.02600703629639045,0.28567939295889583,0.1224624770567887,-0.9156880069148876,0.0143613853045883,0.0289604440580817,0.0058231097027416,0.01649033365539972,0.040068103704631715,1.9873897208283196,1088,132816.1705462535,-29578.7644213307,1.2473192203223562,1104,142469.6069974436,-31317.983510181057,8.704654941192707,1088,494384.8541539504,-66455.87704588163
17.750380540000002,-0.0148910445145453,-0.0143964023069664,-0.0078198743346814,-0.002849802386797359,0.03245006470477569,-0.0066017847383648,-0.028498023867973593,0.34342235993356773,0.9322851940483048,0.0350444809790379,0.0583008866802241,-0.012539070807341401,0.027348135299857856,-0.0065370643738195,-0.12539070807341401,-1.5663092660035252,2.0521913437589663,0.0127388674582814,0.0108237642784247,0.02326991476707263,0.02435038105723374,0.02063439021011075,0.2326991476707263,0.4198006932407971,-0.7776805010111306,-0.0010842082280356,0.0143613853045883,-0.013167092742149736,-0.01507752955315598,-0.0037279120159934226,1.8444897456117526,1088,132816.1705462535,-29578.7644213307,1.6506686158441215,1104,142469.6069974436,-31317.983510181057,9.532635125221995,1088,494384.8541539504,-66455.87704588163
18.25058054,-0.0024648720215219,-0.0054616455078996,-0.0063374088726926,-0.0032508522364217292,0.03241446909567077,-0.0079911795903436,-0.03250852236421729,0.3906086280895968,0.9839788188773662,-0.0148910445145453,0.0350444809790379,-0.013655871645808232,0.02674157436741919,-0.00727007237827515,-0.13655871645808232,-1.560154832422532,2.1757732710219204,-0.0143964023069664,0.0127388674582814,0.01610099534651136,0.02089190498440443,0.0162882685950553,0.1610099534651136,0.4772429558457733,-0.8674658355284411,-0.0078198743346814,-0.0010842082280356,-0.008675959290722773,-0.005048434148360465,0.00702775213894441,1.5339525627960056,1088,132816.1705462535,-29578.7644213307,1.7916424006155227,1104,142469.6069974436,-31317.983510181057,18.9361177533084,1088,494384.8541539504,-66455.87704588163
18.75058054,-0.0164425330142211,-0.0208288120635974,-0.0093923607975379,-0.0055873494790265096,0.03244176431344804,-0.014204265836855301,-0.05587349479026509,0.6466012516491885,1.2014703453632092,-0.0024648720215219,-0.0148910445145453,-0.0148309029273029,0.02677622898493671,-0.00742355128631965,-0.148309029273029,-1.3927888931644967,1.73615927385368,-0.0054616455078996,-0.0143964023069664,0.015420805398490282,0.02166451096074391,0.0162882685950553,0.1542080539849028,0.4086513208815282,-0.9702736235031207,-0.0063374088726926,-0.0078198743346814,-0.01495040776965642,-0.021621159536653126,-0.004234290994073012,2.72565295228386,1088,132816.1705462535,-29578.7644213307,1.6768465194012325,1104,142469.6069974436,-31317.983510181057,10.52097548729697,1088,494384.8541539504,-66455.87704588163
19.25058054,0.0057572879888815,0.0029725869016436,0.0143385412806732,-0.005043012448381929,0.03259707802696057,-0.014204265836855301,-0.05043012448381929,0.5798058004871889,1.0354451609899888,-0.0164425330142211,-0.0024648720215219,-0.01475541739923207,0.02683064019065686,-0.00742355128631965,-0.1475541739923207,-1.3899371776240188,1.7182452247548798,-0.0208288120635974,-0.0054616455078996,0.01269704911131593,0.019627199030676473,0.01434996329263075,0.1269704911131593,0.7449865804071562,0.3955907581405031,-0.0093923607975379,-0.0063374088726926,0.013242832906731183,0.004054327003324851,0.008742801508360196,2.7041425606509746,1088,132816.1705462535,-29578.7644213307,0.7418081447323807,1104,142469.6069974436,-31317.983510181057,24.86634800695303,1088,494384.8541539504,-66455.87704588163
19.75038054,-0.0013175238467005,0.0032763000971764,0.0131782243402284,-0.003251942646409109,0.0322209477269297,-0.0079911795903436,-0.03251942646409109,0.4037243396693323,1.1051801192550508,0.0057572879888815,-0.0164425330142211,-0.014028224439615603,0.027249935742169527,-0.00742355128631965,-0.14028224439615603,-1.3951654654284553,1.6161048951220636,0.0029725869016436,-0.0208288120635974,0.01219335635678654,0.019534264720606678,0.0137583828104508,0.1219335635678654,0.8492593126008461,0.6147599517193508,0.0143385412806732,-0.0093923607975379,0.010263041018342148,0.0037131515977628293,0.002223907487067505,1.2198491005251149,1088,132816.1705462535,-29578.7644213307,3.2333124196416008,1104,142469.6069974436,-31317.983510181057,7.996802661434871,1088,494384.8541539504,-66455.87704588163
20.25058054,0.0159868410950474,0.0079254317705379,-0.0219580651940045,0.0006754426227660405,0.03189947494042973,-0.0018911979341112001,0.006754426227660405,0.016649584015404,1.1308714053522633,-0.0013175238467005,0.0057572879888815,-0.012297135556087841,0.02811380053844845,-0.001244529303128,-0.12297135556087842,-1.43618614140893,1.5093172052104395,0.0032763000971764,0.0029725869016436,0.004730030609131882,0.016346306838877632,0.0060470080560964,0.047300306091318814,-0.08243491319476841,-1.0754435353124039,0.0131782243402284,0.0143385412806732,-0.019204633159941892,0.01000387347818038,0.027673805528761492,3.7378324444501443,1088,132816.1705462535,-29578.7644213307,1.625210153067587,1104,142469.6069974436,-31317.983510181057,8.093654337584532,1088,494384.8541539504,-66455.87704588163
20.75058054,-0.0037921590946798,0.016099969265844,0.014428261824735,0.0016479754292145908,0.03156518919807185,-0.0018911979341112001,0.016479754292145907,-0.08616305337813819,1.3629649735976852,0.0159868410950474,-0.0013175238467005,-0.0060831217922150006,0.026656530687113766,0.00312444349941,-0.06083121792215,-2.1269865736238733,5.087452633670302,0.0079254317705379,0.0032763000971764,0.0038674939381354604,0.015476424644966527,0.0060470080560964,0.038674939381354606,-0.08422658128961337,-0.7387700226771331,-0.0219580651940045,0.0131782243402284,0.01054091139280574,0.016254260989170235,-0.0016200836105285344,0.504664834158068,1088,132816.1705462535,-29578.7644213307,1.8779406248507025,1104,142469.6069974436,-31317.983510181057,5.8611495733579,1088,494384.8541539504,-66455.87704588163
21.25058054,0.0487441514023558,-0.0089202512061366,-0.0481118422086763,0.01249255156538781,0.026342783895318647,0.0022198820710905,0.1249255156538781,0.7591173603266688,-0.7990201171254628,-0.0037921590946798,0.0159868410950474,0.00042298086873079985,0.012336628605029189,0.00312444349941,0.0042298086873079985,-0.48555550460459895,-0.9526147600223739,0.016099969265844,0.0079254317705379,-0.0038397346885403394,0.02009383262934336,-0.0037108085503641,-0.038397346885403395,-1.1964355401705449,1.5044137671537843,0.014428261824735,-0.0219580651940045,-0.03548797718859438,-0.0037192304547050024,0.06751558750879927,6.362204205270703,1088,132816.1705462535,-29578.7644213307,0.11964108658973935,1104,142469.6069974436,-31317.983510181057,6.902210613576235,1088,494384.8541539504,-66455.87704588163
21.75058054,-0.026712377827889,-0.0008168845722243,0.0034362239442488,0.0039912251145765,0.023479016112987104,-0.0018911979341112001,0.03991225114576501,0.8177822614602329,0.08355498245833713,0.0487441514023558,-0.0037921590946798,-0.0007410840163341,0.011782954488279148,0.0010778511647096501,-0.007410840163341001,-0.2811436512006943,-0.6920666591942332,-0.0089202512061366,0.016099969265844,-0.004932250824574289,0.019274571266514225,-0.0037108085503641,-0.04932250824574289,-1.2522462170265656,1.909954473618013,-0.0481118422086763,0.014428261824735,-0.0057006079942026585,-0.0026604100021083137,-0.01924930754738633,2.623271498949083,1088,132816.1705462535,-29578.7644213307,2.1504255792622473,1104,142469.6069974436,-31317.983510181057,9.770257238307591,1088,494384.8541539504,-66455.87704588163
22.25058054,-0.0452032278538115,0.0405393762415284,0.0243498880132346,-0.004033545768708439,0.025327187422232934,-0.00312851555810085,-0.040335457687084394,0.6100708894042165,1.5503185041788368,-0.026712377827889,0.0487441514023558,0.0020389668619906,0.01730325154651562,0.0010778511647096501,0.020389668619906,1.1231918173745987,1.994758216188503,-0.0008168845722243,-0.0089202512061366,-0.00238884120044727,0.021399711253250183,-0.0014505924642218998,-0.023888412004472698,-1.0079964908177783,1.1245252630328935,0.0034362239442488,-0.0481118422086763,0.008730112709758972,0.03678592162802837,-0.046182083283582094,2.1275160050066653,1088,132816.1705462535,-29578.7644213307,2.4108488433927358,1104,142469.6069974436,-31317.983510181057,15.02604949987978,1088,494384.8541539504,-66455.87704588163
22.75058054,-0.0174810464168647,0.0094199155657276,0.0168818681280006,-0.0042925459589403785,0.02546343126954404,-0.00312851555810085,-0.04292545958940379,0.6287852429996301,1.4740199474916673,-0.0452032278538115,-0.026712377827889,0.0044205986492599995,0.016405480016289716,0.00312444349941,0.0442059864926,0.9215129572532105,2.198115588649869,0.0405393762415284,-0.0008168845722243,8.133304582093083e-05,0.022116799257450977,0.0083072241422386,0.0008133304582093083,-1.2399279496835858,1.2977617334820388,0.0243498880132346,0.0034362239442488,0.009467332053561994,0.008346091665648347,-0.014823765778779717,1.56424013365986,1088,132816.1705462535,-29578.7644213307,1.2227865339273531,1104,142469.6069974436,-31317.983510181057,9.461959953837882,1088,494384.8541539504,-66455.87704588163
23.25038054,0.0489150258023601,-0.0003561061195534,-0.0384211355713495,0.0008454438234478202,0.030549036898516502,-0.00255484147069015,0.008454438234478202,0.46061953824255614,-0.3468234356945134,-0.0174810464168647,-0.0452032278538115,0.004931152588094621,0.016141077606549988,0.00312444349941,0.04931152588094621,0.8771591754865675,2.4219213310661707,0.0094199155657276,0.0405393762415284,-0.0031270396240447593,0.025255755283503104,0.0083072241422386,-0.03127039624044759,-0.8432766444766229,-0.7103096342274766,0.0168818681280006,0.0243498880132346,-0.026280301404154355,0.004802542218886599,0.06437207491877865,2.242702075492045,1088,132816.1705462535,-29578.7644213307,4.291803988634982,1104,142469.6069974436,-31317.983510181057,4.467619592838721,1088,494384.8541539504,-66455.87704588163
23.75058054,0.0377352210423189,-0.0156348450549431,-0.0112103125954324,0.0062632192291018195,0.03191595128092843,0.0022198820710905,0.0626321922910182,-0.0028845335236732076,-0.9556827027289074,0.0489150258023601,-0.0174810464168647,0.005450549288960051,0.015280693074647923,0.00312444349941,0.05450549288960051,1.2330921746290786,2.7545760043180474,-0.0003561061195534,0.0094199155657276,-0.003308834803834209,0.02531234466533573,0.0083072241422386,-0.03308834803834209,-0.813117035944069,-0.7785185009780804,-0.0384211355713495,0.0168818681280006,-0.002622633425257828,-0.011495732893633604,0.04783309795186714,2.4647179575867564,1088,132816.1705462535,-29578.7644213307,1.66945735950362,1104,142469.6069974436,-31317.983510181057,6.621222299476719,1088,494384.8541539504,-66455.87704588163
24.25058054,-0.0025485939111584,0.0366973399962005,-0.0105252440879295,0.00543263103909783,0.032038422822335384,-0.0019330588789294501,0.0543263103909783,0.09150130798202841,-0.9988865729381305,0.0377352210423189,0.0489150258023601,0.008823024598415741,0.01812911091266869,0.00560086593385715,0.08823024598415741,0.7433629348553695,-0.11240323857295463,-0.0156348450549431,-0.0003561061195534,-0.005795213340694478,0.024597332805075273,-0.00354451007184035,-0.057952133406944786,-0.5604087724100083,-0.8790212296666609,-0.0112103125954324,-0.0384211355713495,-0.013658298538545405,0.036936100426085125,0.0043074242053131205,0.3563606747551013,1088,132816.1705462535,-29578.7644213307,0.4527378948647386,1104,142469.6069974436,-31317.983510181057,11.45009159710967,1088,494384.8541539504,-66455.87704588163
