"event","experiment time","system time","system time text"
"START",0.000000000E0,1717612198.732,"2024-06-05 20:29:58.732 UTC+02:00"
"PAUSE",3.401538363E2,1717612538.885,"2024-06-05 20:35:38.885 UTC+02:00"
