Time (s),Accelerometer_X,Accelerometer_Y,Accelerometer_Z,pca1,pca2,temp_Accelerometer_X_mean,temp_Accelerometer_X_max,temp_Accelerometer_X_min,temp_Accelerometer_X_std,temp_Accelerometer_X_median,temp_Accelerometer_X_sum,temp_Accelerometer_X_skew,temp_Accelerometer_X_kurt,temp_Accelerometer_X_exp_avg,Accelerometer_X_lag1,Accelerometer_X_lag2,temp_Accelerometer_Y_mean,temp_Accelerometer_Y_max,temp_Accelerometer_Y_min,temp_Accelerometer_Y_std,temp_Accelerometer_Y_median,temp_Accelerometer_Y_sum,temp_Accelerometer_Y_skew,temp_Accelerometer_Y_kurt,temp_Accelerometer_Y_exp_avg,Accelerometer_Y_lag1,Accelerometer_Y_lag2,temp_Accelerometer_Z_mean,temp_Accelerometer_Z_max,temp_Accelerometer_Z_min,temp_Accelerometer_Z_std,temp_Accelerometer_Z_median,temp_Accelerometer_Z_sum,temp_Accelerometer_Z_skew,temp_Accelerometer_Z_kurt,temp_Accelerometer_Z_exp_avg,Accelerometer_Z_lag1,Accelerometer_Z_lag2,Accelerometer_X_fft,temp_Accelerometer_X_highest_freq,temp_Accelerometer_X_power_spectrum_entropy,temp_Accelerometer_X_spectral_energy,Accelerometer_Y_fft,temp_Accelerometer_Y_highest_freq,temp_Accelerometer_Y_power_spectrum_entropy,temp_Accelerometer_Y_spectral_energy,Accelerometer_Z_fft,temp_Accelerometer_Z_highest_freq,temp_Accelerometer_Z_power_spectrum_entropy,temp_Accelerometer_Z_spectral_energy
10.24629019,-8.73708875955641,-1.3545962670855405,4.875587324348309,8.215818581258475,-7.8232064869366,,,,,,,,,-8.73708875955641,,,,,,,,,,,-1.3545962670855405,,,,,,,,,,,4.875587324348309,,,555.5716565502822,,,,4698.845464754026,,,,3680.126376696029,,,
10.7475924428,-8.249252231180355,-1.6795165959071636,3.028019548338569,6.758945037812907,-8.622324939529491,,,,,,,,,-8.64839120894258,-8.73708875955641,,,,,,,,,,-1.4136726905076538,-1.3545962670855405,,,,,,,,,,4.539665910528356,4.875587324348309,,76.5768944505103,,,,32.482681376688625,,,,340.6735791332814,,,
11.2488947,-8.240927973384537,-6.2309072461867,1.5088432947382318,2.7590865577993617,-9.714183874535495,,,,,,,,,-8.574306984295664,-8.249252231180355,-8.73708875955641,,,,,,,,,-2.2895335188129344,-1.6795165959071636,-1.3545962670855405,,,,,,,,,3.9886072531119696,3.028019548338569,4.875587324348309,116.73456929438491,,,,52.406047945918324,,,,281.8483838323842,,,
11.7501964096,-7.953175034208618,-4.795413577139376,1.0566118429766644,3.3795116774333906,-9.73323184966025,,,,,,,,,-8.461373902461654,-8.240927973384537,-8.249252231180355,,,,,,,,,-2.7451480748722874,-6.2309072461867,-1.6795165959071636,,,,,,,,,3.4555171785419136,1.5088432947382318,3.028019548338569,41.81989287048534,,,,111.42587755895775,,,,237.72153896987032,,,
12.2514981,-5.84230399220322,-7.67110528115355,1.118109345715793,0.41746273382989507,-8.14687095988756,,,,,,,,,-7.985179373323756,-7.953175034208618,-8.240927973384537,,,,,,,,,-3.640776657832517,-4.795413577139376,-6.2309072461867,,,,,,,,,3.0305339362098915,1.0566118429766644,1.5088432947382318,85.24665929878088,,,,116.9935351190952,,,,213.9019681465329,,,
12.7527999328,2.379748591324406,-9.422096701832452,1.4351239791528838,-4.490809204562822,-1.631025177142161,,,,,,,,,-6.100647016114999,-5.84230399220322,-7.953175034208618,,,,,,,,,-4.691925756741596,-7.67110528115355,-4.795413577139376,,,,,,,,,2.7404593985631625,1.118109345715793,1.0566118429766644,132.1751034033473,,,,129.2377944763364,,,,185.2726231907115,,,
13.254101659999998,3.48725461916028,-8.951337538513565,1.551129348743653,-4.619671985767555,-0.6855133568360712,,,,,,,,,-4.357392173337675,2.379748591324406,-5.84230399220322,,,,,,,,,-5.466364262518317,-9.422096701832452,-7.67110528115355,,,,,,,,,2.5242175713232515,1.4351239791528838,1.118109345715793,145.60837108332697,,,,110.58215957525788,,,,122.86515009215213,,,
13.750390535714285,3.656545021773481,-8.99637050476895,1.523290607093558,-4.7456186295067155,-0.5733359356817194,,,,,,,,,-2.9003126833174644,3.48725461916028,2.379748591324406,,,,,,,,,-6.108183579291159,-8.951337538513565,-9.422096701832452,,,,,,,,,2.342230850554216,1.551129348743653,1.4351239791528838,169.16004309247265,,,,133.4591394444992,,,,108.39738708476257,,,
14.24667927,3.708341265495467,-8.886861626748761,1.6513596764879932,-4.624185407143919,-0.44897682591644505,,,,,,,,,-1.6987392380787494,3.656545021773481,3.48725461916028,,,,,,,,,-6.613397769737995,-8.99637050476895,-8.951337538513565,,,,,,,,,2.216617909814903,1.523290607093558,1.551129348743653,187.3366670676221,,,,124.01545437756114,,,,65.77193495175973,,,
14.747980975,3.277098548624537,-9.002157096857973,1.4273713844162697,-4.623522452584714,-0.9280292739296621,-2.251375994415497,3.708341265495467,-8.73708875955641,5.913111477236905,-1.731277700439407,-22.51375994415497,-0.040284228806069806,-2.4590212139330974,-0.7940414586781518,3.708341265495467,3.656545021773481,-6.699036243619403,-1.3545962670855405,-9.422096701832452,3.0984416880112366,-8.278983453951156,-66.99036243619403,1.021491216729876,-0.4927469452431958,-7.047717647396173,-8.886861626748761,-8.99637050476895,1.9175446352011924,4.875587324348309,1.0566118429766644,1.172085523153004,1.5160669509158948,19.175446352011924,2.214677111053393,4.823029422169029,2.0731185415606057,1.6513596764879932,1.523290607093558,192.48071208040193,555.5716565502822,1.3406576396279155,476597.76957461244,117.35406154403131,4698.845464754026,0.039994791539667056,22184947.40566371,30.62600543036982,3680.126376696029,0.1678308558136424,13907528.412683275
