"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.551984050E-1,-2.709185183E-1,1.075427413E0,-2.525925934E-1
7.651984050E-1,-6.688969582E-2,1.062599301E0,-3.472766280E-1
7.751984050E-1,1.475238502E-1,9.862411618E-1,-3.979783952E-1
7.851984050E-1,3.313941360E-1,8.836159110E-1,-4.144717455E-1
7.951984050E-1,5.470294356E-1,7.699950337E-1,-4.010327160E-1
8.051984050E-1,5.836812854E-1,7.742711306E-1,-3.448331654E-1
8.151984050E-1,5.714640021E-1,7.693842053E-1,-2.672533393E-1
8.251984050E-1,5.158752799E-1,7.278453708E-1,-2.159406990E-1
8.351984050E-1,4.462367296E-1,7.058542371E-1,-1.536324918E-1
8.451984050E-1,3.790415823E-1,6.600393653E-1,-7.483093441E-2
8.551984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.651984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.751984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.851984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.951984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
9.051984050E-1,3.451386094E-2,3.008508980E-1,9.376774728E-2
9.151984050E-1,-3.970621154E-3,1.401934624E-1,5.283980444E-2
9.251984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.351984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.451984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.551984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.651984050E-1,-2.025016695E-1,-3.368919194E-1,-2.046396956E-2
9.751984050E-1,-1.902843714E-1,-7.483093441E-2,-1.679878123E-2
9.851984050E-1,-1.591302752E-1,1.175914705E-1,-4.581485875E-3
9.951984050E-1,-1.249218509E-1,1.835648715E-1,2.657261863E-2
1.005198405E0,-1.249218509E-1,1.835648715E-1,2.657261863E-2
1.015198405E0,-9.437860548E-2,-8.704823256E-2,1.579085439E-1
1.025198405E0,-9.437860548E-2,-8.704823256E-2,1.579085439E-1
1.035198405E0,-1.841757298E-1,-3.466657698E-1,2.513708472E-1
1.045198405E0,-2.483165264E-1,-4.193586707E-1,2.898553312E-1
1.055198405E0,-3.283398151E-1,-4.248564541E-1,2.947422564E-1
1.065198405E0,-4.303542376E-1,-3.130682111E-1,2.764163017E-1
1.075198405E0,-4.303542376E-1,-3.130682111E-1,2.764163017E-1
1.085198405E0,-6.918043494E-1,1.701258421E-1,3.955349326E-1
1.095198405E0,-7.608320713E-1,1.982256174E-1,4.651735425E-1
1.105198405E0,-8.329141140E-1,7.360920310E-2,5.085449219E-1
1.115198405E0,-9.257655740E-1,-3.179551065E-1,5.366446972E-1
1.125198405E0,-9.935715795E-1,-9.428697824E-1,5.592467189E-1
1.135198405E0,-9.764673710E-1,-1.572060466E0,5.885682106E-1
1.145198405E0,-6.814196706E-1,-1.915366530E0,6.252201200E-1
1.155198405E0,-4.291325212E-1,-1.535408616E0,5.940660238E-1
1.165198405E0,-1.646280587E-1,-1.017395258E0,4.755582213E-1
1.175198405E0,4.673115537E-2,-4.871646762E-1,2.409861535E-1
1.185198405E0,1.939495653E-1,1.130099874E-2,-9.468403645E-3
1.195198405E0,2.666424811E-1,3.210094273E-1,-1.194240674E-1
1.205198405E0,3.289506733E-1,3.643808365E-1,-1.609628648E-1
1.215198405E0,3.863719702E-1,1.090393662E-1,-1.255327165E-1
1.225198405E0,3.747655451E-1,1.383608729E-1,-9.254601598E-2
1.235198405E0,3.735437989E-1,3.387245238E-1,-8.093958348E-2
1.245198405E0,4.040870368E-1,5.910117030E-1,-7.422006875E-2
1.255198405E0,4.382954836E-1,7.559451461E-1,-5.833758786E-2
1.265198405E0,4.413498044E-1,8.035926223E-1,-3.573558852E-2
1.275198405E0,3.930914998E-1,7.370083332E-1,-1.802051067E-2
1.285198405E0,1.744018942E-1,3.063486814E-1,4.612028971E-2
1.295198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.305198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.315198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.325198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.335198405E0,-2.739728391E-1,6.627883017E-2,1.163697392E-1
1.345198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.355198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.365198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.375198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.385198405E0,8.277218044E-2,3.075704277E-1,1.426369250E-1
1.395198405E0,9.743293375E-2,3.023780696E-2,1.817322671E-1
1.405198405E0,4.673115537E-2,-2.232710719E-1,1.640172005E-1
1.415198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.425198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.435198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.445198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.455198405E0,-2.025016695E-1,1.102610901E-1,-1.970038861E-1
1.465198405E0,-1.175914705E-1,9.376774728E-2,-2.177732885E-1
1.475198405E0,-3.268126398E-2,-1.985310577E-2,-2.086103261E-1
1.485198405E0,2.779434808E-2,-1.524107605E-1,-1.945604384E-1
1.495198405E0,2.779434808E-2,-1.524107605E-1,-1.945604384E-1
1.505198405E0,1.114828214E-1,-7.177661359E-2,-2.226602137E-1
1.515198405E0,1.823431402E-1,4.062250629E-2,-2.342666388E-1
1.525198405E0,2.751945853E-1,1.774562150E-1,-2.208276242E-1
1.535198405E0,3.857611120E-1,3.185659945E-1,-2.025016695E-1
1.545198405E0,4.981602132E-1,4.266890585E-1,-1.890626550E-1
1.555198405E0,5.965094566E-1,4.663952589E-1,-1.872300506E-1
1.565198405E0,6.203331947E-1,1.872300506E-1,-2.495382577E-1
1.575198405E0,5.183187723E-1,-8.460476995E-2,-2.910770774E-1
1.585198405E0,3.527744114E-1,-3.643808365E-1,-3.240637779E-1
1.595198405E0,1.530216336E-1,-5.671879649E-1,-3.460549116E-1
1.605198405E0,-5.345066637E-2,-6.258309484E-1,-3.613265157E-1
1.615198405E0,-2.251036763E-1,-5.464185476E-1,-3.802633286E-1
1.625198405E0,-3.368919194E-1,-3.686569035E-1,-4.132500291E-1
1.635198405E0,-4.352411628E-1,-6.414080039E-3,-4.767799675E-1
1.645198405E0,-4.480693042E-1,1.707367003E-1,-4.743365049E-1
1.655198405E0,-4.376846254E-1,3.478874862E-1,-4.670061171E-1
1.665198405E0,-3.930914998E-1,4.883863926E-1,-4.670061171E-1
1.675198405E0,-2.977965772E-1,6.038398147E-1,-4.731147587E-1
1.685198405E0,-1.664606482E-1,6.789761782E-1,-4.419606626E-1
1.695198405E0,-1.007926930E-2,7.070759535E-1,-3.674351573E-1
1.705198405E0,3.601047993E-1,4.517345130E-1,-1.744018942E-1
1.715198405E0,3.601047993E-1,4.517345130E-1,-1.744018942E-1
1.725198405E0,3.601047993E-1,4.517345130E-1,-1.744018942E-1
1.735198405E0,3.601047993E-1,4.517345130E-1,-1.744018942E-1
1.745198405E0,5.360338688E-1,-7.938187718E-1,3.313941360E-1
1.755198405E0,4.364628792E-1,-9.990693331E-1,3.747655451E-1
1.765198405E0,3.252854943E-1,-1.165835381E0,3.778198659E-1
1.775198405E0,3.252854943E-1,-1.165835381E0,3.778198659E-1
1.785198405E0,3.252854943E-1,-1.165835381E0,3.778198659E-1
1.795198405E0,3.252854943E-1,-1.165835381E0,3.778198659E-1
1.805198405E0,1.206457913E-1,-1.145676851E0,-3.552178741E-1
1.815198405E0,1.328630894E-1,-8.585704565E-1,-5.091558099E-1
1.825198405E0,1.188132018E-1,-4.602866173E-1,-5.928442478E-1
1.835198405E0,9.254601598E-2,-2.474002354E-2,-6.105593443E-1
1.845198405E0,9.254601598E-2,-2.474002354E-2,-6.105593443E-1
1.855198405E0,9.254601598E-2,-2.474002354E-2,-6.105593443E-1
1.865198405E0,-1.188132018E-1,5.955931544E-2,-6.643154621E-1
1.875198405E0,-1.676823795E-1,-4.795288667E-2,-6.759218574E-1
1.885198405E0,-2.043342739E-1,-1.740964688E-2,-6.875283122E-1
1.895198405E0,-2.116646469E-1,1.963930279E-1,-6.618719697E-1
1.905198405E0,-1.994473487E-1,5.054906011E-1,-5.671879649E-1
1.915198405E0,-1.438586563E-1,8.469640017E-1,-3.637699783E-1
1.925198405E0,-1.438586563E-1,8.469640017E-1,-3.637699783E-1
1.935198405E0,-3.451386094E-2,7.260127664E-1,-2.159406990E-1
1.945198405E0,4.123337194E-2,5.641336441E-1,-1.444695145E-1
1.955198405E0,1.053741723E-1,4.022544622E-1,-8.032871783E-2
1.965198405E0,1.401934624E-1,2.971857190E-1,-3.451386094E-2
1.975198405E0,1.322522312E-1,2.886336148E-1,-1.130099874E-2
1.985198405E0,1.618791744E-2,4.150826037E-1,-3.756818548E-2
1.995198405E0,-6.811141968E-2,4.309650958E-1,-8.032871783E-2
2.005198405E0,-1.756236255E-1,3.460549116E-1,-1.371391416E-1
2.015198405E0,-3.020726442E-1,1.505781710E-1,-1.927278340E-1
2.025198405E0,-4.163043499E-1,-9.987638891E-2,-2.299905866E-1
2.035198405E0,-4.902189970E-1,-3.179551065E-1,-2.464839369E-1
2.045198405E0,-5.146535635E-1,-4.346303046E-1,-2.385426909E-1
2.055198405E0,-4.065304995E-1,-3.411679864E-1,-1.536324918E-1
2.065198405E0,-3.228420317E-1,-2.538143098E-1,-8.826996386E-2
2.075198405E0,-2.440404743E-1,-1.713475734E-1,3.970621154E-3
2.085198405E0,-1.988364905E-1,-1.206457913E-1,7.727439702E-2
2.095198405E0,-1.988364905E-1,-1.206457913E-1,7.727439702E-2
2.105198405E0,-2.495382577E-1,-3.063486814E-1,1.499672979E-1
2.115198405E0,-3.796524704E-1,-4.877755344E-1,2.110537887E-1
2.125198405E0,-3.796524704E-1,-4.877755344E-1,2.110537887E-1
2.135198405E0,-3.796524704E-1,-4.877755344E-1,2.110537887E-1
2.145198405E0,-3.796524704E-1,-4.877755344E-1,2.110537887E-1
2.155198405E0,-4.767799675E-1,-1.034499526E0,7.015781999E-1
2.165198405E0,-4.156934917E-1,-8.994984031E-1,7.816014886E-1
2.175198405E0,-3.668242991E-1,-6.911935210E-1,8.762855530E-1
2.185198405E0,-3.857611120E-1,-4.645626545E-1,1.002123713E0
2.195198405E0,-3.857611120E-1,-4.645626545E-1,1.002123713E0
2.205198405E0,-3.857611120E-1,-4.645626545E-1,1.002123713E0
2.215198405E0,-1.885434151E0,-1.927278340E-1,8.390227556E-1
2.225198405E0,-2.148106098E0,-5.342012644E-1,7.290670872E-1
2.235198405E0,-2.199418545E0,-7.082977295E-1,5.787943602E-1
2.245198405E0,-1.987448573E0,-5.549706817E-1,3.039052188E-1
2.255198405E0,-1.518304467E0,-4.053087831E-1,4.062250629E-2
2.265198405E0,-1.518304467E0,-4.053087831E-1,4.062250629E-2
2.275198405E0,7.119628787E-1,-5.833758786E-2,-3.069595397E-1
2.285198405E0,1.303890824E0,2.641990185E-1,-4.511236250E-1
