"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.928530920E-1,9.308080077E-1,2.009970993E-1,9.573683739E0
8.028530920E-1,9.308080077E-1,2.009970993E-1,9.573683739E0
8.128530920E-1,-5.096712112E-1,1.933400750E0,6.752545357E0
8.228530920E-1,-8.327022791E-1,2.201396942E0,6.580262184E0
8.328530920E-1,-1.172483087E0,2.411965132E0,6.587440968E0
8.428530920E-1,-1.038485050E0,2.481357098E0,6.695117950E0
8.528530920E-1,-1.038485050E0,2.481357098E0,6.695117950E0
8.628530920E-1,-1.038485050E0,2.481357098E0,6.695117950E0
8.728530920E-1,-1.038485050E0,2.481357098E0,6.695117950E0
8.828530920E-1,-6.580262184E-1,2.761317253E0,6.675975323E0
8.928530920E-1,-7.657032609E-1,2.792423964E0,7.046862602E0
9.028530920E-1,-7.561319470E-1,2.766103029E0,7.544569969E0
9.128530920E-1,-6.747759581E-1,2.679961443E0,8.054241180E0
9.228530920E-1,-6.747759581E-1,2.679961443E0,8.054241180E0
9.328530920E-1,-8.901300430E-1,2.780459881E0,9.099904060E0
9.428530920E-1,-8.015955687E-1,2.797209740E0,9.248259544E0
9.528530920E-1,-4.378865361E-1,2.711068153E0,9.343972206E0
9.628530920E-1,-2.416750938E-1,2.756531715E0,9.456435204E0
9.728530920E-1,-2.081755698E-1,2.823530674E0,9.793823242E0
9.828530920E-1,-2.368894368E-1,2.746960402E0,1.016231823E1
9.928530920E-1,-2.368894368E-1,2.746960402E0,1.016231823E1
1.002853092E0,-9.164510965E-1,2.419143677E0,1.102134132E1
1.012853092E0,-1.036092162E0,2.347358942E0,1.118883896E1
1.022853092E0,-1.040877819E0,2.342573404E0,1.121037388E1
1.032853092E0,-1.043270707E0,2.261217356E0,1.110269737E1
1.042853092E0,-8.135597110E-1,2.172683001E0,1.102612686E1
1.052853092E0,-2.967100143E-1,2.517249346E0,1.078205872E1
1.062853092E0,-4.785645306E-1,3.407379389E0,9.858428955E0
1.072853092E0,-1.562513232E0,2.316252232E0,1.008096218E1
1.082853092E0,-2.270788670E0,6.580262184E-1,1.077966595E1
1.092853092E0,-2.289931297E0,-3.421736360E-1,1.181336498E1
1.102853092E0,-2.199003935E0,-6.197410822E-1,1.263171101E1
1.112853092E0,-2.146361828E0,-5.216353536E-1,1.324666595E1
1.122853092E0,-2.380858421E0,-4.331009090E-1,1.352662659E1
1.132853092E0,-1.584048629E0,-8.446664214E-1,1.352662659E1
1.142853092E0,-5.910272002E-1,-7.896314859E-1,1.356491184E1
1.152853092E0,7.082754970E-1,-3.086741269E-1,1.383769321E1
1.162853092E0,1.380658627E0,3.828516230E-2,1.365583897E1
1.172853092E0,1.799402595E0,3.254238665E-1,1.294995594E1
1.182853092E0,1.366301775E0,6.867401004E-1,1.185165024E1
1.192853092E0,6.652047038E-1,6.245267391E-1,1.065763187E1
1.202853092E0,6.652047038E-1,6.245267391E-1,1.065763187E1
1.212853092E0,6.652047038E-1,6.245267391E-1,1.065763187E1
1.222853092E0,6.652047038E-1,6.245267391E-1,1.065763187E1
1.232853092E0,6.652047038E-1,6.245267391E-1,1.065763187E1
1.242853092E0,5.096712112E-1,6.269195080E-1,7.384250641E0
1.252853092E0,3.613162339E-1,7.417750359E-1,7.415357590E0
1.262853092E0,1.268195957E-1,1.086341500E0,7.360322475E0
1.272853092E0,1.268195957E-1,1.086341500E0,7.360322475E0
1.282853092E0,1.268195957E-1,1.086341500E0,7.360322475E0
1.292853092E0,1.268195957E-1,1.086341500E0,7.360322475E0
1.302853092E0,-1.172483116E-1,1.485942841E0,7.099504948E0
1.312853092E0,1.435693651E-1,1.339980721E0,6.912864685E0
1.322853092E0,3.278166950E-1,1.284945726E0,6.905686378E0
1.332853092E0,5.288137794E-1,1.313659668E0,7.018148899E0
1.342853092E0,5.288137794E-1,1.313659668E0,7.018148899E0
1.352853092E0,5.288137794E-1,1.313659668E0,7.018148899E0
1.362853092E0,-3.349951655E-2,1.330409408E0,7.458428383E0
1.372853092E0,-1.627119333E-1,1.292124271E0,7.357929707E0
1.382853092E0,-3.230310678E-1,1.229910851E0,7.204789162E0
1.392853092E0,-5.072783828E-1,1.287338614E0,7.209574699E0
1.402853092E0,-2.440679073E-1,1.280160069E0,6.948757172E0
1.412853092E0,-3.278166950E-1,1.531406522E0,6.704689026E0
1.422853092E0,-2.943171859E-1,1.478764415E0,7.073183537E0
1.432853092E0,-1.124626622E-1,1.430907965E0,7.874779224E0
1.442853092E0,9.571290575E-3,1.624726534E0,8.752944946E0
1.452853092E0,-6.221338734E-2,1.976471543E0,9.523433685E0
1.462853092E0,-3.684946895E-1,2.402393818E0,1.027717304E1
1.472853092E0,-4.307080805E-1,2.711068153E0,1.074616623E1
1.482853092E0,7.178468257E-2,2.689532757E0,1.094477081E1
1.492853092E0,2.512463629E-1,2.620140791E0,1.115773201E1
1.502853092E0,3.541377485E-1,2.531606436E0,1.161715412E1
1.512853092E0,-2.392822644E-3,2.529213428E0,1.202154064E1
1.522853092E0,-3.828516304E-1,2.770888567E0,1.239721394E1
1.532853092E0,-4.307080805E-1,2.924029350E0,1.271785259E1
1.542853092E0,-3.302095234E-1,2.979064226E0,1.287099266E1
1.552853092E0,-2.153540403E-1,2.605783939E0,1.245942783E1
1.562853092E0,-2.536391914E-1,2.443071842E0,1.196411324E1
1.572853092E0,-3.972085714E-1,2.378465652E0,1.138026428E1
1.582853092E0,-4.091726840E-1,2.325823545E0,1.081316566E1
1.592853092E0,-3.110669553E-1,2.440679073E0,1.035374355E1
1.602853092E0,-2.153540403E-2,2.586641312E0,1.003789139E1
1.612853092E0,3.062812984E-1,2.380858421E0,1.013121128E1
1.622853092E0,3.062812984E-1,2.380858421E0,1.013121128E1
1.632853092E0,3.062812984E-1,2.380858421E0,1.013121128E1
1.642853092E0,3.062812984E-1,2.380858421E0,1.013121128E1
1.652853092E0,3.062812984E-1,2.380858421E0,1.013121128E1
1.662853092E0,-2.009970993E-1,3.517449200E-1,1.413201046E1
1.672853092E0,7.178467698E-3,4.809573591E-1,1.462253952E1
1.682853092E0,-2.871387303E-1,7.728816867E-1,1.462732506E1
1.692853092E0,-2.871387303E-1,7.728816867E-1,1.462732506E1
1.702853092E0,-2.871387303E-1,7.728816867E-1,1.462732506E1
1.712853092E0,-2.871387303E-1,7.728816867E-1,1.462732506E1
1.722853092E0,-1.536192179E0,1.938186288E0,1.073898792E1
1.732853092E0,-1.440479279E0,1.761117458E0,9.576076508E0
1.742853092E0,-9.379864931E-1,1.696511269E0,8.872586250E0
1.752853092E0,-4.426721931E-1,1.450050473E0,8.437092781E0
1.762853092E0,-4.426721931E-1,1.450050473E0,8.437092781E0
1.772853092E0,2.244467735E0,-2.392822653E-1,8.035098076E0
1.782853092E0,2.522035122E0,-5.647061467E-1,7.968099594E0
1.792853092E0,2.828316450E0,-8.207381964E-1,7.781459332E0
1.802853092E0,3.089133978E0,-8.662018180E-1,7.575676441E0
1.812853092E0,2.892922640E0,-1.210768223E0,7.290930748E0
1.822853092E0,2.268395901E0,-7.369893789E-1,6.640082836E0
1.832853092E0,2.268395901E0,-7.369893789E-1,6.640082836E0
1.842853092E0,1.485942841E0,-1.651047617E-1,6.108876228E0
1.852853092E0,1.426122308E0,-2.703889608E-1,5.958128452E0
1.862853092E0,1.232303619E0,-2.967100143E-1,5.761917114E0
1.872853092E0,1.138983607E0,-2.129612118E-1,5.532206059E0
1.882853092E0,1.081555843E0,-3.349951655E-2,5.489135265E0
1.892853092E0,3.493520916E-1,7.752745152E-1,5.568098068E0
1.902853092E0,-8.901300430E-1,2.170290232E0,6.223731518E0
1.912853092E0,-8.303094506E-1,2.266003132E0,6.771687984E0
1.922853092E0,-7.704889178E-1,2.440679073E0,7.214360237E0
1.932853092E0,-8.231309652E-1,2.572284460E0,7.546962738E0
1.942853092E0,-9.236295223E-1,2.641676188E0,7.786244869E0
1.952853092E0,-1.000199914E0,2.732603550E0,7.762316704E0
1.962853092E0,-9.714859724E-1,2.811566591E0,7.635497093E0
1.972853092E0,-3.445664644E-1,2.768495798E0,7.305287361E0
1.982853092E0,2.392822644E-3,2.543570518E0,7.324429989E0
1.992853092E0,2.392822644E-3,2.543570518E0,7.324429989E0
2.002853092E0,2.392822644E-3,2.543570518E0,7.324429989E0
2.012853092E0,1.244267747E-1,2.184647083E0,8.061419487E0
2.022853092E0,-1.579262912E-1,2.124826431E0,8.561519623E0
2.032853092E0,-3.589234054E-1,2.053041935E0,9.178867340E0
2.042853092E0,-3.589234054E-1,2.053041935E0,9.178867340E0
2.052853092E0,-3.589234054E-1,2.053041935E0,9.178867340E0
2.062853092E0,-3.589234054E-1,2.053041935E0,9.178867340E0
2.072853092E0,-2.703889608E-1,2.859423161E0,1.066720295E1
2.082853092E0,-1.196411345E-2,2.641676188E0,1.027956581E1
2.092853092E0,2.656033039E-1,2.266003132E0,9.994820595E0
2.102853092E0,9.571290761E-2,1.873580098E0,9.817750931E0
2.112853092E0,9.571290761E-2,1.873580098E0,9.817750931E0
2.122853092E0,9.571290761E-2,1.873580098E0,9.817750931E0
2.132853092E0,-7.968099117E-1,8.183453679E-1,1.173918819E1
2.142853092E0,-5.024927482E-2,1.033699393E0,1.191864967E1
2.152853092E0,4.570291340E-1,1.473978758E0,1.193539906E1
2.162853092E0,3.014956415E-1,1.947757602E0,1.164826107E1
2.172853092E0,5.982056633E-2,2.026720762E0,1.098784161E1
2.182853092E0,5.982056633E-2,2.026720762E0,1.098784161E1
2.192853092E0,3.278166950E-1,-1.861616015E0,9.415757179E0
2.202853092E0,1.136590719E0,-2.301895380E0,1.050449181E1
2.212853092E0,1.402194023E0,-2.536391973E0,1.261496067E1
2.222853092E0,1.450050473E0,-2.651247501E0,1.436411476E1
2.232853092E0,2.493321180E0,-2.196611166E0,1.624965858E1
2.242853092E0,4.106083870E0,-1.840080619E0,1.760638809E1
2.252853092E0,3.421736479E0,-1.083948612E0,1.897508430E1
2.262853092E0,3.491128206E0,-5.982056856E-1,1.827877235E1
2.272853092E0,3.787838221E0,-6.795616150E-1,1.666600990E1
2.282853092E0,3.976871252E0,-8.135597110E-1,1.399561977E1
