"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.164166600E-4,-3.726949768E0,5.048252106E0,7.569459229E0
9.309583344E-3,-3.774850159E0,5.004692688E0,7.361541595E0
1.933558335E-2,-3.874692535E0,4.963528290E0,7.251071320E0
2.936058334E-2,-3.978426819E0,5.032534790E0,7.208859100E0
3.938658335E-2,-4.057013397E0,5.058880005E0,7.198829956E0
4.941258332E-2,-4.101770325E0,4.998256073E0,7.263495483E0
5.943858332E-2,-3.858975220E0,4.486320648E0,7.157665558E0
6.946458333E-2,-3.066523132E0,3.879332886E0,6.717281342E0
7.949058333E-2,-2.677631836E0,3.850143585E0,7.358697510E0
8.951658334E-2,-3.259621582E0,3.568429413E0,8.762029266E0
9.954258334E-2,-3.631598053E0,3.405867462E0,9.198820953E0
1.095685833E-1,-3.632945251E0,3.313359833E0,9.139693909E0
1.195945833E-1,-3.586242371E0,3.194956055E0,9.121581573E0
1.296205833E-1,-3.928281097E0,3.532055054E0,8.882079620E0
1.396465833E-1,-4.364773407E0,4.324058075E0,8.383616180E0
1.496725833E-1,-4.355492706E0,4.778662720E0,7.952961731E0
1.596985833E-1,-4.258793793E0,4.855902100E0,7.987090759E0
1.697245833E-1,-4.216431885E0,4.663252716E0,8.413404236E0
1.797505833E-1,-3.929029541E0,4.351451111E0,8.538544006E0
1.897765833E-1,-3.410657501E0,4.177213440E0,8.517737274E0
1.998025833E-1,-2.985092468E0,4.259242859E0,8.480315094E0
2.098285833E-1,-2.970722351E0,4.374054108E0,8.427774353E0
2.198545833E-1,-3.200344849E0,4.279600525E0,8.506809998E0
2.298795833E-1,-3.489842834E0,3.943848724E0,8.551117859E0
2.399055833E-1,-3.609144745E0,3.722459106E0,8.463549957E0
2.499315833E-1,-3.371289368E0,3.814667358E0,8.212372284E0
2.599575833E-1,-2.981200562E0,4.015399933E0,8.052504730E0
2.699835833E-1,-2.953508148E0,4.066593475E0,8.016130371E0
2.800095833E-1,-2.897524567E0,4.121529236E0,8.153843994E0
2.900355833E-1,-2.678829346E0,4.305346985E0,8.276289368E0
3.000615833E-1,-2.516716461E0,4.449197845E0,8.478219452E0
3.100875833E-1,-2.171085205E0,4.852010193E0,8.463250580E0
3.201135833E-1,-1.598525848E0,5.458548889E0,8.447682953E0
3.301395833E-1,-1.758842468E0,5.018613739E0,8.480315094E0
3.401655833E-1,-2.701881409E0,3.835324402E0,8.342302094E0
3.501915833E-1,-3.209326172E0,3.460354156E0,8.572373657E0
3.602175833E-1,-3.015778656E0,3.723057861E0,8.846004639E0
3.702435833E-1,-2.628683624E0,3.898043976E0,8.902137909E0
3.802695833E-1,-2.344574432E0,3.710184631E0,8.860524445E0
3.902955833E-1,-2.130818939E0,3.417692871E0,8.924441528E0
4.003215833E-1,-1.951940918E0,3.438349915E0,9.042545929E0
4.103475833E-1,-1.694476318E0,3.685336304E0,9.086404724E0
4.203735833E-1,-1.498683472E0,3.526366882E0,8.976233826E0
4.303995833E-1,-1.536704407E0,3.370391235E0,8.937614136E0
4.404255833E-1,-1.676363983E0,3.481759644E0,8.950187988E0
4.504505833E-1,-1.800455933E0,3.528462524E0,8.973838806E0
4.604765833E-1,-1.951192474E0,3.510799255E0,8.976682892E0
4.705025833E-1,-2.075284424E0,3.500470734E0,8.930578766E0
4.805285833E-1,-2.128124542E0,3.517984314E0,8.994944916E0
4.905545833E-1,-2.093097382E0,3.659589844E0,9.034612427E0
5.005805833E-1,-2.122735748E0,3.626658325E0,8.881480865E0
5.106065833E-1,-3.633993073E0,1.827998657E0,8.504714355E0
5.206325833E-1,-2.433938599E0,2.088307343E0,8.645421753E0
5.306585833E-1,-8.152047729E-1,3.265758820E0,9.329199829E0
5.406845833E-1,-1.062490540E0,3.330873413E0,9.613907776E0
5.507105833E-1,-1.587448883E0,3.254681854E0,9.962682495E0
5.607365833E-1,-2.450104980E0,3.233875122E0,1.021924896E1
5.707625833E-1,-3.615132294E0,2.808609467E0,9.987830200E0
5.807885833E-1,-4.550387421E0,2.509381714E0,9.588161316E0
5.908145833E-1,-5.044509888E0,2.673290863E0,8.967252502E0
6.008405833E-1,-5.156477051E0,3.153791656E0,8.078550568E0
6.108665833E-1,-5.076992340E0,3.427722015E0,7.351662140E0
6.208925833E-1,-4.475543060E0,3.494932251E0,7.260651398E0
6.309185833E-1,-3.767216034E0,3.722459106E0,7.697742462E0
6.409445833E-1,-2.793490906E0,4.502337341E0,8.110733643E0
6.509705833E-1,-1.383572845E0,5.627547455E0,8.220305786E0
6.609965833E-1,-1.072968750E0,6.151008911E0,8.084388428E0
6.710215833E-1,-1.953886871E0,5.368286591E0,7.742798767E0
6.810475833E-1,-3.402424622E0,3.753145294E0,7.433841248E0
6.910735833E-1,-4.044140167E0,2.657274170E0,7.487579498E0
7.010995833E-1,-3.790717163E0,2.518063660E0,7.998167725E0
7.111255833E-1,-3.664529572E0,2.175126801E0,8.407416687E0
7.211515833E-1,-3.935765533E0,1.805545349E0,8.410260773E0
7.311775833E-1,-4.394112396E0,1.884580994E0,9.086105347E0
7.412035833E-1,-4.664899292E0,1.988464966E0,9.266031189E0
7.512295833E-1,-4.741988983E0,1.986818390E0,8.842711487E0
7.612555833E-1,-4.548291779E0,1.945354614E0,8.506360931E0
7.712815833E-1,-3.901935883E0,1.800156555E0,7.996670837E0
7.813075833E-1,-3.350033569E0,1.615290985E0,7.203021240E0
7.913335833E-1,-3.042572937E0,1.490749969E0,6.791826324E0
8.013595833E-1,-2.880160675E0,1.251846771E0,6.699019318E0
8.113855833E-1,-3.070115662E0,6.303392029E-1,6.358028412E0
8.214115833E-1,-3.579955444E0,-1.073268127E-1,6.301595764E0
8.314375833E-1,-3.918401642E0,-1.028211823E0,6.924749908E0
8.414635833E-1,-3.548820190E0,-1.853745117E0,6.982080688E0
8.514895833E-1,-3.812272339E0,-1.482816467E0,5.945336609E0
8.615155833E-1,-4.056863708E0,-6.018983459E-1,5.404511261E0
8.715415833E-1,-2.743644562E0,-7.595205688E-1,5.182672577E0
8.815675833E-1,-1.212179260E0,-1.407373352E0,4.796625366E0
8.915919583E-1,-1.325044556E0,-1.918859711E0,4.805906067E0
9.016179583E-1,-2.038311310E0,-2.444865875E0,4.803960114E0
9.116439583E-1,-2.472707977E0,-2.575544128E0,4.522395630E0
9.216699583E-1,-3.096460876E0,-2.579585724E0,4.265529785E0
9.316959583E-1,-3.975133667E0,-2.924318848E0,3.928281097E0
9.417219583E-1,-4.541256409E0,-3.809428253E0,3.460204468E0
9.517479583E-1,-5.115612030E0,-5.069358215E0,3.552412720E0
9.617739583E-1,-6.029461670E0,-5.945935364E0,4.509821777E0
9.717999583E-1,-7.177574158E0,-6.139033813E0,4.962181091E0
9.818259583E-1,-8.850345612E0,-6.527176666E0,4.869074707E0
9.918519583E-1,-1.026684998E1,-6.953340454E0,5.076842651E0
1.001877958E0,-1.181343384E1,-7.214996338E0,5.339246979E0
1.011903958E0,-1.384830231E1,-7.448211365E0,5.394781494E0
1.021929958E0,-1.559322372E1,-7.262148285E0,4.701423340E0
1.031955958E0,-1.689701248E1,-6.950496368E0,4.151317291E0
1.041981958E0,-1.692021423E1,-6.490353241E0,4.080065460E0
1.052007958E0,-1.757615021E1,-6.413113861E0,3.537294159E0
1.062033958E0,-2.118948624E1,-6.645730133E0,3.782035217E0
1.072059958E0,-2.237053024E1,-6.108796692E0,4.177812195E0
1.082085958E0,-2.116987701E1,-5.302124176E0,3.603905640E0
1.092111958E0,-2.046379532E1,-4.433929596E0,2.502645721E0
1.102137958E0,-1.976639557E1,-3.493884430E0,1.900897064E0
1.112163958E0,-1.985366409E1,-3.491639099E0,-1.016386414E-1
1.122189958E0,-1.978959732E1,-3.489393768E0,-1.115779724E0
1.132215958E0,-1.848041977E1,-3.001558228E0,-1.827998657E0
1.142240958E0,-1.674537781E1,-2.427052917E0,-2.750679932E0
1.152266958E0,-1.587823105E1,-2.182012482E0,-4.241579590E0
1.162292958E0,-1.520253616E1,-2.530787201E0,-3.137625275E0
1.172318958E0,-1.392194916E1,-3.074456635E0,-2.764750671E-1
1.182344958E0,-1.319176758E1,-3.686533813E0,-3.742218018E-1
1.192370958E0,-1.194755493E1,-3.876339111E0,-1.733395386E-1
1.202396958E0,-1.030457153E1,-4.229903870E0,-5.463638306E-1
1.212422958E0,-9.152118073E0,-4.826114044E0,-1.440155182E0
1.222448958E0,-8.151598663E0,-5.187462616E0,-1.606159973E0
1.232474958E0,-7.196734314E0,-5.602549438E0,-1.201850739E0
1.242500958E0,-6.087391205E0,-5.981411591E0,-5.716612244E-1
1.252526958E0,-5.100343781E0,-6.026767273E0,4.270619202E-1
1.262552958E0,-4.533472595E0,-6.101611633E0,9.877958679E-1
1.272578958E0,-4.310885468E0,-6.289920044E0,1.365759888E0
1.282604958E0,-3.927083588E0,-6.141279144E0,2.027683411E0
1.292630958E0,-3.996090088E0,-5.992488556E0,2.360142059E0
1.302656958E0,-4.917573853E0,-5.823939056E0,2.164947968E0
1.312682958E0,-4.580325165E0,-5.529351654E0,2.901865540E0
1.322708958E0,-4.109703827E0,-5.092859344E0,3.294049988E0
1.332734958E0,-4.084855499E0,-4.803061981E0,3.436853027E0
1.342760958E0,-3.855981445E0,-4.596341858E0,3.743116150E0
1.352786958E0,-5.319787445E0,-4.681514740E0,3.947291565E0
1.362812958E0,-6.540049896E0,-4.687801666E0,4.183200989E0
1.372838958E0,-7.053781586E0,-5.210514679E0,4.346960449E0
1.382863958E0,-6.755751343E0,-5.964347076E0,4.707410889E0
1.392889958E0,-6.906038818E0,-6.691834259E0,4.100273438E0
1.402915958E0,-6.907086639E0,-7.358547821E0,4.075874176E0
1.412941958E0,-6.454278259E0,-7.626490631E0,4.771178284E0
