"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.462165833E-1,-1.822140332E0,-1.292499830E0,4.403000164E-1
7.562425833E-1,-1.853569408E0,-1.361465400E0,3.241403997E-2
7.662685833E-1,-1.568793634E0,-1.481254968E0,-2.572786582E-1
7.762945833E-1,-8.559946570E-1,-1.720508415E0,-7.744356465E-1
7.863205833E-1,-2.704331392E-1,-1.969736334E0,-1.502426859E0
7.963465833E-1,1.403261590E-1,-2.152210393E0,-1.771507537E0
8.063725833E-1,4.316128081E-1,-2.479620848E0,-1.805331341E0
8.163985833E-1,4.072866368E-1,-3.153748972E0,-2.054791687E0
8.264245833E-1,1.189034227E-1,-3.911085898E0,-1.919968343E0
8.364505833E-1,1.563451910E-1,-4.854064320E0,-1.124120193E0
8.464765833E-1,7.988258448E-1,-5.585370319E0,-1.094354357E0
8.565025833E-1,7.578123048E-1,-5.050999128E0,-1.996853966E0
8.665285833E-1,9.557104415E-1,-4.222921125E0,-2.253390613E0
8.765545833E-1,2.796083561E0,-4.449804494E0,-2.285110588E0
8.865799583E-1,4.575507059E0,-5.008391637E0,-2.386829921E0
8.966049583E-1,4.746836910E0,-5.387820969E0,-2.001960340E0
9.066309583E-1,4.560727052E0,-5.728820060E0,-1.653204331E0
9.166569583E-1,4.644366794E0,-5.586254418E0,-1.484944854E0
9.266829583E-1,4.465392294E0,-5.340956705E0,-1.239574635E0
9.367089583E-1,4.046655055E0,-5.409845091E0,-1.085894605E0
9.467349583E-1,3.916698933E0,-5.957856082E0,-1.020357258E0
9.567609583E-1,3.640152529E0,-6.747169969E0,-2.937913039E-1
9.667869583E-1,2.974939363E0,-6.984333621E0,1.173650495E0
9.768129583E-1,1.969479641E0,-6.567195595E0,1.952030673E0
9.868389583E-1,3.981421763E-1,-6.370839661E0,2.275404502E0
9.968649583E-1,-9.184619236E-1,-6.112188077E0,2.855020571E0
1.006890958E0,-2.575878589E0,-5.713588648E0,3.388232844E0
1.016916958E0,-4.692110479E0,-5.250182190E0,3.575472969E0
1.026942958E0,-6.540641634E0,-4.391324444E0,2.940771743E0
1.036968958E0,-7.969321656E0,-3.451734776E0,2.549011803E0
1.046994958E0,-8.023210180E0,-2.409770010E0,2.417270526E0
1.057020958E0,-9.444073643E0,-1.892369777E0,1.805015591E0
1.067046958E0,-1.332833515E1,-1.593856847E0,2.041582681E0
1.077072958E0,-1.433653780E1,-6.093740112E-1,2.147146119E0
1.087098958E0,-1.338351766E1,5.075196075E-1,1.196982347E0
1.097124958E0,-1.298818273E1,1.645964894E0,-1.772788078E-2
1.107150958E0,-1.257138268E1,2.685763559E0,-1.099797530E0
1.117176958E0,-1.297053934E1,2.718195140E0,-3.335613751E0
1.127202958E0,-1.294013850E1,2.877793722E0,-4.467682064E0
1.137228958E0,-1.167652245E1,3.426381834E0,-5.504806212E0
1.147253958E0,-1.012411710E1,4.022288538E0,-6.584439034E0
1.157279958E0,-9.492259378E0,4.195427517E0,-8.291484527E0
1.167305958E0,-8.800330868E0,3.801557316E0,-6.699822140E0
1.177331958E0,-7.574490758E0,3.178366334E0,-4.390932973E0
1.187357958E0,-6.874212424E0,2.534206068E0,-4.626015600E0
1.197383958E0,-5.464032993E0,2.266075562E0,-4.541765701E0
1.207409958E0,-3.805973133E0,1.745120223E0,-5.066439870E0
1.217435958E0,-2.619528639E0,1.067357762E0,-5.968845339E0
1.227461958E0,-1.543392452E0,6.347421563E-1,-6.024270512E0
1.237487958E0,-5.036762327E-1,1.159380072E-1,-5.585560353E0
1.247513958E0,6.962279677E-1,-2.793103820E-1,-4.850185862E0
1.257539958E0,1.737446337E0,-3.669151211E-1,-3.801473116E0
1.267565958E0,2.340614698E0,-5.099426937E-1,-3.206688493E0
1.277591958E0,2.677128391E0,-7.158114624E-1,-2.673846349E0
1.287617958E0,3.162673577E0,-5.689118636E-1,-1.864070715E0
1.297643958E0,3.075614383E0,-4.591350675E-1,-1.472242362E0
1.307669958E0,2.235710387E0,-2.836121786E-1,-1.501742735E0
1.317695958E0,2.902751977E0,-6.290434599E-3,-4.460855439E-1
1.327721958E0,3.276535238E0,4.440013039E-1,-1.052083665E-1
1.337747958E0,3.489638767E0,6.952339411E-1,3.772079748E-1
1.347773958E0,3.621874133E0,8.831178439E-1,7.417812860E-1
1.357799958E0,2.130449980E0,7.802524567E-1,1.228878908E0
1.367825958E0,1.078783806E0,7.358013386E-1,1.556077986E0
1.377851958E0,7.536663365E-1,1.219799352E-1,1.956733881E0
1.387876958E0,1.117029859E0,-6.564791805E-1,2.349613270E0
1.397902958E0,9.503614086E-1,-1.429150137E0,1.760935187E0
1.407928958E0,1.066559617E0,-2.059833741E0,1.939654456E0
1.417954958E0,1.477296111E0,-2.297557556E0,2.527174499E0
1.427980958E0,1.234866457E0,-2.158587951E0,2.004904266E0
1.438006958E0,5.846397042E-1,-1.655543218E0,1.111777744E0
1.448032958E0,4.794599891E-2,-1.288280772E0,7.003648728E-2
1.458058958E0,5.591575384E-2,-1.120448141E0,-6.565280047E-1
1.468084958E0,8.202415645E-2,-1.122458414E0,-8.868805271E-1
1.478110958E0,-5.869785905E-2,-1.033429878E0,-9.099969095E-1
1.488136958E0,-2.736748356E-1,-5.178007668E-1,-9.799682003E-1
1.498162958E0,-6.015720713E-1,1.696189553E-1,-1.096943504E0
1.508188958E0,-1.108367794E0,5.870838404E-1,-1.134492568E0
1.518214958E0,-1.747304158E0,7.971742988E-1,-7.556543899E-1
1.528240958E0,-1.960998840E0,9.639029753E-1,6.318793595E-2
1.538266958E0,-1.780517512E0,9.312439370E-1,1.159560459E0
1.548292958E0,-1.809761776E0,1.119174033E0,1.207361739E0
1.558318958E0,-2.328182933E0,1.634532418E0,9.144290990E-1
1.568344958E0,-2.996824322E0,2.341951956E0,3.048211992E-1
1.578370958E0,-3.932602190E0,2.922292203E0,-1.848550451E-1
1.588396958E0,-4.086395656E0,3.102257806E0,-1.064099693E-1
1.598422958E0,-3.628471547E0,2.903704489E0,-1.433941931E-1
1.608448958E0,-2.847406327E0,2.203783420E0,9.001554608E-2
1.618474958E0,-1.781952419E0,1.003921612E0,9.586635777E-1
1.628500958E0,-4.597244668E-1,-5.949600399E-2,2.216551692E0
1.638525958E0,5.888853675E-1,-6.602266610E-1,2.603738818E0
1.648551958E0,1.519402496E0,-1.633564411E0,2.555978175E0
1.658577958E0,2.661198821E0,-2.466287442E0,2.312358613E0
1.668603958E0,3.303368695E0,-2.856763042E0,1.377781178E0
1.678629958E0,3.409033729E0,-3.709348772E0,-1.441560853E-1
1.688655958E0,3.384456128E0,-4.269211484E0,-1.938601373E0
1.698681958E0,3.406384941E0,-4.499477760E0,-3.243593487E0
1.708707958E0,3.221466746E0,-4.993087134E0,-3.681075438E0
1.718733958E0,2.847810954E0,-5.137060786E0,-3.009906297E0
1.728759958E0,2.358622368E0,-4.802231969E0,-2.423706848E0
1.738785958E0,2.335895410E0,-4.452118822E0,-2.203467670E0
1.748811958E0,2.937900175E0,-4.888311169E0,-2.296085812E0
1.758837958E0,2.953724495E0,-4.280473807E0,-2.931965544E0
1.768863958E0,3.112454181E0,-3.629653561E0,-3.430609663E0
1.778889958E0,3.265381674E0,-3.682681668E0,-4.187443144E0
1.788915958E0,3.420661502E0,-3.353624344E0,-4.833304950E0
1.798941958E0,3.009088272E0,-2.493605049E0,-4.061778001E0
1.808967958E0,2.609319985E0,-1.282423616E0,-2.443922427E0
1.818993958E0,2.208268234E0,-6.350655073E-1,-1.532946109E0
1.829019958E0,1.880101442E0,3.892491460E-3,-1.249140972E0
1.839045958E0,1.826701745E0,8.555657637E-1,-1.119328984E0
1.849071958E0,1.714441636E0,1.292273836E0,-8.301552263E-1
1.859097958E0,1.286835925E0,1.277295023E0,-2.798553425E-1
1.869123958E0,7.329666084E-1,1.210626824E0,3.467989451E-1
1.879148958E0,1.089406443E-1,1.183360088E0,1.063134903E0
1.889175000E0,-7.111360288E-1,1.193125523E0,1.704190298E0
1.899201000E0,-1.542988994E0,1.094423938E0,2.350768973E0
1.909227000E0,-2.225891742E0,9.748103714E-1,3.092611654E0
1.919253000E0,-2.632703585E0,9.023797417E-1,3.970792694E0
1.929279000E0,-2.929583681E0,8.123788136E-1,4.456389336E0
1.939305000E0,-3.398550256E0,7.726358736E-1,4.591414994E0
1.949331000E0,-3.844587561E0,8.941842842E-1,4.598929836E0
1.959357000E0,-4.120657416E0,1.130821686E0,4.406617836E0
1.969383000E0,-4.366586044E0,1.441806436E0,4.183093985E0
1.979409000E0,-4.605917843E0,1.735881037E0,3.833875462E0
1.989435000E0,-4.816367320E0,2.007879476E0,3.371452797E0
1.999461000E0,-4.958756962E0,2.280712312E0,2.866883695E0
2.009487000E0,-4.811030567E0,2.489426336E0,2.366447697E0
2.019513000E0,-4.431345127E0,2.486007469E0,1.912579801E0
2.029539000E0,-3.874002564E0,2.420053800E0,1.481128961E0
2.039565000E0,-3.181721467E0,2.083141328E0,9.292061824E-1
2.049591000E0,-2.541834345E0,1.736190940E0,4.839123514E-1
2.059617000E0,-1.997241052E0,1.409365498E0,2.810797495E-1
2.069643000E0,-1.413121165E0,1.071764808E0,1.820703086E-1
2.079669000E0,-6.865350384E-1,7.546305424E-1,1.397785673E-1
2.089695000E0,-1.291837049E-1,3.716922963E-1,4.821877152E-2
2.099721000E0,2.550912148E-1,4.430142939E-2,-9.773094714E-2
2.109747000E0,6.041828531E-1,-5.756116033E-2,-8.369148999E-2
2.119773000E0,8.993426979E-1,-1.143808937E-1,2.171451241E-2
2.129799000E0,1.080495871E0,-2.764762366E-1,-4.830209434E-2
2.139824000E0,1.188752391E0,-3.757414931E-1,-2.237478000E-1
2.149850000E0,1.229573557E0,-2.902394128E-1,-4.585398209E-1
2.159876000E0,1.129996644E0,-5.216301084E-2,-6.940732688E-1
2.169902000E0,9.924280322E-1,-4.132227302E-2,-1.063693897E0
2.179928000E0,8.758667117E-1,-1.716988099E-1,-1.305258455E0
2.189954000E0,8.578222042E-1,-3.546716362E-1,-1.171346984E0
2.199980000E0,9.534124857E-1,-4.667025340E-1,-8.414710504E-1
2.210006000E0,8.271939039E-1,-4.374851668E-1,-4.897592747E-1
2.220032000E0,4.929781669E-1,-4.866760379E-1,-1.080834424E-1
2.230058000E0,2.706950945E-1,-6.582520562E-1,1.728539273E-1
2.240084000E0,2.320251185E-1,-6.665439928E-1,1.110997286E-1
2.250110000E0,-1.193451798E-1,-5.839462245E-1,2.860147995E-1
2.260136000E0,-5.939683521E-1,-5.175791574E-1,6.853270036E-1
2.270162000E0,-4.596794432E-1,-4.968554556E-1,7.076762313E-1
2.280188000E0,-4.518213701E-1,-6.496051937E-1,5.820827168E-1
2.290214000E0,-1.102570279E0,-3.547458959E-1,2.103997761E-1
2.300240000E0,-1.441852629E0,3.880621612E-2,-1.546775651E-1
2.310266000E0,-1.322033824E0,2.698490024E-3,-6.328207612E-1
2.320292000E0,-1.185798377E0,-2.483125377E-1,-8.982557005E-1
2.330318000E0,-1.186759075E0,-3.743270516E-1,-8.890551066E-1
2.340344000E0,-1.126550880E0,-6.103259379E-1,-8.615322626E-1
2.350370000E0,-9.907381868E-1,-9.954364246E-1,-7.949956262E-1
2.360396000E0,-8.104954255E-1,-1.165918429E0,-5.634733683E-1
2.370422000E0,-7.362504047E-1,-1.136112832E0,-5.571449268E-1
2.380448000E0,-8.893457133E-1,-1.241824644E0,-7.474197561E-1
2.390473000E0,-4.948878676E-1,-1.518019921E0,-1.171319502E0
2.400499000E0,-3.355132341E-3,-1.661045448E0,-1.339815207E0
2.410525000E0,9.373495996E-2,-1.426456910E0,-8.168992960E-1
2.420551000E0,-7.729902148E-2,-8.723385018E-1,-6.970582724E-2
2.430577000E0,-5.721067822E-1,-4.908126506E-1,4.131823844E-1
2.440603000E0,-6.897872597E-1,-2.378773043E-1,4.971361220E-1
2.450629000E0,-7.317597431E-1,-6.891733021E-2,3.391700828E-1
2.460655000E0,-5.705993700E-1,1.192867076E-1,2.194261229E-1
2.470681000E0,-4.882957166E-1,2.356378207E-1,9.257721126E-2
2.480707000E0,-5.934517506E-1,2.555902746E-1,2.544790113E-1
2.490733000E0,-3.527727529E-1,2.589126626E-1,2.986751908E-1
2.500759000E0,-3.789577541E-1,1.093929264E-1,1.255461520E-1
2.510785000E0,-3.493954012E-1,-2.538016114E-1,-2.920538038E-1
2.520811000E0,-3.979995042E-2,-7.148297149E-1,-8.378878766E-1
2.530837000E0,3.448883674E-1,-1.047575608E0,-1.192664178E0
2.540863000E0,4.445222908E-1,-1.186776324E0,-1.693927850E0
2.550889000E0,2.163387930E-1,-1.172455470E0,-2.169744439E0
2.560915000E0,4.868698731E-2,-1.021037727E0,-2.395800135E0
2.570941000E0,2.458893053E-1,-7.173073263E-1,-2.377103078E0
2.580967000E0,3.236243829E-1,-2.278450902E-1,-2.497829955E0
2.590993000E0,1.275068696E-1,2.190352365E-2,-2.269346495E0
2.601019000E0,7.717447579E-3,1.159397614E-1,-1.664377776E0
2.611045000E0,3.157310803E-1,4.719565496E-2,-1.416686797E0
2.621071000E0,7.201742162E-1,5.353125930E-3,-1.563789294E0
2.631096000E0,7.714936200E-1,1.797647515E-1,-1.592575137E0
2.641122000E0,5.872304593E-1,6.460597345E-1,-1.463815355E0
2.651148000E0,2.695787148E-1,1.199993663E0,-1.239012718E0
2.661174000E0,-9.056295510E-2,1.444448646E0,-9.741578221E-1
2.671200000E0,-3.822894976E-1,1.330951121E0,-5.924024677E-1
2.681226000E0,-5.827025582E-1,1.101511348E0,-3.290912372E-1
2.691252000E0,-6.232759126E-1,8.078920989E-1,-2.970853329E-1
2.701278000E0,-7.238007324E-1,5.283495824E-1,-2.588638383E-1
2.711304000E0,-1.045209605E0,3.619751009E-1,-3.527250981E-1
2.721330000E0,-1.567800777E0,2.267107303E-1,-4.299656475E-1
2.731356000E0,-2.056600377E0,2.093952245E-1,-4.142109096E-1
2.741382000E0,-2.492466596E0,5.926913202E-2,-1.523380941E-1
2.751408000E0,-2.535668457E0,-3.871570122E-1,3.682231432E-1
2.761434000E0,-2.000547506E0,-6.143818590E-1,9.800436294E-1
2.771460000E0,-1.452791600E0,-5.306470996E-1,1.316729815E0
2.781486000E0,-1.109159872E0,-4.115641674E-1,1.634870387E0
2.791512000E0,-8.213852068E-1,-3.463536796E-1,2.110116287E0
2.801538000E0,-6.849801906E-1,-3.258723450E-1,2.576451032E0
2.811564000E0,-6.616487038E-1,-2.598853469E-1,2.809135716E0
2.821590000E0,-8.004073705E-1,-3.428775099E-1,2.900572135E0
2.831616000E0,-9.626880701E-1,-4.885851538E-1,2.523142551E0
2.841642000E0,-1.087363425E0,-3.339990976E-1,1.635933995E0
2.851668000E0,-8.433901066E-1,3.865320911E-1,9.105418700E-1
2.861694000E0,-9.461584300E-1,4.150865301E-2,9.235741442E-1
2.871720000E0,-6.191528946E-1,-4.499428059E-1,8.716643178E-1
2.881745000E0,5.520283207E-2,-3.717126153E-1,6.601348597E-1
2.891771375E0,3.415982853E-1,-3.084995364E-1,3.589196384E-1
2.901797375E0,2.644957303E-1,-9.628653869E-2,1.837586921E-1
2.911823375E0,-7.304385647E-2,1.989285623E-1,-9.968742549E-2
2.921849375E0,-5.940617613E-1,2.396279606E-1,-6.908725029E-1
2.931875375E0,-1.160426578E0,-1.535917372E-3,-1.110325441E0
2.941901375E0,-1.302883608E0,-1.405666257E-1,-1.537783803E0
2.951927375E0,-9.795170876E-1,2.026294112E-2,-1.577559487E0
2.961953375E0,-4.949929713E-1,2.758207637E-1,-1.237709958E0
2.971979375E0,-2.786769824E-1,3.814007208E-1,-9.131193227E-1
2.982005375E0,-1.366742805E-1,1.627299120E-1,-6.893171436E-1
2.992031375E0,1.010653219E-1,-2.474717081E-2,-4.940721810E-2
3.002057375E0,5.319437197E-1,-4.365401106E-1,1.562303517E0
3.012083375E0,1.230441869E0,-1.206959889E0,1.812360279E0
3.022109375E0,2.124824958E0,-7.480582720E-1,1.255791888E0
3.032135375E0,1.837648317E0,1.130197496E0,7.782568020E-1
3.042161375E0,4.545637143E-1,1.407137125E0,8.094417572E-2
3.052187375E0,-7.618980467E-1,2.146363762E0,-6.818566811E-1
3.062213375E0,-1.189561353E0,3.022442728E0,2.803225350E-1
3.072239375E0,-1.714952098E0,2.586127589E0,3.289556987E0
3.082265375E0,-1.279425164E0,9.775383899E-1,5.446236992E0
3.092291375E0,1.718873826E-1,-5.665446183E-1,4.759175704E0
3.102317375E0,1.449765081E0,-1.174187561E0,2.943762594E0
3.112343375E0,2.605386563E0,-1.209309447E0,1.532227194E0
3.122369375E0,3.151264490E0,-1.464950007E0,-6.569989979E-2
3.132394375E0,2.949636122E0,-1.841213657E0,-1.386112876E0
3.142420375E0,2.518646042E0,-1.880172485E0,-1.771072505E0
3.152446375E0,2.087723790E0,-2.249744581E0,-1.572111052E0
3.162472375E0,1.307914553E0,-2.556193938E0,-6.754709369E-1
3.172498375E0,7.112798703E-1,-2.103386727E0,-6.966764492E-1
3.182524375E0,4.697793388E-1,-1.009467403E0,-1.299657115E0
3.192550375E0,4.523721778E-1,1.404999675E-1,-1.424851264E0
3.202576375E0,1.124723625E-1,6.824108510E-1,-1.152011411E0
3.212602375E0,2.560600984E-1,8.968324882E-1,-1.986135435E-1
3.222628375E0,6.442444664E-1,8.755584173E-1,5.550720888E-1
3.232654375E0,1.136653115E0,3.588601430E-1,1.000235234E0
3.242680375E0,1.545251867E0,-2.953305835E-1,9.343289280E-1
3.252706375E0,1.566759680E0,-1.202257266E0,2.099033475E-1
3.262732375E0,1.822224532E0,-1.795778014E0,-1.059371050E0
3.272758375E0,2.151104100E0,-1.340679133E0,-2.633274858E0
3.282784375E0,2.054922665E0,-1.223376386E0,-2.726802827E0
3.292810375E0,1.756303607E0,-1.612585332E0,-2.567850362E0
3.302836375E0,1.348832783E0,-1.568816877E0,-2.333151312E0
3.312862375E0,1.135878358E0,-1.525858114E0,-2.206156805E0
3.322888375E0,1.201940786E0,-1.708124012E0,-2.742660475E0
3.332914375E0,1.508810849E0,-2.139764448E0,-3.421563143E0
3.342940375E0,1.727763932E0,-2.846223435E0,-4.207144167E0
3.352966375E0,1.603893592E0,-3.810847080E0,-4.971190481E0
3.362992375E0,2.002506469E0,-4.231494897E0,-5.442226387E0
3.373018375E0,1.806149951E0,-3.529834281E0,-5.472990927E0
3.383043375E0,-1.291568077E-1,-2.406169002E0,-4.601485069E0
3.393069375E0,-2.383268382E0,-1.325515549E0,-3.511936539E0
3.403095375E0,-3.844571189E0,-6.784366447E-1,-2.934688300E0
3.413121375E0,-4.270374788E0,1.460726564E-1,-2.943767856E0
3.423147375E0,-4.092082073E0,2.853412002E-1,-2.705836758E0
3.433173375E0,-3.275313755E0,3.633445188E-1,-1.789222554E0
3.443199375E0,-2.723083997E0,6.420994154E-1,9.130251825E-2
3.453225375E0,-2.288737031E0,9.181967524E-1,2.358941918E0
3.463251375E0,-2.411982304E0,1.656656235E0,3.890049955E0
3.473277375E0,-2.818212934E0,2.422594123E0,4.175481787E0
3.483303375E0,-2.678942197E0,2.878653263E0,3.840471121E0
3.493329375E0,-1.754726028E0,2.541299618E0,4.101449313E0
3.503355375E0,-1.185451053E0,2.110246973E0,4.288334803E0
3.513381375E0,-8.383784580E-1,1.791989749E0,4.295330997E0
3.523407375E0,-2.486440748E-1,1.485969871E0,4.506672759E0
3.533433375E0,-4.536024320E-1,1.178877613E0,4.570355662E0
3.543459375E0,-7.186625648E-1,1.189399093E0,4.353661943E0
3.553485375E0,-4.551689011E-1,1.212515183E0,4.051562038E0
3.563511375E0,-3.679342908E-1,8.813993472E-1,3.588810468E0
3.573537375E0,5.406452537E-2,1.800430790E-1,2.939294444E0
3.583563375E0,1.080232746E0,-5.899361122E-1,2.504427368E0
3.593589375E0,1.535465966E0,-7.487923899E-1,2.031050237E0
3.603615375E0,9.478032517E-1,-6.406630468E-1,1.716583764E0
3.613641375E0,2.054313970E-1,-2.606387606E-1,2.034969334E0
3.623667375E0,-1.035079962E-1,5.647533238E-2,2.758715760E0
3.633693375E0,-3.733973444E-1,6.689413512E-1,3.504304461E0
3.643719375E0,-3.544587976E-1,8.836595884E-1,4.311051528E0
3.653744375E0,-7.795332491E-1,6.792988166E-1,3.674893177E0
3.663770375E0,-1.892084725E0,8.672958630E-1,4.388241792E0
3.673796375E0,-1.339928058E0,8.869033313E-1,5.133493985E0
3.683822375E0,8.790990525E-1,2.407050177E-1,3.723577094E0
3.693848375E0,3.624917024E-1,-1.720331829E0,2.066661535E0
3.703874375E0,2.662845397E-1,-1.511360235E0,1.021982199E-1
3.713900375E0,-9.769896287E-1,-1.467054128E0,-1.276105407E0
3.723926375E0,-2.521107720E0,-1.207061485E0,-3.150743503E0
3.733952375E0,-4.138419503E0,-9.419846874E-1,-6.586641680E0
3.743978375E0,-4.515615199E0,-1.648397043E0,-7.405159485E0
3.754004375E0,-1.677249252E0,-2.869988274E0,-7.282006599E0
3.764030375E0,7.083778971E-1,-2.887125294E0,-5.989596523E0
3.774056375E0,5.101327282E-1,-2.153722191E0,-3.739779729E0
3.784082375E0,-8.037874997E-2,-8.482813025E-1,-2.104645048E0
3.794108375E0,-4.722883791E-1,6.074678189E-1,-8.386521077E-1
3.804134375E0,-2.108880771E0,2.002053310E0,-2.422343570E-1
3.814160375E0,-4.442010448E0,2.711710871E0,1.052843218E0
3.824186375E0,-6.501134337E0,1.188198659E0,2.168131192E0
3.834212375E0,-6.773528633E0,1.045590332E-1,1.633126747E0
3.844238375E0,-6.204462987E0,-8.277815491E-2,-1.490696760E0
3.854264375E0,-4.855608569E0,4.439498484E-2,-4.036765366E0
3.864290375E0,-2.899122026E0,-2.501047093E-1,-1.851733383E0
3.874316375E0,-1.695712420E0,-7.910937792E-1,4.987736347E-1
3.884342375E0,3.141328901E-1,-1.495334187E0,1.980816223E0
3.894368375E0,4.079952024E0,-2.453303992E0,2.029101068E0
3.904394375E0,6.648679469E0,-2.921540835E0,1.112501483E0
3.914420375E0,7.200227441E0,-3.715227855E0,-3.785627747E-1
3.924446375E0,6.138202339E0,-2.574619684E0,3.537667796E-1
3.934471375E0,4.611051698E0,-5.892362005E-1,5.316572061E-1
