"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.296583327E-3,4.264684394E-2,4.236370921E-1,6.840770692E-2
1.432258333E-2,1.258801110E-2,4.197728336E-1,1.053191200E-1
2.434758333E-2,-3.877023607E-2,3.865056038E-1,1.484667212E-1
3.437358333E-2,-9.845247120E-2,2.790302634E-1,1.885235906E-1
4.439958333E-2,-1.481621265E-1,1.254130453E-1,2.046566606E-1
5.442558334E-2,-2.325382531E-1,2.488990873E-2,9.890066832E-2
6.445158334E-2,-3.698892295E-1,5.138260499E-2,-2.342315316E-1
7.447758334E-2,-4.357382953E-1,-5.940276384E-2,-7.229290605E-1
8.450358335E-2,-3.836555779E-1,-4.733443856E-1,-1.153988600E0
9.452958332E-2,-2.888560891E-1,-6.397964358E-1,-1.451324701E0
1.045555833E-1,-1.936298609E-1,-6.827622652E-1,-1.583024859E0
1.145815833E-1,-1.063325182E-1,-6.708331704E-1,-1.584571004E0
1.246075833E-1,-9.364046901E-2,-6.549430490E-1,-1.409719706E0
1.346335833E-1,-1.651759148E-1,-6.423241496E-1,-1.054692149E0
1.446595833E-1,-2.659345865E-1,-5.299794674E-1,-6.289488077E-1
1.546855833E-1,-3.589257896E-1,-3.569088876E-1,-2.012408674E-1
1.647115833E-1,-3.927597404E-1,-1.646518558E-1,1.706690490E-1
1.747375833E-1,-3.877929449E-1,-3.794131055E-2,4.522626400E-1
1.847635833E-1,-3.538697660E-1,-4.379996285E-2,6.295362115E-1
1.947895833E-1,-3.120826483E-1,-1.859547198E-1,7.326620817E-1
2.048155833E-1,-2.830915153E-1,-3.958730698E-1,7.990640998E-1
2.148415833E-1,-2.530268431E-1,-5.908763409E-1,8.633232713E-1
2.248675833E-1,-2.393101156E-1,-6.767970920E-1,9.359839559E-1
2.348925833E-1,-2.422678322E-1,-6.848430037E-1,1.008130670E0
2.449185833E-1,-2.722097039E-1,-6.516716480E-1,1.024602532E0
2.549445833E-1,-3.011433482E-1,-5.566846728E-1,9.793186188E-1
2.649705833E-1,-3.366273046E-1,-4.590778053E-1,8.943231702E-1
2.749965833E-1,-3.761736453E-1,-4.099171758E-1,7.642434835E-1
2.850225833E-1,-4.033387899E-1,-4.158430398E-1,6.093337536E-1
2.950485833E-1,-4.009579122E-1,-4.273918271E-1,4.732017517E-1
3.050745833E-1,-3.742336929E-1,-4.482887387E-1,3.085069358E-1
3.151005833E-1,-3.388203084E-1,-4.732130170E-1,7.399484515E-2
3.251265833E-1,-3.092843592E-1,-5.082917213E-1,-1.196811348E-1
3.351525833E-1,-3.342187405E-1,-5.489038825E-1,-1.564767063E-1
3.451785833E-1,-3.565674126E-1,-5.843640566E-1,-1.079461873E-1
3.552045833E-1,-3.590047359E-1,-6.441724896E-1,-7.315811515E-2
3.652305833E-1,-3.313425779E-1,-6.845571995E-1,-8.615925163E-2
3.752565833E-1,-3.109142780E-1,-6.416054368E-1,-1.150287166E-1
3.852825833E-1,-2.872725725E-1,-4.923979640E-1,-1.407503784E-1
3.953085833E-1,-2.534253895E-1,-2.931554317E-1,-1.670767963E-1
4.053345833E-1,-2.049274743E-1,-1.356117874E-1,-1.971097291E-1
4.153605833E-1,-1.541966498E-1,-4.709896073E-2,-2.204044014E-1
4.253865833E-1,-1.182006374E-1,-4.122128710E-2,-2.165144235E-1
4.354125833E-1,-7.368057221E-2,-7.819554955E-2,-2.122752070E-1
4.454385833E-1,-3.355934471E-2,-5.092814937E-2,-2.064862549E-1
4.554635833E-1,-8.597004227E-3,3.460938856E-2,-1.959646344E-1
4.654895833E-1,-6.000586320E-3,1.257002056E-1,-1.788055450E-1
4.755155833E-1,-2.038485184E-2,1.322406679E-1,-1.796255261E-1
4.855415833E-1,-5.248890072E-2,-1.057143789E-2,-2.326560467E-1
4.955675833E-1,-1.250238121E-1,-1.460326016E-1,-3.281415403E-1
5.055935833E-1,-2.480600178E-1,-3.249089122E-1,-1.695988625E-1
5.156195833E-1,-3.699134886E-1,-3.487250209E-1,-1.261911988E-1
5.256455833E-1,-4.194361269E-1,-3.527391329E-2,-2.302020043E-1
5.356715833E-1,-3.901914060E-1,4.376566112E-1,-3.349782526E-1
5.456975833E-1,-2.162652165E-1,9.794905782E-1,-4.319561422E-1
5.557235833E-1,1.389485300E-1,1.407948732E0,-4.986555278E-1
5.657495833E-1,5.536912680E-1,1.565302491E0,-5.043411255E-1
5.757755833E-1,9.054173827E-1,1.494484305E0,-3.963443637E-1
5.858015833E-1,8.857751489E-1,1.084194064E0,-1.642731577E-1
5.958275833E-1,4.329784214E-1,7.659032345E-1,2.511373460E-1
6.058535833E-1,-2.768982202E-2,4.966391623E-1,6.446130276E-1
6.158795833E-1,-3.043557703E-1,2.770769596E-1,8.881394267E-1
6.259055833E-1,-4.406437576E-1,1.351077948E-2,9.970238209E-1
6.359315833E-1,-4.924502373E-1,-1.089671999E-1,9.119076133E-1
6.459575833E-1,-5.026118159E-1,-7.842303813E-2,5.824084878E-1
6.559835833E-1,-5.156858563E-1,-4.680119455E-2,1.920373142E-1
6.660085833E-1,-5.392652154E-1,-2.637000382E-2,-6.633288413E-2
6.760345833E-1,-6.127557158E-1,1.556466240E-2,-4.270745069E-2
6.860605833E-1,-6.869866848E-1,7.387752831E-2,8.631362766E-2
6.960865833E-1,-6.483389139E-1,1.144499853E-1,1.244623512E-1
7.061125833E-1,-4.766659141E-1,5.618905649E-3,8.779530972E-2
7.161385833E-1,-2.483073175E-1,-4.165646434E-2,5.427969992E-2
7.261645833E-1,-1.187505852E-2,1.881462485E-1,7.905903459E-2
7.361905833E-1,2.249622643E-1,4.266901016E-1,1.986355036E-1
7.462165833E-1,4.380358756E-1,4.820625186E-1,3.543842733E-1
7.562425833E-1,6.146090627E-1,4.711781740E-1,4.347541928E-1
7.662685833E-1,7.460545897E-1,5.290253758E-1,3.635098934E-1
7.762945833E-1,8.248109221E-1,6.911194324E-1,1.581913680E-1
7.863205833E-1,8.661431074E-1,9.793334603E-1,-1.922386438E-1
7.963465833E-1,8.784261346E-1,1.363361478E0,-7.110083103E-1
8.063725833E-1,8.745563626E-1,1.694549203E0,-1.259734869E0
8.163985833E-1,8.762120605E-1,1.955226541E0,-1.701030016E0
8.264245833E-1,9.317024350E-1,2.346614599E0,-1.943032384E0
8.364505833E-1,1.057407141E0,2.560835123E0,-2.146861076E0
8.464765833E-1,1.187168598E0,2.530480385E0,-2.290935040E0
8.565025833E-1,1.280691624E0,2.627574205E0,-2.473692417E0
8.665285833E-1,1.348364949E0,2.998305798E0,-2.806823492E0
8.765545833E-1,1.393686295E0,3.518005610E0,-3.243582487E0
8.865799583E-1,1.483528137E0,4.201322556E0,-3.687432528E0
8.966049583E-1,1.612988949E0,5.014945507E0,-4.131177902E0
9.066309583E-1,1.734791279E0,5.612018108E0,-4.563401699E0
9.166569583E-1,1.859859467E0,5.918035507E0,-4.974252224E0
9.266829583E-1,1.992187262E0,5.949181080E0,-5.383585453E0
9.367089583E-1,2.117393255E0,5.734717369E0,-5.821327209E0
9.467349583E-1,2.226723671E0,5.474946499E0,-6.305729866E0
9.567609583E-1,2.408319950E0,5.214930534E0,-6.786446571E0
9.667869583E-1,2.623295069E0,4.838469028E0,-7.164625168E0
9.768129583E-1,2.799159527E0,4.413758278E0,-7.403517723E0
9.868389583E-1,2.967254400E0,4.016229630E0,-7.578286171E0
9.968649583E-1,3.155071974E0,3.577723980E0,-7.698674679E0
1.006890958E0,3.326458693E0,3.081066132E0,-7.686212540E0
1.016916958E0,3.418685675E0,2.550221443E0,-7.553009510E0
1.026942958E0,3.470013857E0,2.011901855E0,-7.352611065E0
1.036968958E0,3.512761831E0,1.519811630E0,-7.216457367E0
1.046994958E0,3.485446215E0,1.040708184E0,-7.065837860E0
1.057020958E0,3.464365959E0,6.219395995E-1,-6.558446407E0
1.067046958E0,3.533159971E0,2.181297541E-1,-5.845139503E0
1.077072958E0,3.618353367E0,-2.198270857E-1,-5.169449806E0
1.087098958E0,3.561562777E0,-5.376725197E-1,-4.576192856E0
1.097124958E0,3.459840536E0,-7.866080403E-1,-3.970502138E0
1.107150958E0,3.161607742E0,-1.092357874E0,-3.273819447E0
