"event","experiment time","system time","system time text"
"START",0.000000000E0,1717611480.134,"2024-06-05 20:18:00.134 UTC+02:00"
"PAUSE",6.119844172E2,1717612092.118,"2024-06-05 20:28:12.118 UTC+02:00"
