"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717619774627973E9,"2024-06-05 22:36:14.628 UTC+02:00"
"PAUSE",8.127379746249935E2,1.717620587412677E9,"2024-06-05 22:49:47.413 UTC+02:00"
