"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.528889190E-1,8.206968307E-1,3.246746361E-1,4.607447684E-1
7.628889190E-1,8.494074941E-1,1.927278340E-1,2.518289983E-1
7.728889190E-1,8.805615902E-1,8.643736690E-2,3.069595434E-2
7.828889190E-1,9.379828572E-1,3.756818548E-2,-1.934914142E-1
7.928889190E-1,1.149342060E0,3.094030023E-1,-5.154171586E-1
8.028889190E-1,1.283732295E0,7.205150127E-1,-5.557342172E-1
8.128889190E-1,1.393687963E0,1.349705696E0,-5.312996507E-1
8.228889190E-1,1.464548349E0,2.142608166E0,-4.665479660E-1
8.328889190E-1,1.493869781E0,2.994153738E0,-3.712530732E-1
8.428889190E-1,1.485928535E0,3.795608282E0,-2.869537175E-1
8.528889190E-1,1.460272312E0,4.393644810E0,-2.276998460E-1
8.628889190E-1,1.330158114E0,2.902523994E0,-1.299614757E-1
8.728889190E-1,1.033277750E0,7.327322960E-1,-2.855792828E-2
8.828889190E-1,7.144063711E-1,-3.601047993E-1,9.422589093E-2
8.928889190E-1,4.327977002E-1,-5.671879649E-1,2.078467458E-1
9.028889190E-1,1.609628648E-1,-5.488619804E-1,3.239110410E-1
9.128889190E-1,1.609628648E-1,-5.488619804E-1,3.239110410E-1
9.228889190E-1,-3.845393658E-1,-4.700604379E-1,5.377137065E-1
9.328889190E-1,-3.845393658E-1,-4.700604379E-1,5.377137065E-1
9.428889190E-1,-3.845393658E-1,-4.700604379E-1,5.377137065E-1
9.528889190E-1,-3.845393658E-1,-4.700604379E-1,5.377137065E-1
9.628889190E-1,-9.269872904E-1,-1.957821548E-1,4.033234715E-1
9.728889190E-1,-9.178243279E-1,7.116574794E-2,2.402225733E-1
9.828889190E-1,-8.542944193E-1,1.676823795E-1,7.223475724E-2
9.928889190E-1,-6.960803866E-1,8.338304609E-2,-6.948586553E-2
1.002888919E0,-6.960803866E-1,8.338304609E-2,-6.948586553E-2
1.012888919E0,-6.960803866E-1,8.338304609E-2,-6.948586553E-2
1.022888919E0,7.238747925E-2,-1.448054910E0,-4.360047281E-1
1.032888919E0,2.299905866E-1,-1.628260016E0,-4.573850036E-1
1.042888919E0,4.437932670E-1,-1.662468553E0,-4.231765866E-1
1.052888919E0,7.571669221E-1,-1.644142509E0,-3.400989771E-1
1.062888919E0,1.136513948E0,-1.550680280E0,-2.729038298E-1
1.072888919E0,1.783419728E0,-1.291673541E0,-2.704603672E-1
1.082888919E0,2.047313213E0,-1.120020628E0,-3.358229101E-1
1.092888919E0,2.276387691E0,-9.404263496E-1,-4.060723484E-1
1.102888919E0,2.422995090E0,-7.822123766E-1,-4.280634820E-1
1.112888919E0,2.427881956E0,-6.148353815E-1,-3.602575064E-1
1.122888919E0,2.251342058E0,-4.370737374E-1,-1.996000707E-1
1.132888919E0,1.903149247E0,-2.293797284E-1,-1.023198478E-2
1.142888919E0,8.964440823E-1,2.202167511E-1,2.060141414E-1
1.152888919E0,3.649916947E-1,3.436114490E-1,2.414443046E-1
1.162888919E0,-6.200277433E-2,3.955349326E-1,2.872591615E-1
1.172888919E0,-3.338375986E-1,4.199695289E-1,3.202458620E-1
1.182888919E0,-4.248564541E-1,3.741546869E-1,3.190241456E-1
1.192888919E0,-3.692677617E-1,2.403752953E-1,2.915352285E-1
1.202888919E0,-2.189950198E-1,5.955931544E-2,2.780961990E-1
1.212888919E0,-2.189950198E-1,5.955931544E-2,2.780961990E-1
1.222888919E0,-2.189950198E-1,5.955931544E-2,2.780961990E-1
1.232888919E0,-2.189950198E-1,5.955931544E-2,2.780961990E-1
1.242888919E0,-2.189950198E-1,5.955931544E-2,2.780961990E-1
1.252888919E0,1.120936871E-1,-5.873464942E-1,-1.299614757E-1
1.262888919E0,7.849612087E-2,-6.233875155E-1,-1.519526094E-1
1.272888919E0,1.261435747E-1,-5.714640021E-1,-1.201876476E-1
1.282888919E0,1.261435747E-1,-5.714640021E-1,-1.201876476E-1
1.292888919E0,1.261435747E-1,-5.714640021E-1,-1.201876476E-1
1.302888919E0,1.261435747E-1,-5.714640021E-1,-1.201876476E-1
1.312888919E0,6.246092319E-1,-4.175260663E-1,1.527161949E-4
1.322888919E0,6.801979542E-1,-2.067777216E-1,6.001746282E-2
1.332888919E0,7.144063711E-1,4.917461425E-2,1.198822111E-1
1.342888919E0,7.443387508E-1,2.703076601E-1,1.785252392E-1
1.352888919E0,7.443387508E-1,2.703076601E-1,1.785252392E-1
1.362888919E0,7.443387508E-1,2.703076601E-1,1.785252392E-1
1.372888919E0,8.121446967E-1,3.145953640E-2,1.962403059E-1
1.382888919E0,8.066469431E-1,-1.102610901E-1,1.534797698E-1
1.392888919E0,7.932079434E-1,-1.542433500E-1,9.666935354E-2
1.402888919E0,7.754928470E-1,-8.399390429E-2,3.924806044E-2
1.412888919E0,7.565560341E-1,8.826996386E-2,-9.621120058E-3
1.422888919E0,7.565560341E-1,8.826996386E-2,-9.621120058E-3
1.432888919E0,7.021890879E-1,6.185005903E-1,-6.887500733E-2
1.442888919E0,6.655371785E-1,6.417134404E-1,-6.459894776E-2
1.452888919E0,5.885682106E-1,5.360338688E-1,-5.665770918E-2
1.462888919E0,4.431824088E-1,3.784307241E-1,-5.665770918E-2
1.472888919E0,2.501491308E-1,2.580903769E-1,-5.543597788E-2
1.482888919E0,2.474002354E-2,1.988364905E-1,-5.482511222E-2
1.492888919E0,-4.389063418E-1,8.888082206E-2,-1.006399691E-1
1.502888919E0,-6.319395900E-1,5.467239767E-2,-1.458439678E-1
1.512888919E0,-7.974839807E-1,5.650499091E-2,-2.160934210E-1
1.522888919E0,-9.349285364E-1,7.910698652E-2,-3.028362095E-1
1.532888919E0,-1.019227862E0,1.243109852E-1,-3.736965358E-1
1.542888919E0,-1.044273376E0,1.811214089E-1,-3.999637067E-1
1.552888919E0,-1.009454012E0,2.409861535E-1,-3.767508566E-1
1.562888919E0,-1.033888698E0,3.784307241E-1,-2.796233594E-1
1.572888919E0,-9.935715795E-1,2.843575478E-1,-1.782197952E-1
1.582888919E0,-8.994984031E-1,2.825249732E-1,-5.604684353E-2
1.592888919E0,-7.651081085E-1,4.602866173E-1,5.696314201E-2
1.602888919E0,-6.117810607E-1,6.539307237E-1,1.540906429E-1
1.612888919E0,-4.486801922E-1,7.278453708E-1,2.322813272E-1
1.622888919E0,-2.880227566E-1,6.875283122E-1,2.774853408E-1
1.632888919E0,-2.880227566E-1,6.875283122E-1,2.774853408E-1
1.642888919E0,-2.880227566E-1,6.875283122E-1,2.774853408E-1
1.652888919E0,-2.880227566E-1,6.875283122E-1,2.774853408E-1
1.662888919E0,-2.880227566E-1,6.875283122E-1,2.774853408E-1
1.672888919E0,5.293143392E-1,-5.311469436E-1,-1.036942974E-1
1.682888919E0,6.056724191E-1,-5.372555852E-1,-1.702785641E-1
1.692888919E0,6.233875155E-1,-4.944950342E-1,-2.191477418E-1
1.702888919E0,6.233875155E-1,-4.944950342E-1,-2.191477418E-1
1.712888919E0,6.233875155E-1,-4.944950342E-1,-2.191477418E-1
1.722888919E0,2.403752953E-1,-2.782489061E-1,-2.160934210E-1
1.732888919E0,8.460476995E-2,-3.149007857E-1,-1.800523996E-1
1.742888919E0,-8.582650125E-2,-4.260781705E-1,-1.690568328E-1
1.752888919E0,-2.727511227E-1,-5.800161362E-1,-2.179260105E-1
1.762888919E0,-4.706713259E-1,-7.418952584E-1,-3.010036349E-1
1.772888919E0,-4.706713259E-1,-7.418952584E-1,-3.010036349E-1
1.782888919E0,-4.706713259E-1,-7.418952584E-1,-3.010036349E-1
1.792888919E0,-9.679152369E-1,-8.793398738E-1,-3.944659233E-1
1.802888919E0,-9.214895368E-1,-6.337721944E-1,-2.692386508E-1
1.812888919E0,-8.445205688E-1,-2.886336148E-1,-1.409570426E-1
1.822888919E0,-7.394518256E-1,6.383536756E-2,-1.084284950E-2
1.832888919E0,-6.203331947E-1,3.930914998E-1,1.046105921E-1
1.842888919E0,-4.101957083E-1,6.319395900E-1,1.699731201E-1
1.852888919E0,-3.149007857E-1,4.743365049E-1,1.302669197E-1
1.862888919E0,-2.183841616E-1,2.709185183E-1,6.795870513E-2
1.872888919E0,-1.212566569E-1,9.437860548E-2,-1.023198478E-2
1.882888919E0,-2.168569900E-2,-1.679878123E-2,-8.292489499E-2
1.892888919E0,8.643736690E-2,-1.130099874E-2,-1.379027218E-1
1.902888919E0,1.957821548E-1,7.299833745E-2,-1.782197952E-1
1.912888919E0,3.478874862E-1,2.275471240E-1,-2.551887631E-1
1.922888919E0,3.753764033E-1,2.574795187E-1,-2.826776803E-1
1.932888919E0,3.820959330E-1,3.020726442E-1,-2.930623889E-1
1.942888919E0,3.704894781E-1,3.460549116E-1,-2.887863219E-1
