"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.708930340E-1,1.218703508E0,-1.095249891E0,3.629970551E-1
7.808930340E-1,1.065075159E0,-8.419731855E-1,8.914289474E-1
7.908930340E-1,6.759893894E-1,-6.338177323E-1,9.061737061E-1
8.008930340E-1,1.394080371E-1,-4.844057560E-1,4.330043793E-1
8.108930340E-1,-2.841166854E-1,-5.301191807E-1,-2.204046249E-1
8.208930340E-1,-5.891970396E-1,-7.235395908E-1,-6.878185272E-1
8.308930340E-1,-6.828129292E-1,-8.913671970E-1,-8.250312805E-1
8.408930340E-1,-4.557680488E-1,-7.688966990E-1,-5.314006805E-1
8.508930340E-1,-1.334204674E-1,-6.184870005E-1,1.226976395E0
8.608930340E-1,-1.458539963E-1,-5.629636645E-1,3.794059753E0
8.708930340E-1,-1.716500401E0,9.528891742E-2,5.778617859E-1
8.808930340E-1,-1.979414701E0,4.148128629E-2,-1.312543869E0
8.908930340E-1,-1.436877489E0,2.995318174E-2,-1.686643600E0
9.008930340E-1,-9.945138693E-1,2.494856715E-2,-1.687667847E0
9.108930340E-1,-1.120700717E0,-2.980369329E-2,-1.467110634E0
9.208930340E-1,-7.463631630E-1,-4.136423171E-1,-5.939950943E-1
9.308930340E-1,6.347358227E-2,-1.053819656E0,1.692819595E-1
9.408930340E-1,7.556018233E-1,-1.342789292E0,4.838695526E-1
9.508930340E-1,8.384653330E-1,-1.350426555E0,7.349586487E-2
9.608930340E-1,6.723439693E-1,-1.144884944E0,1.878614426E-1
9.708930340E-1,1.156915426E-1,-1.976164281E-1,8.225955963E-1
9.808930340E-1,-2.774487734E-1,1.105996013E0,1.790596008E0
9.908930340E-1,-2.209627628E-2,1.771054983E0,2.445901871E0
1.000893034E0,-1.809263229E-2,1.564238667E0,2.192965508E0
1.010893034E0,-1.930088997E-1,1.028795481E0,1.426161766E0
1.020893034E0,-5.193240643E-1,4.868460000E-1,1.037277222E0
1.030893034E0,-1.212029576E0,3.478353024E-1,1.024615288E0
1.040893034E0,-1.764013171E0,8.619813621E-2,1.246691704E0
1.050893034E0,-1.401706696E0,-4.215781391E-1,1.011916161E0
1.060893034E0,-3.618598580E-1,-1.047161579E0,5.142145157E-1
1.070893034E0,4.739094675E-1,-1.676568389E0,5.547370911E-1
1.080893034E0,9.772816896E-1,-2.251067638E0,1.017359734E0
1.090893034E0,1.021388531E0,-2.648905754E0,1.149286270E0
1.100893034E0,3.263198137E-1,-2.360252857E0,2.201948166E-1
1.110893034E0,-7.403038740E-1,-1.499531746E0,-1.601598740E0
1.120893034E0,-1.362732053E0,-6.958414316E-1,-3.523932457E0
1.130893034E0,-1.146397948E0,-2.781996727E-1,-4.871864796E0
1.140893034E0,-7.509068251E-1,1.147483587E-1,-5.286248207E0
1.150893034E0,-6.237543821E-1,5.898733139E-1,-4.598615646E0
1.160893034E0,-5.318490267E-1,5.826754570E-1,-3.032328606E0
1.170893034E0,-4.832811058E-1,3.768531084E-1,-9.932250977E-1
1.180893034E0,-5.908247232E-1,8.684098721E-2,7.795381546E-1
1.190893034E0,-7.668986917E-1,-4.301320314E-1,1.766527176E0
1.200893034E0,-8.553984761E-1,-5.305972099E-1,2.033555031E0
1.210893034E0,-3.113667965E-1,-4.651858807E-1,1.493295670E0
1.220893034E0,4.729135334E-1,-3.886446953E-1,7.290916443E-1
1.230893034E0,7.728596330E-1,-1.391507387E-1,5.198764801E-2
1.240893034E0,7.759656906E-1,-1.023240089E-1,-2.115888596E-1
1.250893034E0,3.265413642E-1,-2.455401421E-2,6.270217896E-2
1.260893034E0,-8.180902898E-2,8.647203445E-3,4.444637299E-1
1.270893034E0,-5.333238095E-2,-2.930011749E-1,7.138748169E-1
1.280893034E0,1.267799884E-1,-4.670233727E-1,7.745981216E-1
1.290893034E0,-5.912682414E-2,-2.701265812E-1,8.443670273E-1
1.300893034E0,-1.631655544E-1,-7.974410057E-2,6.791543961E-1
1.310893034E0,-2.077976763E-1,5.537605286E-2,4.186735153E-1
1.320893034E0,7.314726710E-2,-2.222591639E-1,-1.161146164E-1
1.330893034E0,2.306067944E-1,-3.955969810E-1,-5.939712524E-1
1.340893034E0,6.494760513E-2,-2.497160435E-1,-9.904518127E-1
1.350893034E0,4.048832059E-1,1.022124290E-1,-1.124754906E0
1.360893034E0,3.301208615E-1,-1.944565773E-2,-1.207260132E0
1.370893034E0,3.309676647E-1,2.206194401E-1,-9.939594269E-1
1.380893034E0,3.235974610E-1,1.955139637E-1,-8.075952530E-1
1.390893034E0,3.021242917E-1,1.363260746E-1,-7.227210999E-1
1.400893034E0,2.147412598E-1,5.185294151E-2,-7.159500122E-1
1.410893034E0,1.386106610E-1,7.081747055E-3,-9.025688171E-1
1.420893034E0,1.295624226E-1,-4.526448250E-2,-1.226570129E0
1.430893034E0,9.183225036E-2,-1.129653454E-1,-1.364011765E0
1.440893034E0,1.819813997E-2,-1.065568924E-1,-1.210249901E0
1.450893034E0,-1.391727626E-1,-5.591368675E-2,-1.120795250E0
1.460893034E0,-1.573804319E-1,3.198862076E-2,-1.176882744E0
1.470893034E0,1.960719675E-1,-6.429958344E-2,-1.147489548E0
1.480893034E0,6.439923048E-1,-3.498699665E-1,-8.156690598E-1
1.490893034E0,1.011350513E0,-5.698912144E-1,-3.296499252E-1
1.500893034E0,1.312031031E0,-8.244061470E-1,-1.102647781E-1
1.510893034E0,1.515308022E0,-1.177049160E0,-1.139955521E-1
1.520893034E0,1.392499089E0,-1.307090044E0,-2.746934891E-1
1.530893034E0,9.808387160E-1,-1.123599291E0,-3.632249832E-1
1.540893034E0,4.904372990E-1,-6.366778612E-1,-3.444299698E-1
1.550893034E0,1.996143162E-1,-5.467653275E-1,-9.232683182E-1
1.560893034E0,8.235090226E-2,-4.950662851E-1,-1.116368294E0
1.570893034E0,-1.091267020E-1,-1.492512226E-2,-1.000267982E0
1.580893034E0,-3.033037484E-1,5.311670303E-1,-1.088690758E0
1.590893034E0,-3.358310759E-1,8.502796888E-1,-9.847469330E-1
1.600893034E0,-2.475151420E-2,9.054132700E-1,-8.002853394E-1
