"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.463517917E-1,-2.967722118E-1,-1.137771130E0,-2.690233588E-1
7.563787917E-1,-4.126124680E-1,-1.466966510E0,-2.793288827E-1
7.664047917E-1,-4.875900447E-1,-1.579876781E0,-1.581468284E-1
7.764307917E-1,-4.379903674E-1,-1.624563932E0,-1.258633193E-2
7.864567917E-1,-2.745993137E-1,-1.286048651E0,6.128389761E-2
7.964837917E-1,-6.059160084E-2,-4.303749502E-1,-9.270193055E-3
8.065097917E-1,7.963847369E-2,5.852627382E-2,-2.860780954E-1
8.165357917E-1,1.327278614E-1,8.466939628E-2,-7.632680535E-1
8.265627917E-1,2.411073297E-1,3.572575152E-1,-1.130847454E0
8.365887917E-1,4.393573105E-1,7.107580304E-1,-1.242934108E0
8.466147917E-1,4.976674914E-1,8.043665290E-1,-1.222285509E0
8.566407917E-1,4.035089016E-1,6.154510379E-1,-1.099334598E0
8.666677917E-1,3.373458385E-1,3.660284579E-1,-9.047156572E-1
8.766937917E-1,3.201628029E-1,1.174037904E-1,-6.921207905E-1
8.867197917E-1,3.170908391E-1,-6.391859800E-2,-4.838597178E-1
8.967467917E-1,3.768815696E-1,-1.847198159E-1,-2.986944318E-1
9.067727917E-1,4.383851290E-1,-1.236996055E-1,-2.121819109E-1
9.167987917E-1,4.906854928E-1,1.470544189E-1,-2.673468292E-1
9.268257917E-1,6.123070121E-1,5.487076044E-1,-4.381151199E-1
9.368517917E-1,8.415827751E-1,1.015349984E0,-6.365440488E-1
9.468777917E-1,1.093927383E0,1.520582318E0,-7.802453041E-1
9.569037917E-1,1.243330717E0,1.775556326E0,-8.249725103E-1
9.669307917E-1,1.227536321E0,1.606067896E0,-8.115355372E-1
9.769567917E-1,1.132916927E0,1.332283497E0,-7.185537815E-1
9.869827917E-1,1.023827672E0,1.133764744E0,-5.752847791E-1
9.970087917E-1,8.506219983E-1,1.047204018E0,-4.598572254E-1
1.007035792E0,6.669265032E-1,9.868928194E-1,-3.939064145E-1
1.017061792E0,6.009227037E-1,1.075710535E0,-4.961987138E-1
1.027087792E0,6.616366506E-1,1.240853906E0,-6.360762119E-1
1.037114792E0,7.270547748E-1,1.257996440E0,-7.047507763E-1
1.047140792E0,6.995709538E-1,1.239089251E0,-7.557023764E-1
1.057166792E0,6.144064069E-1,1.178068042E0,-7.682065964E-1
1.067193792E0,6.134524345E-1,1.040631294E0,-7.885515690E-1
1.077219792E0,6.631516218E-1,7.415624857E-1,-8.095391393E-1
1.087245792E0,5.829880834E-1,2.986521721E-1,-9.356653690E-1
1.097271792E0,4.721828997E-1,-7.073457539E-2,-9.870052934E-1
1.107298792E0,4.946330786E-1,-4.332070351E-1,-9.988989234E-1
1.117324792E0,5.255581737E-1,-6.954187155E-1,-9.482402205E-1
1.127350792E0,4.791046679E-1,-7.746035457E-1,-8.348335028E-1
1.137377792E0,3.343758583E-1,-6.704533696E-1,-7.508511543E-1
1.147403792E0,1.186739057E-1,-5.845270157E-1,-7.119231820E-1
1.157429792E0,-7.710651308E-2,-4.812301993E-1,-7.094699144E-1
1.167455792E0,-1.909976602E-1,-2.100053430E-1,-7.231348157E-1
1.177482792E0,-1.867691129E-1,1.206666976E-1,-8.046816587E-1
1.187508792E0,-1.434189677E-1,5.027770400E-1,-9.869558811E-1
1.197534792E0,-1.170013398E-1,9.537082314E-1,-1.174195647E0
1.207561792E0,-8.657365292E-2,1.328600287E0,-1.271315813E0
