"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.406791675E-3,2.158817162E0,-1.579096720E0,-1.042740984E0
1.443379169E-2,2.646305378E0,-1.009976988E0,-6.303590834E-1
2.445979169E-2,1.968141506E0,-1.014487823E0,-1.429117978E-1
3.448579169E-2,1.648650374E0,-8.869103479E-1,-1.574356967E-1
4.451279168E-2,2.066541228E0,-4.088101289E-1,1.357080281E-1
5.453879168E-2,2.118987975E0,-1.104246676E-1,1.612788377E0
6.456479168E-2,1.510713826E0,1.934770569E-1,3.062592049E0
7.459079169E-2,5.550228991E-1,4.617610520E-1,2.894025008E0
8.461779167E-2,5.840827569E-2,7.524697039E-1,1.702090563E0
9.464379167E-2,8.258424662E-2,1.053860926E0,4.964180839E-1
1.046697917E-1,3.509218899E-1,1.094408736E0,-3.894958985E-1
1.146957917E-1,7.531630374E-1,8.266369566E-1,-7.746373755E-1
1.247227917E-1,1.282453437E0,1.350958246E-1,-2.929320556E-1
1.347487917E-1,1.789540350E0,-6.300640914E-1,5.719664490E-1
1.447747917E-1,2.025652965E0,-1.309535401E0,7.287226993E-1
1.548017917E-1,2.212141284E0,-1.590908973E0,4.164960015E-1
1.648277917E-1,2.220824837E0,-1.095193432E0,5.389168167E-1
1.748537917E-1,1.630267897E0,-4.189793140E-1,8.022526056E-1
1.848797917E-1,9.820520018E-1,-6.836242944E-2,6.974716705E-1
1.949067917E-1,5.943505042E-1,1.280282950E-1,4.433920240E-1
2.049327917E-1,7.870239709E-1,3.541854402E-1,6.879535729E-1
2.149587917E-1,1.311586019E0,4.184638819E-1,9.878607720E-1
2.249857917E-1,1.717739466E0,2.477821952E-1,9.562425381E-1
2.350117917E-1,1.740099803E0,-8.383620858E-2,4.871280277E-1
2.450377917E-1,1.356785873E0,-3.982693532E-1,-1.108000588E-1
2.550637917E-1,9.403679323E-1,-5.301050627E-1,-4.283810520E-1
2.650907917E-1,6.954291650E-1,-5.672243571E-1,-6.778805745E-1
2.751167917E-1,6.385109791E-1,-4.959163928E-1,-8.051270968E-1
2.851427917E-1,5.416568220E-1,-4.580922166E-1,-5.110361230E-1
2.951697917E-1,9.079542578E-1,-4.737893593E-1,3.619584364E-1
3.051957917E-1,1.290164160E0,-5.049520952E-1,1.681348734E0
3.152217917E-1,1.443536773E0,-4.596236023E-1,3.353906180E0
3.252477917E-1,1.224483556E0,-7.410734805E-1,3.849198090E0
3.352747917E-1,4.841879746E-1,-1.850059910E0,2.925370177E0
3.453007917E-1,7.646824908E-1,-2.135805152E0,2.071259201E0
3.553267917E-1,3.412759575E-1,-2.235636127E0,3.942713195E-1
3.653537917E-1,-7.207161069E-2,-2.179597874E0,-9.589305031E-1
3.753797917E-1,6.346849997E-1,-2.310844477E0,-1.734054952E0
3.854057917E-1,1.434922655E0,-1.884996438E0,-2.433648577E0
3.954317917E-1,1.649848030E0,-6.753958002E-1,-2.349271501E0
4.054587917E-1,1.796276051E0,3.836475134E-1,-1.634157611E0
4.154847917E-1,1.827533511E0,8.475685269E-1,-1.388980350E0
4.255107917E-1,1.539828282E0,1.057959532E0,-1.084581320E0
4.355377917E-1,9.844434399E-1,1.059865432E0,-6.554927552E-1
4.455637917E-1,1.558847410E-1,5.961797690E-1,-5.037563396E-1
