Time (s),X,Y,Z,pca1,pca2,pca3
10.24923949,0.1141608096440666,0.1970272674126789,0.3545078163479532,0.06865551651385766,0.23389520309600947,0.38314411822710864
10.74923949,0.2448216502945033,0.0502865781768967,0.0400609373838777,0.23467955200619894,0.011743808589321662,0.13704108613548466
11.24923949,-0.1116248355370555,0.0787798593839577,-0.2520730589106055,-0.06813749488742941,-0.3313519160359766,0.0754343009486161
11.74923949,-0.118103000381978,0.0029773833733876,-0.0992352956870927,-0.10456886254158956,-0.16581986664821277,0.05495846317352255
12.24923949,0.2190705270759691,0.1553670857185427,9.026228269579216e-05,0.22407119330447525,-0.06392087615249269,0.22344135516774927
12.74923949,0.1297485830293288,-0.0913069941860129,0.1838561635209784,0.08745914805384611,0.17120440765021713,0.054179227531104976
13.24923949,0.318441456446731,-0.0002619051376504,0.0159118578276187,0.3068508068119919,0.01848702041482577,0.0795602881178785
13.74923949,-0.335604787690874,0.0906366066641099,0.1335906005752954,-0.3480595803895664,-0.015611490373039487,0.22033312537887406
14.24923949,-0.3662909017968007,0.0030920149976985,0.0173869048726133,-0.367130423982526,-0.10070772689557664,0.09990088103262149
14.74923949,-1.2433509850777316,0.0320858526958036,0.0469400731511877,-1.2327592625099366,-0.23564622039787175,0.15843923551527006
15.24923949,-0.6858632679407728,-0.6400784058312423,0.3001726066806844,-0.7778957003435721,0.3146152387816459,-0.4046198445043252
15.74923949,0.0528574902611973,0.0211762990956678,-0.2212826094047082,0.0843009188936515,-0.2553783769283668,0.0273592679477239
16.24923949,-0.1598571871469264,-0.2608976038689208,0.0267080904015474,-0.18668915971484257,0.029397294606655598,-0.15090963597680773
16.74923949,0.6169791603397191,0.1106600021734229,-0.3298124140782727,0.6638169030974419,-0.2868263490891549,0.06187823911514056
17.24923949,0.1704518666191904,0.0110111190994451,0.1374998146437224,0.14304283560510225,0.10209081670573844,0.13423189711486083
17.74923949,0.4133566458890563,-0.0880051503410492,-0.1254894930133263,0.41534687550907556,-0.0680616657909152,-0.05250045653653486
