"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717609381497202E9,"2024-06-05 19:43:01.497 UTC+02:00"
"PAUSE",9.289962114999944E2,1.717610310522305E9,"2024-06-05 19:58:30.522 UTC+02:00"
