"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717613859289695E9,"2024-06-05 20:57:39.290 UTC+02:00"
"PAUSE",1.504804590208340E3,1.717615364101696E9,"2024-06-05 21:22:44.102 UTC+02:00"
