"event","experiment time","system time","system time text"
"START",0.000000000E0,1717564073.892,"2024-06-05 07:07:53.892 UTC+02:00"
"PAUSE",3.263149581E2,1717564400.207,"2024-06-05 07:13:20.207 UTC+02:00"
