"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.529063300E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.529063300E-2,-8.976209164E-2,1.307902336E-1,5.358409882E-2
4.529063300E-2,1.064502001E-1,3.409719467E-2,4.023485184E-1
5.529063300E-2,1.797024012E-1,-2.001028061E-1,7.135782242E-1
6.529063300E-2,4.341495037E-1,-3.955705166E-1,8.719692230E-1
7.529063300E-2,4.802959561E-1,-4.499092102E-1,6.526012421E-1
8.529063300E-2,7.351593375E-1,-2.843708992E-1,3.136968613E-1
9.529063300E-2,7.314149141E-1,5.191373825E-2,-3.510904312E-1
1.052906330E-1,6.756353378E-1,3.426978588E-1,-9.249429703E-1
1.152906330E-1,-6.089937687E-2,1.110055447E-1,-1.722091675E0
1.252906330E-1,-4.788504839E-1,-3.546828032E-1,-1.253218651E0
1.352906330E-1,-8.455747366E-1,-8.036794662E-1,-1.232318878E-1
1.452906330E-1,-8.145233393E-1,-9.551801682E-1,9.254131317E-1
1.552906330E-1,-3.657175303E-1,-9.727654457E-1,1.391160965E0
1.652906330E-1,-2.011394501E-2,-1.143423080E0,1.618767738E0
1.752906330E-1,1.098955870E-1,-1.719098449E0,1.863978386E0
1.852906330E-1,3.055357933E-1,-2.310439825E0,2.037245750E0
1.952906330E-1,5.067093372E-1,-2.547867298E0,1.640472412E0
2.052906330E-1,6.979774237E-1,-2.483750820E0,4.007072449E-1
2.152906330E-1,7.725102901E-1,-2.272961378E0,-8.182191849E-1
2.252906330E-1,4.535974264E-1,-1.898432493E0,-1.782173157E0
2.352906330E-1,1.661678553E-1,-1.487873912E0,-2.613327980E0
2.452906330E-1,2.381685972E-1,-1.206312180E0,-3.137932777E0
2.552906330E-1,1.852155924E-1,-1.108596802E0,-3.239796638E0
2.652906330E-1,7.392287254E-3,-9.959483147E-1,-2.907962799E0
2.752906330E-1,-5.768948793E-1,-6.974457502E-1,-2.930792809E0
2.852906330E-1,-6.116000414E-1,-1.943097115E-1,-2.981094360E0
2.952906330E-1,-4.353408813E-1,-5.236905813E-2,-3.087341309E0
3.052906330E-1,-3.263798952E-1,5.250054598E-2,-2.919382572E0
3.152906330E-1,-3.344110250E-1,-1.193982363E-2,-2.368020058E0
3.252906330E-1,2.517150640E-1,-1.532182693E-1,-1.876478195E0
3.352906330E-1,2.429518700E-1,-1.079416275E-2,-1.726008415E0
3.452906330E-1,1.971493959E-1,1.818389297E-1,-1.220648766E0
3.552906330E-1,7.346904278E-2,3.274530768E-1,-6.833066940E-1
3.652906330E-1,1.093134880E-1,3.774012327E-1,-6.312894821E-1
3.752906330E-1,5.165930986E-1,1.645563245E-1,-7.048950195E-1
3.852906330E-1,8.808342218E-1,-1.616402864E-1,-8.490772247E-1
3.952906330E-1,1.253167033E0,-5.602332354E-1,-1.288923264E0
4.052906330E-1,1.610589504E0,-8.375088573E-1,-2.016184807E0
4.152906330E-1,1.887480736E0,-9.906928539E-1,-2.697372437E0
4.252906330E-1,1.999180555E0,-1.059814572E0,-2.976907253E0
4.352906330E-1,1.897197962E0,-9.572272897E-1,-3.164576530E0
4.452906330E-1,1.499464631E0,-8.247170448E-1,-3.197242737E0
4.552906330E-1,1.234235287E0,-6.279675961E-1,-3.152116776E0
4.652906330E-1,1.063405037E0,-6.032857895E-1,-2.943418026E0
4.752906330E-1,1.022018433E0,-6.890540719E-1,-2.413273335E0
4.852906330E-1,9.490453005E-1,-6.504667997E-1,-1.997340202E0
4.952906330E-1,9.252552390E-1,-3.969442844E-1,-1.760686874E0
5.052906330E-1,8.454048634E-1,-1.100828648E-1,-1.539783478E0
5.152906330E-1,8.355565071E-1,1.319682002E-1,-1.176836014E0
5.252906330E-1,8.832448125E-1,4.136001468E-1,-8.240785599E-1
5.352906330E-1,9.087245464E-1,5.460931659E-1,-5.033912659E-1
5.452906330E-1,7.194595933E-1,7.220291495E-1,-2.850446701E-1
5.552906330E-1,3.868103623E-1,9.160729647E-1,-1.330604553E-1
5.652906330E-1,1.986492276E-1,1.192475080E0,9.627342224E-3
5.752906330E-1,1.091683507E-1,1.518205166E0,4.298591614E-2
5.852906330E-1,-4.308879375E-3,1.716513515E0,-7.601261139E-2
5.952906330E-1,4.185390472E-2,1.865645885E0,-2.468156815E-1
6.052906330E-1,1.077817678E-1,1.959625840E0,-4.189462662E-1
6.152906330E-1,2.397027314E-1,2.266843081E0,-3.401994705E-1
6.252906330E-1,1.319319010E-2,2.470877647E0,9.342193604E-2
6.352906330E-1,-2.056336403E-1,2.437932968E0,9.147777557E-1
6.452906330E-1,-1.900266111E-1,1.820281029E0,1.939330101E0
6.552906330E-1,2.954924107E-1,1.007535338E0,2.607186317E0
6.652906330E-1,7.296763062E-1,5.679500103E-1,3.158816338E0
6.752906330E-1,1.060416818E0,-4.021959305E-1,3.462368965E0
6.852906330E-1,1.628989577E0,-7.172601223E-1,3.808181763E0
6.952906330E-1,1.543097377E0,-1.464810610E0,3.093199730E0
7.052906330E-1,1.620191693E0,-1.876807451E0,1.653147697E0
7.152906330E-1,2.027278423E0,-1.589127064E0,-5.441093445E-2
7.252906330E-1,1.498141527E0,-5.942438841E-1,-1.603383064E0
7.352906330E-1,7.331804037E-1,5.125505924E-1,-2.205015182E0
7.452906330E-1,8.202150464E-1,1.138056278E0,-1.115137100E0
7.552906330E-1,4.704499841E-1,1.005150080E0,4.960975647E-1
7.652906330E-1,3.760514259E-1,3.590309620E-1,1.213999748E0
7.752906330E-1,6.469035745E-1,-8.648002148E-2,1.787131310E0
7.852906330E-1,8.529000282E-1,-4.667239189E-1,1.725364685E0
7.952906330E-1,3.721792400E-1,-8.421158791E-1,1.503733635E0
8.052906330E-1,-3.158185184E-1,-1.139126778E0,1.161666870E0
8.152906330E-1,-8.833826780E-1,-1.587980747E0,1.174138069E0
8.252906330E-1,-9.651761055E-1,-1.835920453E0,1.687777519E0
8.352906330E-1,-8.350120783E-1,-1.792482615E0,2.042537689E0
8.452906330E-1,-5.542242527E-1,-1.671794534E0,1.856998444E0
8.552906330E-1,-3.548998833E-1,-1.627613783E0,1.292140961E0
8.652906330E-1,1.253468394E-1,-1.555697322E0,4.369516373E-1
8.752906330E-1,5.434910655E-1,-1.447807312E0,-4.054145813E-1
8.852906330E-1,6.980980635E-1,-1.380889416E0,-1.242759705E0
8.952906330E-1,5.185403228E-1,-1.452090979E0,-2.499457836E0
9.052906330E-1,1.650243998E-1,-1.426269412E0,-3.623000145E0
9.152906330E-1,-8.843243122E-4,-1.134949207E0,-4.240240574E0
9.252906330E-1,-5.714607835E-1,-8.350993991E-1,-4.368997097E0
9.352906330E-1,-1.247588277E0,-4.664992690E-1,-3.901027679E0
9.452906330E-1,-1.360032797E0,-2.878260016E-1,-3.619456768E0
9.552906330E-1,-1.058757901E0,-3.065763712E-1,-3.194741249E0
9.652906330E-1,-6.017989516E-1,-4.656204581E-1,-2.727476120E0
9.752906330E-1,6.908705831E-2,-7.554756403E-1,-2.276365757E0
9.852906330E-1,6.004197001E-1,-1.019518852E0,-1.874230385E0
9.952906330E-1,7.778135538E-1,-1.039858341E0,-1.514072418E0
