Time (s),Accelerometer_X,Accelerometer_Y,Accelerometer_Z,pca1,pca2,temp_Accelerometer_X_mean,temp_Accelerometer_X_max,temp_Accelerometer_X_min,temp_Accelerometer_X_std,temp_Accelerometer_X_median,temp_Accelerometer_X_sum,temp_Accelerometer_X_skew,temp_Accelerometer_X_kurt,temp_Accelerometer_X_exp_avg,Accelerometer_X_lag1,Accelerometer_X_lag2,temp_Accelerometer_Y_mean,temp_Accelerometer_Y_max,temp_Accelerometer_Y_min,temp_Accelerometer_Y_std,temp_Accelerometer_Y_median,temp_Accelerometer_Y_sum,temp_Accelerometer_Y_skew,temp_Accelerometer_Y_kurt,temp_Accelerometer_Y_exp_avg,Accelerometer_Y_lag1,Accelerometer_Y_lag2,temp_Accelerometer_Z_mean,temp_Accelerometer_Z_max,temp_Accelerometer_Z_min,temp_Accelerometer_Z_std,temp_Accelerometer_Z_median,temp_Accelerometer_Z_sum,temp_Accelerometer_Z_skew,temp_Accelerometer_Z_kurt,temp_Accelerometer_Z_exp_avg,Accelerometer_Z_lag1,Accelerometer_Z_lag2
10.2519140652,-3.9375436182751113,5.148173660708471,-6.799882786570818,-0.8591822336598698,-0.7237797252308722,,,,,,,,,-3.9375436182751113,,,,,,,,,,,5.148173660708471,,,,,,,,,,,-6.799882786570818,,
10.75318192,-3.976310356948752,6.088495292434601,-7.055854375196032,-0.9800883004301202,0.0754871271333073,,,,,,,,,-3.944592116215773,-3.9375436182751113,,,,,,,,,,5.319141230113221,5.148173660708471,,,,,,,,,,-6.8464230754117645,-6.799882786570818,
11.249437038163263,-5.231422598373039,5.551432899078779,-6.023045671804214,0.08074224925886675,0.24425143248143755,,,,,,,,,-4.178561294789821,-3.976310356948752,-3.9375436182751113,,,,,,,,,5.361376079016049,6.088495292434601,5.148173660708471,,,,,,,,,-6.6967180929376635,-7.055854375196032,-6.799882786570818
11.74569225,-3.4807167346889,5.3113709490449095,-7.250161479208236,-1.3230459820644258,-0.7982147094823366,,,,,,,,,-4.051680465680563,-5.231422598373039,-3.976310356948752,,,,,,,,,5.352284237203114,5.551432899078779,6.088495292434601,,,,,,,,,-6.797344163168676,-6.023045671804214,-7.055854375196032
12.24696011,-4.402064547049427,5.815455106347668,-7.173713224403258,-1.0944589492405106,0.13853403584786328,,,,,,,,,-4.1153866622930835,-3.4807167346889,-5.231422598373039,,,,,,,,,5.436497122502123,5.3113709490449095,5.551432899078779,,,,,,,,,-6.865774901574963,-7.250161479208236,-6.023045671804214
12.74822805,-4.947907203327256,5.313060003611264,-6.18578889973051,-0.1382637246926688,-0.08617516640302902,,,,,,,,,-4.266754033390206,-4.402064547049427,-3.4807167346889,,,,,,,,,5.414054009976512,5.815455106347668,5.3113709490449095,,,,,,,,,-6.74214108305779,-7.173713224403258,-7.250161479208236
13.24949632,-3.662284778847247,6.195742256076562,-6.916468715331039,-0.8568055716048928,-0.05308822748527042,,,,,,,,,-4.156850532564213,-4.947907203327256,-4.402064547049427,,,,,,,,,5.5561791456310665,5.313060003611264,5.815455106347668,,,,,,,,,-6.773837016198381,-6.18578889973051,-7.173713224403258
13.75076483,-4.34213375404016,6.112676302181148,-6.531257785110672,-0.4257519832338179,0.2290965387451287,,,,,,,,,-4.1905383910143845,-3.662284778847247,-4.947907203327256,,,,,,,,,5.65736044682199,6.195742256076562,5.313060003611264,,,,,,,,,-6.72973170145516,-6.916468715331039,-6.18578889973051
14.2520328968,-4.1034122970380285,5.48560664120626,-6.49127425078357,-0.49359742632383163,-0.4109092385718114,,,,,,,,,-4.174697283018683,-4.34213375404016,-3.662284778847247,,,,,,,,,5.626132482164585,6.112676302181148,6.195742256076562,,,,,,,,,-6.686375801333052,-6.531257785110672,-6.916468715331039
14.75330103,-4.826520403013347,6.454695906988707,-6.2948095853029375,-0.10149743226546004,0.7495254898214618,-4.291031629160127,-3.4807167346889,-5.231422598373039,0.5704428839504836,-4.2227730255390945,-42.91031629160127,-0.3049307257158193,-0.9080748849797509,-4.293210577563167,-4.1034122970380285,-4.34213375404016,5.747670901767837,6.454695906988707,5.148173660708471,0.44727141356075917,5.683444002713223,57.47670901767837,0.19521184163885016,-1.4558057029869407,5.776780377587152,5.48560664120626,6.112676302181148,-6.672225677344128,-6.023045671804214,-7.250161479208236,0.42969436399518546,-6.665570285840745,-66.72225677344129,0.10312775188169174,-1.4221824576263893,-6.615181943873031,-6.49127425078357,-6.531257785110672
