"event","experiment time","system time","system time text"
"START",0.000000000E0,1717671307.273,"2024-06-06 12:55:07.273 UTC+02:00"
"PAUSE",1.303206493E3,1717672610.479,"2024-06-06 13:16:50.479 UTC+02:00"
