"event","experiment time","system time","system time text"
"START",0.000000000E0,1717743870.408,"2024-06-07 09:04:30.408 UTC+02:00"
"PAUSE",1.020273194E3,1717744890.681,"2024-06-07 09:21:30.681 UTC+02:00"
"START",1.020273194E3,1717744959.366,"2024-06-07 09:22:39.366 UTC+02:00"
"PAUSE",1.208497396E3,1717745147.590,"2024-06-07 09:25:47.590 UTC+02:00"
