Time (s),X,Y,Z,pca1,pca2,pca3,temp_X_mean,temp_X_max,temp_X_min,temp_X_std,temp_X_median,temp_X_sum,temp_X_skew,temp_X_kurt,X_lag1,X_lag2,temp_Y_mean,temp_Y_max,temp_Y_min,temp_Y_std,temp_Y_median,temp_Y_sum,temp_Y_skew,temp_Y_kurt,Y_lag1,Y_lag2,temp_Z_mean,temp_Z_max,temp_Z_min,temp_Z_std,temp_Z_median,temp_Z_sum,temp_Z_skew,temp_Z_kurt,Z_lag1,Z_lag2
10.25486818,-0.7765776401042045,-0.3241489838402815,9.270848930675092,-0.28325442149082936,-0.9588501502968132,-0.4820190213387914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.75486818,-1.9001198150550849,-0.3051056078433853,9.49087099787171,-1.2604198526533987,-1.5532831238160787,-0.42801402851312,,,,,,,,,-0.7765776401042045,,,,,,,,,,-0.3241489838402815,,,,,,,,,,9.270848930675092,
11.25486818,-2.299541918358289,-0.968294892894352,9.264512787226929,-1.2588499727555924,-2.2436763977218663,-0.8450880588274376,,,,,,,,,-1.9001198150550849,-0.7765776401042045,,,,,,,,,-0.3051056078433853,-0.3241489838402815,,,,,,,,,9.49087099787171,9.270848930675092
11.75486818,-3.027720814625225,-1.0102409144328102,9.50538646816406,-1.8658489221270012,-2.699238320632523,-0.7265987609326832,,,,,,,,,-2.299541918358289,-1.9001198150550849,,,,,,,,,-0.968294892894352,-0.3051056078433853,,,,,,,,,9.264512787226929,9.49087099787171
12.25486818,-2.8860240269158584,-0.6722793525759385,8.786481817546353,-1.906376761208787,-2.164287725627878,-1.3293468416290848,,,,,,,,,-3.027720814625225,-2.299541918358289,,,,,,,,,-1.0102409144328102,-0.968294892894352,,,,,,,,,9.50538646816406,9.264512787226929
12.75486818,-1.6656320495265633,-1.1278010932517797,9.117091057057385,-0.6307514657855607,-2.026024420611812,-0.9295688180747543,,,,,,,,,-2.8860240269158584,-3.027720814625225,,,,,,,,,-0.6722793525759385,-1.0102409144328102,,,,,,,,,8.786481817546353,9.50538646816406
13.25486818,-0.3645401300293056,-0.7822523710218872,9.772392175702551,0.2974908735103553,-1.2650374310715171,-0.03462266338039477,,,,,,,,,-1.6656320495265633,-2.8860240269158584,,,,,,,,,-1.1278010932517797,-0.6722793525759385,,,,,,,,,9.117091057057385,8.786481817546353
13.75486818,-1.7110497584176687,-1.0166175612140642,9.301602020015268,-0.729766344615987,-2.00321455722245,-0.7342623782646474,,,,,,,,,-0.3645401300293056,-1.6656320495265633,,,,,,,,,-0.7822523710218872,-1.1278010932517797,,,,,,,,,9.772392175702551,9.117091057057385
14.25486818,-1.939734183334121,-0.5272854338810582,8.220398775566661,-1.1599919501008922,-1.4322374592683143,-1.7087540584973873,,,,,,,,,-1.7110497584176687,-0.3645401300293056,,,,,,,,,-1.0166175612140642,-0.7822523710218872,,,,,,,,,9.301602020015268,9.772392175702551
14.75486818,2.373316299598934,-1.7211652438860454,10.965861611124645,3.1094034516851465,-1.0015085200489415,1.3164823181554954,-1.4197624036767387,2.373316299598934,-3.027720814625225,1.5659752456466416,-1.8055847867363768,-14.197624036767387,1.726325975017477,3.661610993694488,-1.939734183334121,-1.7110497584176687,-0.8455191454841602,-0.3051056078433853,-1.7211652438860454,0.4238818026789653,-0.8752736319581196,-8.455191454841602,-0.6710898700381809,0.8422744169959943,-0.5272854338810582,-1.0166175612140642,9.369544664095065,10.965861611124645,8.220398775566661,0.7065807427066115,9.28622547534518,93.69544664095065,0.9461828767834778,3.0019432783299798,8.220398775566661,9.301602020015268
