"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717612497107128E9,"2024-06-05 20:34:57.107 UTC+02:00"
"PAUSE",1.266212978541647E3,1.717613763297647E9,"2024-06-05 20:56:03.298 UTC+02:00"
