"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.546236600E-1,6.078104675E-2,3.016144931E-1,3.701840639E-1
8.646236600E-1,-4.428769648E-2,5.054906011E-2,3.207040131E-1
8.746236600E-1,-5.467239767E-2,-6.001746282E-2,2.638935745E-1
8.846236600E-1,-3.390299529E-2,-1.467602700E-1,2.101374865E-1
8.946236600E-1,-1.985310577E-2,-4.240928590E-1,1.802051067E-1
9.046236600E-1,-4.184423760E-2,-6.776017547E-1,2.131918073E-1
9.146236600E-1,-6.872228533E-2,-7.026472092E-1,2.907716334E-1
9.246236600E-1,-7.544180006E-2,-7.130318880E-1,3.628536761E-1
9.346236600E-1,6.994401664E-2,-7.185297012E-1,3.866774142E-1
9.446236600E-1,2.098320574E-1,-7.649554014E-1,3.207040131E-1
9.546236600E-1,2.098320574E-1,-7.649554014E-1,3.207040131E-1
9.646236600E-1,2.098320574E-1,-7.649554014E-1,3.207040131E-1
9.746236600E-1,5.574141145E-1,-1.013577342E0,-7.880155742E-2
9.846236600E-1,5.916225314E-1,-1.060003161E0,-2.596175373E-1
9.946236600E-1,5.916225314E-1,-1.097876668E0,-4.324922562E-1
1.004623660E0,5.916225314E-1,-1.097876668E0,-4.324922562E-1
1.014623660E0,5.916225314E-1,-1.097876668E0,-4.324922562E-1
1.024623660E0,5.916225314E-1,-1.097876668E0,-4.324922562E-1
1.034623660E0,5.916225314E-1,-1.097876668E0,-4.324922562E-1
1.044623660E0,2.434296161E-1,-1.647044182E0,-6.230821013E-1
1.054623660E0,1.524107605E-1,-1.834579706E0,-5.595521331E-1
1.064623660E0,6.872228533E-2,-1.981798053E0,-4.593703151E-1
1.074623660E0,6.872228533E-2,-1.981798053E0,-4.593703151E-1
1.084623660E0,-1.023198515E-1,-1.913992047E0,1.893680729E-2
1.094623660E0,-1.029307172E-1,-1.722791433E0,8.918625861E-2
1.104623660E0,-9.743293375E-2,-1.482721567E0,7.024945319E-2
1.114623660E0,-9.987638891E-2,-1.226158381E0,-1.466075517E-2
1.124623660E0,-1.084285006E-1,-9.628756046E-1,-1.197294965E-1
1.134623660E0,-1.194240674E-1,-6.885973215E-1,-2.095266134E-1
1.144623660E0,-8.521563560E-2,-1.693622619E-1,-2.748891413E-1
1.154623660E0,-3.940077871E-2,3.711003438E-2,-2.675587833E-1
1.164623660E0,1.374445762E-2,1.922696829E-1,-2.419024557E-1
1.174623660E0,8.826996386E-2,2.484692484E-1,-1.973093301E-1
1.184623660E0,1.658497900E-1,2.148716897E-1,-1.490510106E-1
1.194623660E0,2.196058929E-1,1.385135949E-1,-1.166751757E-1
1.204623660E0,2.550360560E-1,2.733619884E-2,-1.014035568E-1
1.214623660E0,3.020726442E-1,-2.341139317E-1,-7.086031139E-2
1.224623660E0,3.039052188E-1,-3.000873327E-1,-5.070177838E-2
1.234623660E0,2.861901522E-1,-2.970330119E-1,-3.726275265E-2
1.244623660E0,2.330449075E-1,-2.078467458E-1,-4.092793912E-2
1.254623660E0,1.566868126E-1,-9.728021920E-2,-6.475166976E-2
1.264623660E0,8.032871783E-2,-2.275471389E-2,-9.224057943E-2
1.274623660E0,1.985310577E-2,-2.519817278E-2,-1.099556610E-1
1.284623660E0,7.024944760E-3,-2.487746775E-1,-6.047561392E-2
1.294623660E0,5.955931544E-2,-3.678933084E-1,2.565632015E-2
1.304623660E0,1.316413581E-1,-4.393644929E-1,9.468404204E-2
1.314623660E0,1.915061027E-1,-4.344775677E-1,1.148425788E-1
1.324623660E0,2.110537887E-1,-3.092502952E-1,6.475166976E-2
1.334623660E0,2.147189677E-1,-1.088866442E-1,-2.260199748E-2
1.344623660E0,2.318231910E-1,1.440113783E-1,-1.307250559E-1
1.354623660E0,3.961458206E-1,6.705768108E-1,-3.115410507E-1
1.364623660E0,3.961458206E-1,6.705768108E-1,-3.115410507E-1
1.374623660E0,3.961458206E-1,6.705768108E-1,-3.115410507E-1
1.384623660E0,3.961458206E-1,6.705768108E-1,-3.115410507E-1
1.394623660E0,9.349285364E-1,1.225242019E0,-3.585776389E-1
1.404623660E0,1.065042734E0,1.373682141E0,-3.255909383E-1
1.414623660E0,1.179885268E0,1.602756500E0,-2.877173126E-1
1.424623660E0,1.179885268E0,1.602756500E0,-2.877173126E-1
1.434623660E0,1.179885268E0,1.602756500E0,-2.877173126E-1
1.444623660E0,1.179885268E0,1.602756500E0,-2.877173126E-1
1.454623660E0,1.236084938E0,3.749182522E-1,-9.712749720E-2
1.464623660E0,9.941824079E-1,-9.666935354E-2,-1.783725172E-1
1.474623660E0,7.834340930E-1,-8.384118974E-2,-2.773326039E-1
1.484623660E0,5.824595690E-1,-5.085449293E-2,-3.567450345E-1
1.494623660E0,5.824595690E-1,-5.085449293E-2,-3.567450345E-1
1.504623660E0,5.824595690E-1,-5.085449293E-2,-3.567450345E-1
1.514623660E0,-8.032871783E-2,-1.162170246E-1,-3.982838392E-1
1.524623660E0,-1.676823795E-1,-1.198822111E-1,-3.414734006E-1
1.534623660E0,-2.251036763E-1,-1.528689116E-1,-2.755000293E-1
1.544623660E0,-2.483165264E-1,-1.785252392E-1,-2.021962404E-1
1.554623660E0,-2.544251680E-1,-1.180496216E-1,-1.502727419E-1
1.564623660E0,-2.544251680E-1,-1.180496216E-1,-1.502727419E-1
1.574623660E0,-2.489273995E-1,2.661843300E-1,-1.606574357E-1
1.584623660E0,-2.715294063E-1,3.651444316E-1,-2.101374865E-1
1.594623660E0,-3.069595397E-1,3.584249020E-1,-2.651153207E-1
1.604623660E0,-3.546070158E-1,2.735147178E-1,-3.145953715E-1
1.614623660E0,-4.053087831E-1,1.354592592E-1,-3.463603258E-1
1.624623660E0,-4.566214085E-1,-3.252854943E-2,-3.549124300E-1
1.634623660E0,-5.262600183E-1,-3.049742281E-1,-2.516762912E-1
1.644623660E0,-5.580250025E-1,-3.966039717E-1,-1.631008983E-1
1.654623660E0,-5.867356062E-1,-4.607447684E-1,-7.513637096E-2
1.664623660E0,-5.934551358E-1,-4.980075061E-1,1.160643063E-2
