"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.681083480E-1,-7.758088112E-1,-1.675202399E-1,1.257824898E0
7.781083480E-1,-7.007794380E-1,-2.702661455E-1,7.246675491E-1
7.881083480E-1,-6.910603046E-1,-1.641787589E-1,5.272302628E-1
7.981083480E-1,-1.000359297E0,-2.404936254E-1,2.692909241E-1
8.081083480E-1,-6.982200146E-1,-7.490128279E-1,-1.490335464E-1
8.181083480E-1,-5.028758049E-1,-1.022958398E0,-6.349649429E-1
8.281083480E-1,-4.490809441E-1,-1.164871454E0,-9.179658890E-1
8.381083480E-1,-4.000461102E-1,-1.079607606E0,-9.882278442E-1
8.481083480E-1,-2.244858742E-1,-1.002224445E0,-9.640398026E-1
8.581083480E-1,-7.294201851E-2,-9.323445559E-1,-8.185691833E-1
8.681083480E-1,3.413558006E-2,-9.109662771E-1,-4.126062393E-1
8.781083480E-1,4.548072815E-2,-7.941272855E-1,-1.464815140E-1
8.881083480E-1,2.918369770E-1,-4.510467649E-1,5.800914764E-2
8.981083480E-1,-3.597366810E-1,-3.081035912E-1,-2.834224701E-1
9.081083480E-1,-1.323905230E0,1.398549378E-1,-5.595359802E-1
9.181083480E-1,-1.292753220E0,3.486425281E-1,-1.425685883E-1
9.281083480E-1,-6.776394844E-1,5.188027024E-1,1.497783661E-1
9.381083480E-1,1.492350101E-1,4.665796161E-1,1.891870499E-1
9.481083480E-1,3.742623329E-1,1.187778115E-1,3.023033142E-1
9.581083480E-1,3.332319260E-1,-2.536911368E-1,5.881977081E-2
9.681083480E-1,3.252613544E-1,-5.498210788E-1,-3.330297470E-1
9.781083480E-1,5.999063253E-1,-6.252955794E-1,-6.596908569E-1
9.881083480E-1,9.356224537E-1,-7.251487374E-1,-9.671239853E-1
9.981083480E-1,1.164628744E0,-8.383015990E-1,-1.173805237E0
1.008108348E0,1.174339533E0,-8.060151339E-1,-1.276561737E0
1.018108348E0,1.037571549E0,-9.818308949E-1,-1.509212494E0
1.028108348E0,9.560227394E-1,-1.275585890E0,-1.841259003E0
1.038108348E0,8.358064294E-1,-1.499304891E0,-2.045344353E0
1.048108348E0,6.519576311E-1,-1.605991364E0,-2.181399345E0
1.058108348E0,4.307609200E-1,-1.555922389E0,-2.358620644E0
1.068108348E0,2.054501772E-1,-1.324121237E0,-2.496678352E0
1.078108348E0,2.757677436E-1,-9.156290293E-1,-2.114664078E0
1.088108348E0,6.570907235E-1,-3.791984320E-1,-1.343380928E0
1.098108348E0,1.317696929E0,-2.627599239E-2,-5.797367096E-1
1.108108348E0,1.970136523E0,1.015573740E-1,9.774208069E-3
1.118108348E0,2.102972507E0,-2.461656928E-2,1.147193909E-1
1.128108348E0,1.695265174E0,-2.775893807E-1,-1.098613739E-1
1.138108348E0,1.148061395E0,-4.589238465E-1,-1.632146835E-1
1.148108348E0,6.776094437E-1,-4.081300795E-1,1.330318451E-1
1.158108348E0,2.693938017E-1,-1.430627406E-1,3.277635574E-1
1.168108348E0,-1.075719148E-1,2.384245992E-1,7.605676651E-1
1.178108348E0,-2.926720381E-1,4.403804243E-1,9.528188705E-1
1.188108348E0,-2.439318299E-1,4.083582163E-1,7.685394287E-1
1.198108348E0,-9.077394009E-2,2.660824060E-1,6.272506714E-1
1.208108348E0,-4.316547513E-2,2.149484754E-1,5.531063080E-1
1.218108348E0,-1.392902136E-1,3.052646518E-1,3.876590729E-1
1.228108348E0,-1.435215175E-1,4.735021591E-1,3.148422241E-1
1.238108348E0,-1.686969995E-1,4.941682816E-1,-2.076005936E-1
1.248108348E0,-2.039585263E-2,3.533095121E-1,-5.898904800E-1
1.258108348E0,7.872608304E-2,2.539664507E-1,-5.838327408E-1
1.268108348E0,-1.574117690E-2,2.044805884E-1,-2.090911865E-1
1.278108348E0,-2.368566692E-1,1.890396476E-1,3.799543381E-1
1.288108348E0,-5.974930525E-1,2.661001682E-1,7.691221237E-1
1.298108348E0,-7.201050520E-1,3.491638303E-1,9.097700119E-1
1.308108348E0,-2.969832122E-1,2.684531808E-1,5.763568878E-1
1.318108348E0,2.437176108E-1,2.030579448E-1,-3.255748749E-2
1.328108348E0,7.077914476E-1,1.474115252E-1,-2.550964355E-1
1.338108348E0,8.816180229E-1,5.000895262E-2,2.447128296E-2
1.348108348E0,8.360925317E-1,-2.290054560E-1,5.381536484E-1
1.358108348E0,7.076622844E-1,-5.837875605E-1,8.073568344E-1
1.368108348E0,3.216409683E-1,-7.589122653E-1,6.357431412E-1
1.378108348E0,7.734759152E-2,-7.609055638E-1,1.469449997E-1
1.388108348E0,-6.000506878E-2,-7.062392831E-1,-2.040967941E-1
1.398108348E0,1.155533195E-1,-6.832501888E-1,-6.451129913E-2
1.408108348E0,1.128560305E-1,-5.652953386E-1,1.191711426E-1
1.418108348E0,2.918880582E-1,-4.287011623E-1,3.954601288E-1
1.428108348E0,3.018934131E-1,-4.543447495E-2,5.306348801E-1
1.438108348E0,1.158658266E-1,3.667278290E-1,2.228078842E-1
1.448108348E0,3.727651834E-1,4.293327332E-1,-1.696109772E-2
1.458108348E0,3.260016441E-3,1.080969930E0,-1.583921432E0
1.468108348E0,-1.371805668E-1,1.641043305E0,-2.159548759E0
1.478108348E0,-1.568603516E-2,1.830433607E0,-1.854532242E0
1.488108348E0,3.610754013E-2,1.583513260E0,-1.561287880E0
1.498108348E0,-1.053423882E-1,1.156210899E0,-1.417055130E0
1.508108348E0,-1.503410339E-1,6.960847378E-1,-1.282577515E0
1.518108348E0,-1.634018421E-1,2.478601933E-1,-1.214429855E0
1.528108348E0,-2.935786247E-1,-2.724933624E-2,-1.091040611E0
1.538108348E0,-4.738343954E-1,2.553880215E-2,-7.834415436E-1
1.548108348E0,-5.003510714E-1,1.432000399E-1,-4.651222229E-1
1.558108348E0,-2.730706930E-1,1.473394632E-1,-2.453851700E-1
1.568108348E0,6.939220428E-2,8.408975601E-2,-2.823238373E-1
1.578108348E0,3.678570986E-1,-5.989587307E-2,-4.561271667E-1
1.588108348E0,4.905050397E-1,-2.058982849E-1,-6.167650223E-1
1.598108348E0,4.412380457E-1,-2.998758554E-1,-1.006304741E0
1.608108348E0,2.867925167E-1,-2.957534790E-1,-1.383929253E0
1.618108348E0,5.902051926E-2,-2.698993683E-1,-1.517806053E0
1.628108348E0,-3.152971268E-1,-6.517732143E-2,-1.471584320E0
1.638108348E0,-5.933495760E-1,1.784254313E-1,-1.338061333E0
1.648108348E0,-7.077977657E-1,3.932253122E-1,-1.128477097E0
1.658108348E0,-8.701878786E-1,6.496363878E-1,-8.156013489E-1
1.668108348E0,-8.313876390E-1,7.119544744E-1,-3.425416946E-1
1.678108348E0,-4.158917665E-1,4.258325100E-1,1.804895401E-1
1.688108348E0,-1.231600046E-1,1.918674707E-1,6.306924820E-1
1.698108348E0,-1.610451937E-1,2.481009960E-1,7.944536209E-1
1.708108348E0,-2.395620346E-1,3.728507757E-1,7.349090576E-1
1.718108348E0,-4.788470268E-2,3.895580769E-1,6.835289001E-1
1.728108348E0,3.999151587E-1,2.760297060E-1,7.052545547E-1
1.738108348E0,7.128702402E-1,1.673966646E-1,8.658342361E-1
1.748108348E0,6.171048880E-1,2.462537289E-1,1.312841415E0
1.758108348E0,4.610653222E-1,2.016414404E-1,1.436880112E0
1.768108348E0,2.794935107E-1,1.498936415E-1,1.468620300E0
1.778108348E0,-1.013641357E-1,2.471976280E-1,1.526575089E0
1.788108348E0,-4.128505588E-1,2.752999067E-1,1.390193939E0
1.798108348E0,-3.312836885E-1,1.064686775E-1,1.180609703E0
1.808108348E0,-1.699643731E-1,3.096210957E-2,9.765386581E-1
1.818108348E0,-9.356307983E-2,8.519947529E-2,6.521759033E-1
1.828108348E0,1.095473766E-3,1.609675884E-1,3.032159805E-1
