"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.922799620E-1,-3.919443607E0,0.000000000E0,9.963713646E0
8.022799620E-1,-3.749552965E0,-4.139583111E-1,9.616754532E0
8.122799620E-1,-3.749552965E0,-4.139583111E-1,9.616754532E0
8.222799620E-1,-3.510270834E0,-8.877372146E-1,8.760123253E0
8.322799620E-1,-3.534198999E0,-9.475577474E-1,8.551948547E0
8.422799620E-1,-3.519842148E0,-8.303094506E-1,8.499305725E0
8.522799620E-1,-3.519842148E0,-8.303094506E-1,8.499305725E0
8.622799620E-1,-3.519842148E0,-8.303094506E-1,8.499305725E0
8.722799620E-1,-3.519842148E0,-8.303094506E-1,8.499305725E0
8.822799620E-1,-3.165704250E0,-2.464607358E-1,9.463613510E0
8.922799620E-1,-2.615355253E0,-3.062812984E-1,9.564111710E0
9.022799620E-1,-3.749552965E0,2.392822690E-2,8.965906143E0
9.122799620E-1,-4.405186653E0,4.091726840E-1,8.961120605E0
9.222799620E-1,-4.405186653E0,4.091726840E-1,8.961120605E0
9.322799620E-1,-4.405186653E0,4.091726840E-1,8.961120605E0
9.422799620E-1,-4.405186653E0,4.091726840E-1,8.961120605E0
9.522799620E-1,-4.405186653E0,4.091726840E-1,8.961120605E0
9.622799620E-1,-2.311466694E0,-1.914258115E-2,9.511469841E0
9.722799620E-1,-2.158325911E0,-1.746760458E-1,9.226723671E0
9.822799620E-1,-1.777867198E0,-1.818545163E-1,8.949156761E0
9.922799620E-1,-1.777867198E0,-1.818545163E-1,8.949156761E0
1.002279962E0,-8.877372146E-1,-2.536391914E-1,8.465806961E0
1.012279962E0,-8.925228715E-1,-3.278166950E-1,8.271987915E0
1.022279962E0,-8.518448472E-1,-5.551348329E-1,8.042277336E0
1.032279962E0,-7.872386575E-1,-8.063812256E-1,7.764709473E0
1.042279962E0,-7.776673436E-1,-9.643075466E-1,7.623532772E0
1.052279962E0,-7.704889178E-1,-1.055234790E0,7.523034573E0
1.062279962E0,-8.398807645E-1,-8.303094506E-1,7.195217609E0
1.072279962E0,-6.867401004E-1,-5.479564071E-1,7.451249599E0
1.082279962E0,-2.297109663E-1,-7.178468257E-2,8.030312538E0
1.092279962E0,3.637090325E-1,3.206382394E-1,8.767302513E0
1.102279962E0,1.158126116E0,5.335994363E-1,9.406186104E0
1.112279962E0,1.763510346E0,5.766702294E-1,9.832108498E0
1.122279962E0,1.864008784E0,4.163511395E-1,9.839286804E0
1.132279962E0,1.095912814E0,-1.196411345E-2,9.528220177E0
1.142279962E0,6.723831892E-1,-3.110669367E-2,9.810572624E0
1.152279962E0,3.254238665E-1,1.555334777E-1,9.968499184E0
1.162279962E0,-7.178468257E-2,4.761717021E-1,1.026042366E1
1.172279962E0,-3.517449200E-1,7.824530005E-1,1.064088249E1
1.182279962E0,-4.929214716E-1,9.164510965E-1,1.069830990E1
1.192279962E0,-4.163511395E-1,8.757730722E-1,1.049491978E1
1.202279962E0,-2.105683982E-1,7.417750359E-1,1.035613632E1
1.212279962E0,-2.727817893E-1,8.135597110E-1,1.014078236E1
1.222279962E0,-2.727817893E-1,8.135597110E-1,1.014078236E1
1.232279962E0,-2.727817893E-1,8.135597110E-1,1.014078236E1
1.242279962E0,-2.368894368E-1,1.095912814E0,9.360722542E0
1.252279962E0,-6.939185411E-2,9.619147182E-1,9.116654396E0
1.262279962E0,-2.392822644E-3,9.068797827E-1,9.186046600E0
1.272279962E0,-2.392822644E-3,9.068797827E-1,9.186046600E0
1.282279962E0,-2.392822644E-3,9.068797827E-1,9.186046600E0
1.292279962E0,-2.392822644E-3,9.068797827E-1,9.186046600E0
1.302279962E0,-5.288137794E-1,1.002592683E0,1.058106136E1
1.312279962E0,-6.939185411E-2,9.451649189E-1,1.013599682E1
1.322279962E0,4.331009090E-1,9.164510965E-1,9.623932838E0
1.332279962E0,8.327022791E-1,8.877372146E-1,9.504291534E0
1.342279962E0,8.327022791E-1,8.877372146E-1,9.504291534E0
1.352279962E0,8.327022791E-1,8.877372146E-1,9.504291534E0
1.362279962E0,8.327022791E-1,8.877372146E-1,9.504291534E0
1.372279962E0,0.000000000E0,1.651047617E-1,1.017906761E1
1.382279962E0,-3.134597540E-1,2.249253243E-1,9.724431038E0
1.392279962E0,-4.666004181E-1,3.732803464E-1,9.509077072E0
1.402279962E0,-3.900300860E-1,4.642075896E-1,9.683753014E0
1.412279962E0,-3.900300860E-1,4.642075896E-1,9.683753014E0
