Time (s),acc_mean_X (m/s^2),acc_mean_Y (m/s^2),acc_mean_Z (m/s^2),Time (s),gyro_mean_X (rad/s),gyro_mean_Y (rad/s),gyro_mean_Z (rad/s),Time (s),lin_acc_mean_X (m/s^2),lin_acc_mean_Y (m/s^2),lin_acc_mean_Z (m/s^2),label
46.74727995999999,0.1006409246739035,2.8746397734877247,9.24200927096842,46.74962366,-0.0786951565086507,-0.0489356572858539,-0.0175634682988113,46.74810739,0.0445464819031993,0.354835023875919,-0.1017591450929703,1
515.25164338,-0.1946808541911092,-3.4695384523034254,9.595471788530608,515.254152,-0.0003570409764399,-0.014881555524049,-0.0030659047960866,515.254152,-0.0370528345310886,-1.6614516186692458,-0.0453756881105034,0
78.74851733999999,0.0983908895025031,-7.364662021236564,-5.817343073910959,78.75353035500001,-0.0874472648455603,-0.4151252980872574,0.0624088336417456,78.75353035500001,-0.9486531416688356,0.2520093125509116,0.1159227854864562,2
536.753259932,-3.1643452961383947,4.395682244884452,-8.109050694024473,536.745739596,0.3576467864146962,0.1304055673257258,-0.2205245200791181,536.745739596,0.4286122381705392,-1.9859162416407925,-1.716344525011455,5
1134.746461,0.169873428439339,0.1758149421745965,9.81906889031649,1134.753179,0.1473150751665434,-0.1875094195781,0.0755672549248352,1134.74924,0.122930473658885,0.0228430002472401,0.0781312788017061,2
552.74757178,3.542730926356765,-7.904392715777568,-4.5314811227033,552.75258556,-0.0785295088716257,-0.0382535311689635,-0.0001224707116306,552.75258556,-0.1142412590004481,-0.0241212562380744,0.0227802561544879,2
212.25004457346935,-0.769107293463143,0.7534173953555762,9.792354070544189,212.2487904,-4.8678230933624766e-05,-0.0038352541829986,0.0021108557575082,212.2487904,-0.0035755204487341,0.0006958868812794,0.0413619944850086,7
300.2493311,-1.387051514925123,6.042182961165056,7.474240611434067,300.2476462,-0.013738619176675,-0.0048021641872475,0.0017456268049652,300.24692888913046,0.0025517875580283,-0.0008470316326124,0.0067845468701617,6
476.24591,-0.3675629974207671,3.481644868889104,9.060197080385432,476.2542272,-0.0198284618143001,0.0258622562027858,0.0197777205107979,476.2514237478261,0.1503292377957929,-0.8060534732014392,0.3415641521684391,6
378.7502178142857,-4.386832223979543,6.981080040603489,-4.995377859810162,378.74771052,-0.0914989596915586,0.1020599228403444,-0.0575699422600494,378.74771052,-0.4243733779845439,0.2623117873605918,0.8598148318872378,5
477.25122518000006,0.0708145925822256,-0.0374029265785414,9.6622910508793,477.25373369,-0.0013081596062481,4.817405845139095e-05,-0.0071356348295333,477.25373369,0.156206960590693,-0.4593367330009038,-0.1395919267422726,0
11.254697,-0.2838432965358908,2.023766054245405,9.547593724052495,11.251415280000002,-0.021669506417091,0.0168072136855371,0.0253604801706055,11.24829429,-0.0601171417865133,-0.0202814350279201,0.0958710730028196,6
772.74963922,-4.171465077849166,6.4948613047862525,-7.607235312726939,772.75214522,0.5426131073804001,0.63374087681328,-0.3676519046258353,772.75214522,-0.5674260019502697,-0.687339384283546,-2.0956783440030167,5
577.2493311,-2.669886971400216,5.2744363314137015,7.778977764347136,577.2476462,-0.0048940341596479,0.0112001318295422,0.0157153908755497,577.2496677533334,-0.007911339442493,0.03201525531647,0.0393333292072313,6
449.2464607,0.292145478717892,0.4099591782720473,9.615960843241044,449.2531794,-0.2123473565805158,0.0242658316112279,-0.0606997354338623,449.2542399,0.5841471942217321,0.0658378224508373,-0.0280227950939347,2
111.75062912,-4.656601691621346,5.632649159625006,-6.194854689278313,111.75313512,0.0990158832524578,0.015924200655061,-0.0566681143038216,111.75313512,-0.1823074727707213,0.0551088735668664,0.5122668669750082,5
681.7490429400001,-0.7365227157498027,-0.5703891885069825,9.656385294208212,681.75155172,-0.0127426682709822,-0.0060190472471037,0.0569385723507524,681.75155172,0.3737835466929444,0.4701799921315191,-0.0195710668668405,0
921.75253134,-5.661998323159374,7.05903412283044,-8.568382238745269,921.7500238795918,-0.1717158326603589,-0.0934397077852024,-0.1827987217763322,921.7500238795918,-1.146402525383794,0.859204505483417,-1.879634877863515,5
1126.246261,-0.5762018739673452,-0.5188780167014744,9.99758078408068,1126.253179,-0.0051282423615667,-0.2618030807003921,-0.0572717142504992,1126.24924,-0.1360762998944592,-0.2357973249692977,0.1692974899572386,2
405.74591,-1.0580422533453493,4.541891867718019,8.525540761191776,405.7542272,-0.0065719491663339,-0.0029764658138408,0.0044620593515576,405.7478517152174,-0.007663082092829,0.2667644384823064,-0.1133591207443736,6
863.2503745,0.534678834527634,4.939124938099715,8.239016331881158,863.2543193,-0.0339037588301674,-0.0601902830802483,-0.0096151203650031,863.2489032377779,0.0527513533775159,-0.3848052279773333,0.1826188365702061,6
390.2493311,0.0047884786170469,6.455722745866226,7.400751455794204,390.2476462,-0.0347431948362041,0.1004469329912463,0.1809826715750379,390.2511574888889,0.1745756164984556,0.1271082958859147,-0.0340976410159189,6
93.25424489,-0.9254223023047108,0.5805202700362717,9.828791498973878,93.24797791,-0.0066914601823408,0.0109583714913974,-0.0086340077750175,93.24797791,-0.4283897138961069,0.0690952962549178,0.0413798318944552,7
584.252841004,0.9594968028545569,-4.0229807408766245,9.60650242009206,584.2503350020407,0.0013346238847877,0.0070160163160851,-0.0709923644454953,584.2503350020407,2.111261863857233,-2.1409590329123533,0.0498582710315446,0
694.24642308,0.2766096884258582,-0.5512975375190243,9.825020576943082,694.2501820734693,8.068305748531395e-06,-0.0001406063245982,-0.0003682216547125,694.2501820734693,0.0068773053366672,0.0446309047175492,0.0369636226894804,0
