"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.500950110E-1,-1.521835208E0,4.206582069E0,8.408378601E0
8.600950110E-1,-1.497906923E0,4.149154663E0,8.441878319E0
8.700950110E-1,-1.426122308E0,4.010370731E0,8.551948547E0
8.800950110E-1,-1.383051515E0,3.857230186E0,8.685946465E0
8.900950110E-1,-1.454836130E0,3.742374659E0,8.733802795E0
9.000950110E-1,-1.469193101E0,3.670589924E0,8.877371788E0
9.100950110E-1,-1.378265858E0,3.704089403E0,8.977870941E0
9.200950110E-1,-1.344766378E0,3.742374659E0,9.059226990E0
9.300950110E-1,-1.335195065E0,3.842873096E0,9.040083885E0
9.400950110E-1,-1.191625714E0,3.857230186E0,8.968298912E0
9.500950110E-1,-9.332008362E-1,3.809373617E0,8.992227554E0
9.600950110E-1,-7.609176040E-1,3.723232031E0,8.987442017E0
9.700950110E-1,-6.987041831E-1,3.661018610E0,9.035298347E0
9.800950110E-1,-6.604190469E-1,3.493520975E0,9.073583603E0
9.900950110E-1,-7.274180651E-1,3.531806231E0,9.111868858E0
1.000095011E0,-7.561319470E-1,3.527020693E0,9.059226990E0
1.010095011E0,-7.034898400E-1,3.517449379E0,9.040083885E0
1.020095011E0,-6.412764788E-1,3.436093330E0,9.097511292E0
1.030095011E0,-5.934200287E-1,3.431307554E0,9.054440498E0
1.040095011E0,-4.977070987E-1,3.397808075E0,8.901300430E0
1.050095011E0,-4.163511395E-1,3.397808075E0,8.652446747E0
1.060095011E0,-3.732803464E-1,3.416950703E0,8.470592499E0
1.070095011E0,-4.163511395E-1,3.407379389E0,8.484949112E0
1.080095011E0,-4.929214716E-1,3.254238844E0,8.623732567E0
1.090095011E0,-3.541377485E-1,3.125026464E0,8.839086533E0
1.100095011E0,-3.062812984E-1,3.010170937E0,9.006584167E0
1.110095011E0,-2.201396823E-1,2.636890650E0,9.059226990E0
1.120095011E0,-1.292124242E-1,2.488535643E0,8.882157326E0
1.130095011E0,5.742774159E-2,2.603390932E0,8.796015739E0
1.140095011E0,1.148554832E-1,2.450250387E0,8.829515457E0
1.150095011E0,3.349951804E-1,2.239681959E0,8.958727837E0
1.160095011E0,5.407779217E-1,1.933400750E0,9.140582085E0
1.170095011E0,6.795616150E-1,2.076970100E0,9.475577354E0
1.180095011E0,8.374879360E-1,2.163111687E0,9.815358162E0
1.190095011E0,8.949156404E-1,2.081755638E0,1.002114105E1
1.200095011E0,8.183453679E-1,2.258824587E0,1.018385315E1
1.210095011E0,7.178468257E-2,2.445464849E0,1.020299530E1
1.220095011E0,-5.312066078E-1,2.790031195E0,1.046620655E1
1.230095011E0,-6.795616150E-1,3.029313564E0,1.068634605E1
1.240095011E0,-6.029912829E-1,3.244667530E0,1.094955635E1
1.250095011E0,-4.307080805E-1,3.225524902E0,1.079162979E1
1.260095011E0,-3.924229145E-1,3.019742250E0,1.055713367E1
1.270095011E0,-4.354937077E-1,2.857030153E0,1.035613632E1
1.280095011E0,-6.125625968E-1,2.785245657E0,1.008335495E1
1.290095011E0,-8.279166222E-1,2.761317253E0,9.609575272E0
1.300095011E0,-7.944171429E-1,2.909672260E0,9.140582085E0
1.310095011E0,-7.417750359E-1,2.780459881E0,8.614161491E0
1.320095011E0,-8.709874153E-1,3.081955671E0,8.173882484E0
1.330095011E0,-6.077769399E-1,3.196810961E0,8.317451477E0
1.340095011E0,-2.967100143E-1,3.038884640E0,8.451449394E0
1.350095011E0,-1.148554832E-1,2.813959360E0,8.561519623E0
1.360095011E0,1.627119333E-1,2.617748022E0,8.973084450E0
1.370095011E0,9.092725813E-2,2.612962246E0,9.260223389E0
1.380095011E0,-6.221338734E-2,2.665604353E0,9.332008362E0
1.390095011E0,-1.531406492E-1,2.823530674E0,9.485149384E0
1.400095011E0,-8.135596663E-2,2.967100143E0,9.609575272E0
1.410095011E0,9.571290575E-3,2.852244616E0,9.662218094E0
1.420095011E0,-2.871387079E-2,2.627319336E0,9.690931320E0
1.430095011E0,9.571290761E-2,2.589034081E0,9.662218094E0
1.440095011E0,3.780659735E-1,2.627319336E0,9.686145782E0
1.450095011E0,4.737788737E-1,2.622533560E0,9.566504478E0
1.460095011E0,6.699903607E-1,2.445464849E0,9.279366493E0
1.470095011E0,1.028913736E0,2.215753794E0,9.451649666E0
1.480095011E0,-2.440679073E-1,2.569891453E0,9.183652878E0
1.490095011E0,-9.667003751E-1,3.445664644E0,9.475577354E0
1.500095011E0,-4.785645306E-1,3.096312523E0,9.422935486E0
1.510095011E0,-9.571290575E-3,2.909672260E0,9.485149384E0
1.520095011E0,2.440679073E-1,2.727817774E0,9.379864693E0
1.530095011E0,3.589234054E-1,2.727817774E0,9.403793335E0
1.540095011E0,3.062812984E-1,2.828316450E0,9.408578873E0
1.550095011E0,2.249253243E-1,2.981456995E0,9.360722542E0
1.560095011E0,2.153540403E-1,3.148954630E0,9.351150513E0
1.570095011E0,3.110669553E-1,3.163311481E0,9.198010445E0
1.580095011E0,4.642075896E-1,3.163311481E0,9.116654396E0
