"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.403423550E-1,-4.588578939E-1,3.024168015E-1,-2.806873322E-1
8.512777200E-1,-3.843700886E-1,2.124333382E-1,-4.137697220E-1
8.622130840E-1,-3.513203859E-1,1.333439350E-1,-3.660783768E-1
8.731485010E-1,-2.795537710E-1,1.964402199E-2,-2.481403351E-1
8.840838650E-1,-2.738107443E-1,-1.093981266E-1,-1.308746338E-1
8.950192300E-1,-3.511462212E-1,-1.975870132E-1,-8.690834045E-2
9.059546470E-1,-3.241949081E-1,-1.972033978E-1,6.028556824E-2
9.168900110E-1,-2.693728209E-1,-1.210873127E-1,1.600904465E-1
9.278253760E-1,-2.901028395E-1,7.626771927E-3,1.361989975E-1
9.387607400E-1,-2.083219290E-1,6.759023666E-2,5.728530884E-2
9.496961570E-1,7.738769054E-3,4.568314552E-2,5.309009552E-2
9.606315220E-1,1.902239323E-1,-2.862024307E-2,5.210971832E-2
9.715668860E-1,2.386202812E-1,-1.030170918E-1,8.743000031E-2
9.825023030E-1,2.338150144E-1,-2.130782604E-1,1.269073486E-1
9.934376670E-1,1.383027434E-1,-1.591911316E-1,1.292877197E-1
1.004373032E0,8.828628063E-2,-1.308045387E-1,6.749725342E-2
1.015308397E0,1.299686432E-1,-1.658952236E-1,4.180049896E-2
1.026243813E0,1.754842401E-1,-1.892745495E-1,6.996631622E-2
1.037179178E0,2.296770811E-1,-1.880507469E-1,-6.229305267E-2
1.048114542E0,2.963851094E-1,-1.603419781E-1,-3.256587982E-1
1.059049907E0,3.339708447E-1,-1.212184429E-1,-5.260639191E-1
1.069985324E0,2.694921792E-1,-1.116473675E-1,-5.442838669E-1
1.080920688E0,2.191706002E-1,-2.051780224E-1,-4.165239334E-1
1.091856053E0,3.280192912E-1,-3.118665218E-1,-2.125558853E-1
1.102791470E0,3.533308506E-1,-4.346666336E-1,-4.200077057E-2
1.113726834E0,4.467679858E-1,-7.712631226E-1,-6.680774689E-2
1.124662199E0,5.583160520E-1,-7.604932785E-1,-2.476692200E-1
1.135597615E0,6.967356801E-1,-7.175321579E-1,-2.950820923E-1
1.146532980E0,8.204934597E-1,-8.710088730E-1,-2.207975388E-1
1.157468345E0,1.022526026E0,-1.033382893E0,-6.864547729E-2
1.168403709E0,1.210116744E0,-1.069857001E0,2.202491760E-1
1.179339126E0,1.366894484E0,-8.645009995E-1,5.841312408E-1
1.190274490E0,1.382126927E0,-8.552308083E-1,8.087472916E-1
1.201209855E0,1.194385290E0,-6.344621181E-1,9.350147247E-1
1.212145220E0,3.494774401E-1,-2.986567020E-1,9.851913452E-1
1.223080636E0,-1.729086936E-1,5.988979340E-2,1.220018387E0
1.234016001E0,-2.911085784E-1,3.442614079E-1,1.432795525E0
1.244951365E0,-2.354170084E-1,5.317025185E-1,1.605520248E0
1.255886782E0,-8.852472901E-2,4.024424553E-1,1.334708214E0
1.266822147E0,-8.919280767E-2,1.808998585E-1,1.090224266E0
1.277757511E0,-2.381269038E-1,5.915141106E-2,7.846469879E-1
1.288692876E0,-4.734132588E-1,-1.998686790E-2,3.412904739E-1
1.299628292E0,-5.191029310E-1,5.400490761E-2,-1.272144318E-1
1.310563657E0,-4.587931335E-1,-7.289648056E-2,-7.123699188E-1
1.321499022E0,-5.504338145E-1,1.273458004E-1,-1.105338097E0
1.332434386E0,-2.795215249E-1,2.674710751E-1,-9.565582275E-1
1.343369803E0,-2.086558938E-2,6.006932259E-2,-8.176307678E-1
1.354305167E0,2.492544800E-1,-1.861369610E-1,-5.567121506E-1
1.365240532E0,3.682389259E-1,-3.010170460E-1,-1.474132538E-1
1.376175949E0,2.020730823E-1,-2.534794807E-1,1.035881042E-2
1.387111313E0,3.853446245E-2,-1.210486889E-1,1.276893616E-1
1.398046678E0,3.984967619E-2,7.110500336E-2,2.798681259E-1
1.408982042E0,1.120145544E-1,1.244497299E-2,3.474254608E-1
1.419917459E0,7.502783090E-2,-2.131206989E-1,3.740043640E-1
1.430852824E0,1.719130576E-1,-2.702867985E-1,3.780832291E-1
1.441788188E0,3.942321539E-1,-2.293303013E-1,3.799543381E-1
1.452723553E0,5.107420683E-1,-2.933933735E-1,2.077436447E-1
1.463658970E0,9.231749177E-1,-5.032382011E-1,3.781414032E-2
1.474594334E0,3.707708716E-1,-7.892010212E-1,-1.009178162E-1
1.485529699E0,-7.007572651E-1,2.327837944E-1,1.062107086E-1
1.496465063E0,-7.908284664E-1,3.248822689E-1,1.003456116E-1
1.507400480E0,-3.567464948E-1,1.093356609E-1,1.869668961E-1
1.518335845E0,-2.955415845E-2,-1.464078426E-1,1.119537354E-1
1.529271209E0,8.955907822E-2,-2.132318020E-1,1.091585159E-1
1.540206626E0,1.929339767E-2,-1.330530643E-1,1.294898987E-1
1.551141990E0,-8.822524548E-2,-1.609086990E-3,9.367942810E-2
1.562077355E0,-1.337840259E-1,1.481924057E-1,5.974674225E-2
1.573012720E0,-9.038576484E-2,1.294047832E-1,-9.341049194E-2
1.583948136E0,5.396074057E-2,9.860110283E-2,-1.049995422E-1
1.594883501E0,2.016975880E-1,6.191635132E-2,1.817512512E-2
1.605818865E0,1.530246735E-1,-5.621838570E-2,8.085918427E-2
1.616754230E0,-7.774233818E-3,-1.007585526E-1,2.088165283E-2
1.627689647E0,-1.037698984E-2,-2.130985260E-2,-6.238174438E-2
1.638625011E0,9.933060408E-2,4.697585106E-2,-1.623859406E-1
1.649560376E0,1.412004232E-1,5.516886711E-2,-2.803764343E-1
1.660495740E0,1.126836538E-1,3.616905212E-2,-2.107696533E-1
1.671431157E0,1.241129637E-2,2.407908440E-2,-1.457567215E-1
