"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.499813130E-1,-1.382081509E-1,4.627300799E-2,1.162170246E-1
7.599813130E-1,-1.418733448E-1,8.292489499E-2,1.430950761E-1
7.699813130E-1,-1.369864196E-1,1.012508348E-1,1.724165827E-1
7.799813130E-1,-1.492037177E-1,1.354592592E-1,2.200640440E-1
7.899813130E-1,-1.565341055E-1,1.342375278E-1,2.664897740E-1
7.999813130E-1,-1.675296724E-1,1.207985133E-1,3.129154742E-1
8.099813130E-1,-1.834121495E-1,1.122464016E-1,3.813323379E-1
8.199813130E-1,-1.895207912E-1,1.073594838E-1,4.338667095E-1
8.299813130E-1,-1.907425225E-1,1.085812151E-1,4.790706933E-1
8.399813130E-1,-1.992946416E-1,1.293506175E-1,4.973966479E-1
8.499813130E-1,-2.249509543E-1,1.660024971E-1,5.059487820E-1
8.599813130E-1,-2.554942071E-1,1.757763475E-1,5.059487820E-1
8.699813130E-1,-2.762635946E-1,1.598938555E-1,5.035052896E-1
8.799813130E-1,-3.031416535E-1,1.244636998E-1,5.022835732E-1
8.899813130E-1,-3.263545036E-1,9.269873053E-2,5.083922148E-1
8.999813130E-1,-3.593412042E-1,5.849030241E-2,5.291616321E-1
9.099813130E-1,-3.764454126E-1,2.672533318E-2,5.462658405E-1
9.199813130E-1,-3.776671588E-1,-2.703076601E-2,5.682569742E-1
9.299813130E-1,-3.568977416E-1,-6.368265301E-2,5.975784659E-1
9.399813130E-1,-3.373500705E-1,-7.223475724E-2,6.220130324E-1
9.499813130E-1,-2.970330119E-1,-5.757400393E-2,6.342303753E-1
9.599813130E-1,-2.603811026E-1,-2.825249545E-2,6.268999577E-1
9.699813130E-1,-2.298378795E-1,8.399390616E-3,6.122392416E-1
9.799813130E-1,-2.188423127E-1,-1.527161949E-4,6.000219584E-1
9.899813130E-1,-2.225074917E-1,-3.680460155E-2,5.926915407E-1
9.999813130E-1,-2.420551628E-1,-6.612611562E-2,5.988001823E-1
1.009981313E0,-2.689332068E-1,-5.268708616E-2,6.085740328E-1
1.019981313E0,-2.921460867E-1,-3.817904973E-3,6.171261668E-1
1.029981313E0,-3.019199073E-1,1.572976820E-2,6.159043908E-1
1.039981313E0,-3.031416535E-1,3.039052337E-2,6.085740328E-1
1.049981313E0,-3.019199073E-1,5.360338464E-2,6.000219584E-1
1.059981313E0,-3.055851161E-1,8.659008145E-2,5.890263915E-1
1.069981313E0,-3.165806830E-1,1.354592592E-1,5.816959739E-1
1.079981313E0,-3.263545036E-1,1.647807807E-1,5.804742575E-1
1.089981313E0,-3.520108163E-1,1.745546162E-1,5.768090487E-1
1.099981313E0,-3.617846668E-1,1.415679157E-1,5.597048402E-1
1.109981313E0,-3.849975169E-1,8.170316368E-2,5.352702737E-1
1.119981313E0,-4.192059636E-1,3.161225095E-2,5.071704984E-1
1.129981313E0,-4.534143806E-1,2.550360374E-2,4.607447684E-1
1.139981313E0,-4.888445437E-1,2.794706449E-2,4.021017551E-1
1.149981313E0,-5.181660652E-1,1.939495653E-2,3.471239209E-1
1.159981313E0,-5.523744822E-1,-2.092211880E-2,2.725984156E-1
1.169981313E0,-5.792525411E-1,-7.467821985E-2,1.870773435E-1
1.179981313E0,-5.768090487E-1,-1.589775532E-1,8.445205539E-2
1.189981313E0,-5.682569742E-1,-1.931859851E-1,2.092211880E-2
1.199981313E0,-5.413789153E-1,-2.237292230E-1,-5.604684353E-2
1.209981313E0,-4.998401105E-1,-2.066250145E-1,-6.459894776E-2
1.219981313E0,-4.570795596E-1,-2.261726856E-1,-1.939495653E-2
1.229981313E0,-3.764454126E-1,-2.982547283E-1,4.902189970E-2
1.239981313E0,-2.945895493E-1,-3.190241456E-1,9.056070447E-2
1.249981313E0,-1.809686869E-1,-2.457203567E-1,9.666935354E-2
1.259981313E0,-6.490438432E-2,-7.467821985E-2,7.834340632E-2
1.269981313E0,8.048143238E-2,4.749473557E-2,6.001746282E-2
1.279981313E0,2.185368687E-1,-1.970038936E-2,5.757400393E-2
1.289981313E0,2.979492843E-1,-1.211039424E-1,7.345648855E-2
1.299981313E0,3.455967605E-1,-1.992946416E-1,1.052214578E-1
1.309981313E0,3.455967605E-1,-2.115119249E-1,1.211039424E-1
1.319981313E0,2.906189263E-1,-1.614210159E-1,1.394298822E-1
1.329981313E0,2.234237939E-1,-8.078686893E-2,1.540906429E-1
1.339981313E0,1.317940801E-1,-2.947422490E-2,1.711948514E-1
1.349981313E0,2.916879393E-2,-1.114828233E-2,1.773035079E-1
1.359981313E0,-3.802633286E-2,-3.191768378E-2,1.601992846E-1
1.369981313E0,-9.300415963E-2,-1.235474050E-1,1.235474050E-1
1.379981313E0,-1.162170246E-1,-1.870773435E-1,1.039997265E-1
1.389981313E0,-1.174387559E-1,-2.127336562E-1,9.544762224E-2
1.399981313E0,-9.911280870E-2,-2.176205814E-1,8.933897316E-2
1.409981313E0,-6.490438432E-2,-2.542724609E-1,8.445205539E-2
1.419981313E0,-2.458730713E-2,-2.762635946E-1,8.445205539E-2
1.429981313E0,8.399390616E-3,-2.664897740E-1,8.567378670E-2
1.439981313E0,5.726857483E-2,-2.469420880E-1,5.635227636E-2
1.449981313E0,9.514218569E-2,-2.347247899E-1,1.847865991E-2
1.459981313E0,1.391244531E-1,-2.249509543E-1,-6.337722391E-2
1.469981313E0,1.440113783E-1,-2.982547283E-1,-1.721111536E-1
1.479981313E0,3.039052337E-2,-2.664897740E-1,-2.784016132E-1
1.489981313E0,4.993819445E-2,-3.459021747E-1,-1.745546162E-1
1.499981313E0,7.070759684E-2,-4.179842174E-1,-6.459894776E-2
1.509981313E0,1.061377525E-1,-4.864010811E-1,5.039634649E-3
1.519981313E0,1.342375278E-1,-4.864010811E-1,5.039634649E-3
1.529981313E0,1.721111536E-1,-4.302015305E-1,-3.039052337E-2
1.539981313E0,2.026543915E-1,-3.972148299E-1,-5.604684353E-2
1.549981313E0,2.295324355E-1,-4.057669342E-1,-5.849030241E-2
1.559981313E0,2.380845547E-1,-4.509709179E-1,-4.382954910E-2
1.569981313E0,2.344193608E-1,-4.937314689E-1,-3.039052337E-2
1.579981313E0,2.246455252E-1,-5.022835732E-1,-2.550360374E-2
1.589981313E0,2.173151523E-1,-4.558578432E-1,-3.527744114E-2
1.599981313E0,2.136499584E-1,-3.923279047E-1,-5.726857483E-2
1.609981313E0,2.258672565E-1,-3.654498458E-1,-6.948586553E-2
1.619981313E0,2.393062711E-1,-3.129154742E-1,-5.726857483E-2
1.629981313E0,2.478583902E-1,-2.432768941E-1,-3.039052337E-2
1.639981313E0,2.503018379E-1,-1.931859851E-1,-1.817322709E-2
1.649981313E0,2.393062711E-1,-1.504254490E-1,-1.572976820E-2
1.659981313E0,2.246455252E-1,-1.357647032E-1,-1.450803876E-2
1.669981313E0,2.173151523E-1,-1.455385387E-1,-2.672533318E-2
1.679981313E0,1.965457499E-1,-1.235474050E-1,-1.695149764E-2
1.689981313E0,1.855501831E-1,-1.149952933E-1,-1.450803876E-2
1.699981313E0,1.818849891E-1,-1.101083755E-1,-2.061668597E-2
1.709981313E0,1.757763475E-1,-1.235474050E-1,-1.328630932E-2
1.719981313E0,1.733328849E-1,-1.308777779E-1,3.436114267E-2
1.729981313E0,1.696676910E-1,-1.113301069E-1,5.513054505E-2
1.739981313E0,1.574503928E-1,-1.015562713E-1,5.390881747E-2
1.749981313E0,1.354592592E-1,-8.933897316E-2,3.069595434E-2
1.759981313E0,1.159115955E-1,-6.246092543E-2,1.847865991E-2
1.769981313E0,8.292489499E-2,1.084284950E-2,1.847865991E-2
1.779981313E0,5.360338464E-2,3.894263133E-2,2.336557768E-2
1.789981313E0,7.177661173E-3,6.704241037E-2,2.947422490E-2
1.799981313E0,-3.558287397E-2,1.049160287E-1,2.825249545E-2
1.809981313E0,-9.056070447E-2,1.513417512E-1,2.092211880E-2
1.819981313E0,-1.406516135E-1,1.501200199E-1,1.481347065E-2
1.829981313E0,-1.748600453E-1,1.440113783E-1,2.596175298E-3
1.839981313E0,-1.956294477E-1,1.293506175E-1,-1.695149764E-2
1.849981313E0,-1.724165827E-1,1.476765573E-1,-6.948586553E-2
1.859981313E0,-1.345429718E-1,1.855501831E-1,-1.232419685E-1
1.869981313E0,-9.911280870E-2,1.440113783E-1,-1.391244531E-1
1.879981313E0,-4.657844082E-2,9.147699922E-2,-1.330158114E-1
1.889981313E0,-1.237001177E-2,5.604684353E-2,-1.000291109E-1
1.899981313E0,7.177661173E-3,5.849030241E-2,-8.048143238E-2
1.909981313E0,2.428187430E-2,8.659008145E-2,-7.192932814E-2
1.919981313E0,3.283398226E-2,6.337722391E-2,-7.070759684E-2
1.929981313E0,4.016435891E-2,2.183841541E-2,-5.849030241E-2
1.939981313E0,3.772090003E-2,3.512472380E-3,-4.260781780E-2
1.949981313E0,1.939495653E-2,-8.704823442E-3,-2.672533318E-2
1.959981313E0,-5.039634649E-3,-1.481347065E-2,-2.183841541E-2
1.969981313E0,-2.703076601E-2,-5.039634649E-3,-2.183841541E-2
1.979981313E0,-6.246092543E-2,9.621120058E-3,-2.183841541E-2
1.989981313E0,-1.015562713E-1,3.039052337E-2,-1.572976820E-2
1.999981313E0,-1.577558219E-1,4.993819445E-2,-1.450803876E-2
2.009981313E0,-1.882990748E-1,4.505127668E-2,-2.306014486E-2
2.019981313E0,-1.931859851E-1,-2.336557768E-2,-2.672533318E-2
2.029981313E0,-1.663079411E-1,-7.712167501E-2,-2.061668597E-2
2.039981313E0,-1.333212405E-1,-9.666935354E-2,-2.183841541E-2
2.049981313E0,-9.422589093E-2,-1.149952933E-1,-3.405570984E-2
2.059981313E0,-7.589995116E-2,-1.394298822E-1,-3.527744114E-2
2.069981313E0,-6.734783947E-2,-1.406516135E-1,-2.306014486E-2
2.079981313E0,-7.712167501E-2,-1.223256737E-1,-1.328630932E-2
2.089981313E0,-1.039997265E-1,-8.200860023E-2,-4.734201822E-3
2.099981313E0,-1.443168074E-1,-3.924806044E-2,-1.328630932E-2
2.109981313E0,-1.809686869E-1,-3.191768378E-2,-2.306014486E-2
2.119981313E0,-2.163988501E-1,-3.680460155E-2,-2.428187430E-2
2.129981313E0,-2.371682525E-1,-5.635227636E-2,-1.450803876E-2
2.139981313E0,-2.457203567E-1,-9.056070447E-2,2.596175298E-3
2.149981313E0,-2.396117151E-1,-9.056070447E-2,1.603520103E-2
2.159981313E0,-2.286161482E-1,-6.612611562E-2,2.703076601E-2
2.169981313E0,-2.005163580E-1,-1.481347065E-2,2.703076601E-2
2.179981313E0,-1.724165827E-1,2.550360374E-2,1.603520103E-2
2.189981313E0,-1.284343153E-1,2.794706449E-2,5.039634649E-3
2.199981313E0,-9.178243577E-2,1.084284950E-2,1.374445739E-3
2.209981313E0,-4.657844082E-2,-1.481347065E-2,-4.734201822E-3
2.219981313E0,-1.970038936E-2,-3.558287397E-2,-1.450803876E-2
2.229981313E0,1.069013379E-3,-6.368265301E-2,-2.794706449E-2
2.239981313E0,1.069013379E-3,-8.689551800E-2,-2.550360374E-2
2.249981313E0,-1.603520103E-2,-9.544762224E-2,-1.817322709E-2
2.259981313E0,-4.169152305E-2,-8.689551800E-2,-9.621120058E-3
2.269981313E0,-5.879573524E-2,-7.223475724E-2,-5.955931731E-3
2.279981313E0,-7.834340632E-2,-5.146535859E-2,1.527161949E-4
2.289981313E0,-9.056070447E-2,-4.046979174E-2,3.817904973E-3
2.299981313E0,-9.666935354E-2,-2.825249545E-2,8.704823442E-3
2.309981313E0,-9.056070447E-2,-2.214384824E-2,1.359174121E-2
2.319981313E0,-7.712167501E-2,-3.069595434E-2,1.237001177E-2
2.329981313E0,-4.169152305E-2,-4.291325063E-2,5.039634649E-3
2.339981313E0,-7.483093534E-3,-2.825249545E-2,1.527161949E-4
