"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.890676750E-1,5.187982321E-1,1.282745361E0,-1.607970715E0
7.990676750E-1,2.520096004E-1,1.202390075E0,-1.217044830E0
8.090676750E-1,-1.513433754E-1,9.490301609E-1,-1.107383728E0
8.190676750E-1,-5.561805964E-1,4.516111612E-1,-1.141689301E0
8.290676750E-1,-8.616421819E-1,1.767218113E-2,-1.227023125E0
8.390676750E-1,-1.078109860E0,-2.991970778E-1,-9.261007309E-1
8.490676750E-1,-8.876341581E-1,-1.729154587E-2,3.615198135E-1
8.590676750E-1,-6.691454649E-1,6.516296864E-1,1.025144577E0
8.690676750E-1,-8.338041306E-1,1.106117606E0,1.281787872E0
8.790676750E-1,-1.279126406E0,1.329102635E0,1.229022026E0
8.890676750E-1,-1.807766080E0,1.301646948E0,1.136701584E0
8.990676750E-1,-2.218858242E0,1.225980043E0,1.276767731E0
9.090676750E-1,-2.194747686E0,1.045690179E0,1.280635834E0
9.190676750E-1,-1.505943060E0,8.687651157E-1,1.077849388E0
9.290676750E-1,-6.302737594E-1,5.990521908E-1,9.843120575E-1
9.390676750E-1,-9.617692232E-2,2.356507778E-1,1.109246254E0
9.490676750E-1,2.494769096E-1,-6.387352943E-3,1.216559410E0
9.590676750E-1,5.200803280E-1,1.118898392E-2,1.237297058E0
9.690676750E-1,7.242900133E-1,1.893433332E-1,1.067230225E0
9.790676750E-1,8.107721806E-1,2.438446283E-1,6.955871582E-1
9.890676750E-1,1.085337877E0,5.589973927E-2,4.756603241E-1
9.990676750E-1,1.720052958E0,-2.204796076E-1,2.739820480E-1
1.009067675E0,2.270347118E0,-4.466208220E-1,3.284368515E-1
1.019067675E0,2.158155680E0,-6.490904689E-1,8.551902771E-1
1.029067675E0,1.454939961E0,-9.599391222E-1,1.482729912E0
1.039067675E0,8.803420067E-1,-1.258838654E0,1.772889137E0
1.049067675E0,5.595989227E-1,-1.384972095E0,1.826920509E0
1.059067675E0,2.210216522E-1,-1.428992987E0,2.102195740E0
1.069067675E0,-2.571041584E-1,-1.572746992E0,2.900444984E0
1.079067675E0,-1.684434414E-1,-1.896040678E0,3.523409843E0
1.089067675E0,3.934639692E-1,-2.093513966E0,3.397526741E0
1.099067675E0,8.761861324E-1,-1.888285160E0,2.956567764E0
1.109067675E0,7.243010998E-1,-1.618989825E0,1.967538834E0
1.119067675E0,2.939046621E-1,-1.133854270E0,1.047269821E0
1.129067675E0,-2.133798599E-1,-4.010353088E-1,1.404685974E-1
1.139067675E0,-5.701462030E-1,2.967235446E-1,-7.544450760E-1
1.149067675E0,-7.403736115E-1,5.949449539E-1,-1.240020752E0
1.159067675E0,-1.655982733E-1,4.904025495E-1,-1.109106064E0
1.169067675E0,1.141953468E-1,-1.915698647E-1,-8.182582855E-1
1.179067675E0,3.157148361E-1,-1.031121373E0,-5.100793839E-1
1.189067675E0,7.546844482E-1,-1.580476880E0,-3.452100754E-1
1.199067675E0,1.142274380E0,-1.749504685E0,-5.507583618E-1
1.209067675E0,1.363730431E0,-1.383120418E0,-8.108930588E-1
1.219067675E0,1.362118721E0,-8.530831337E-1,-9.090976715E-1
1.229067675E0,1.169997931E0,-3.636077940E-1,-1.011336327E0
1.239067675E0,6.716854572E-1,4.775561392E-3,-1.126199722E0
1.249067675E0,1.871943474E-2,2.522503734E-1,-1.705788612E0
1.259067675E0,-3.456935883E-1,4.984868765E-1,-2.229116440E0
1.269067675E0,-2.709873915E-1,7.538450956E-1,-2.461813927E0
1.279067675E0,1.640334129E-1,7.334722877E-1,-2.610630035E0
1.289067675E0,4.988451004E-1,4.492462277E-1,-2.918772697E0
1.299067675E0,5.655668974E-1,1.970313191E-1,-3.214152336E0
1.309067675E0,4.766856432E-1,1.588329077E-1,-3.292264462E0
1.319067675E0,1.415420771E-1,2.300742865E-1,-3.080408096E0
1.329067675E0,-4.112218618E-1,4.114826918E-1,-2.412811279E0
1.339067675E0,-1.182285070E0,5.454156995E-1,-1.525702000E0
1.349067675E0,-1.434384823E0,7.558316588E-1,-9.029092789E-1
1.359067675E0,-1.207349181E0,9.888876081E-1,-5.681076050E-1
1.369067675E0,-8.380488157E-1,1.057018995E0,-4.525022507E-1
1.379067675E0,-4.494822025E-1,1.013382912E0,-5.556726456E-1
1.389067675E0,-2.923012972E-1,8.813825846E-1,-7.000579834E-1
1.399067675E0,-2.260807753E-1,7.563247681E-1,-7.897367477E-1
1.409067675E0,-1.542732716E-1,7.912496328E-1,-7.610311508E-1
1.419067675E0,-3.228646517E-1,9.903179407E-1,-2.365741730E-1
1.429067675E0,-6.103484631E-1,1.160112143E0,4.533739090E-1
1.439067675E0,-1.023119926E0,1.095634937E0,8.876228333E-1
1.449067675E0,-1.453901649E0,9.434861541E-1,1.140271187E0
1.459067675E0,-1.615643978E0,5.844804049E-1,1.359738350E0
1.469067675E0,-1.391559124E0,1.918093562E-1,1.681703568E0
1.479067675E0,-1.020913959E0,-2.767778039E-1,2.335846901E0
1.489067675E0,-5.890285373E-1,-7.413010597E-1,2.691532135E0
1.499067675E0,-2.464388609E-1,-9.148186445E-1,2.829396248E0
1.509067675E0,8.901977539E-2,-7.565945983E-1,2.896810532E0
1.519067675E0,4.498903751E-1,-4.352786541E-1,2.872820854E0
1.529067675E0,8.142254353E-1,-1.492890120E-1,2.482704163E0
1.539067675E0,8.997220993E-1,6.880927086E-2,1.545974731E0
1.549067675E0,2.590962648E-1,7.473349571E-3,2.226991653E-1
1.559067675E0,-9.034973979E-1,-2.545263767E-1,-8.822517395E-1
1.569067675E0,-1.743212104E0,-3.966069818E-1,-7.754707336E-1
1.579067675E0,-1.744014263E0,-5.494729877E-1,5.275592804E-1
1.589067675E0,-1.152150512E0,-8.244941235E-1,2.305082321E0
1.599067675E0,-5.075483918E-1,-1.216656566E0,3.412608147E0
1.609067675E0,-7.609748840E-2,-1.677907228E0,3.488430977E0
1.619067675E0,1.584807634E-1,-2.103436947E0,2.688513756E0
1.629067675E0,2.341001034E-1,-2.333399057E0,1.641206741E0
1.639067675E0,1.759624481E-2,-2.387125015E0,9.985713959E-1
1.649067675E0,-3.519022465E-1,-2.528901577E0,3.677177429E-1
1.659067675E0,-6.901868582E-1,-2.504459858E0,-3.538866043E-1
1.669067675E0,-9.307196140E-1,-2.163247824E0,-1.058417320E0
1.679067675E0,-1.033247948E0,-1.587894678E0,-1.578490257E0
1.689067675E0,-1.071614027E0,-1.035914302E0,-1.686842918E0
1.699067675E0,-7.928449512E-1,-6.695154309E-1,-1.318365097E0
1.709067675E0,-3.604521751E-1,-5.094310641E-1,-6.529340744E-1
1.719067675E0,4.181599617E-2,-5.801380277E-1,-1.279878616E-1
1.729067675E0,3.544574976E-1,-7.440934181E-1,-6.284141541E-2
1.739067675E0,5.379430056E-1,-8.056257367E-1,-2.020759583E-1
1.749067675E0,5.426288843E-1,-7.305220962E-1,-5.902833939E-1
1.759067675E0,5.146248341E-1,-4.409031570E-1,-1.025908470E0
1.769067675E0,4.522145987E-1,-5.113041401E-2,-1.577284813E0
1.779067675E0,3.668628931E-1,2.643940449E-1,-2.106204987E0
1.789067675E0,2.794094086E-1,5.015084147E-1,-2.384174824E0
1.799067675E0,2.527239323E-1,6.344445944E-1,-2.418972969E0
1.809067675E0,2.668111324E-1,6.030675769E-1,-2.287882805E0
1.819067675E0,3.687683344E-1,4.486780167E-1,-2.151980400E0
1.829067675E0,5.291411877E-1,3.081628084E-1,-2.089868546E0
1.839067675E0,6.422735453E-1,2.312884927E-1,-2.056501389E0
1.849067675E0,7.027671337E-1,1.382293701E-1,-2.062384605E0
1.859067675E0,5.953476429E-1,1.263206005E-1,-1.844472885E0
1.869067675E0,3.284256458E-1,1.933821440E-1,-1.442981720E0
1.879067675E0,9.161353111E-3,3.671489954E-1,-8.841075897E-1
1.889067675E0,-1.144666672E-1,6.390575171E-1,-2.167024612E-1
1.899067675E0,-1.440168619E-1,7.944118977E-1,2.805356979E-1
1.909067675E0,-1.861778498E-1,8.087991476E-1,4.735002518E-1
1.919067675E0,-1.334637403E-1,6.949501038E-1,2.820014954E-1
1.929067675E0,9.183323383E-2,5.696653128E-1,-2.140283585E-1
1.939067675E0,-3.552818298E-2,5.226256847E-1,-2.284126282E-1
1.949067675E0,-2.731958032E-1,5.855261087E-1,1.038141251E-1
1.959067675E0,-3.990716934E-1,5.901373625E-1,7.272462845E-1
1.969067675E0,-4.287573099E-1,6.297212839E-1,1.463770866E0
1.979067675E0,-5.489079952E-1,6.032267809E-1,1.947957039E0
1.989067675E0,-4.743925333E-1,5.568052530E-1,1.938255310E0
1.999067675E0,-3.311252594E-1,6.017740965E-1,1.632706642E0
2.009067675E0,-3.291338682E-1,5.990726948E-1,1.042724609E0
2.019067675E0,-4.165307283E-1,5.917518139E-1,6.005764008E-1
2.029067675E0,-4.087101221E-1,4.723978043E-1,4.732341766E-1
2.039067675E0,-1.561030149E-1,3.046779633E-1,6.341724396E-1
2.049067675E0,6.417698860E-1,2.421622276E-1,7.645654678E-1
2.059067675E0,1.537059784E0,3.233292103E-1,7.319164276E-1
2.069067675E0,2.052296400E0,4.195998907E-1,8.694887161E-1
2.079067675E0,1.780498147E0,1.296324730E-1,1.176279068E0
2.089067675E0,1.214858770E0,-3.052241802E-1,1.114132881E0
2.099067675E0,8.157844543E-1,-6.882584095E-1,6.515645981E-1
2.109067675E0,8.953318596E-1,-8.377381563E-1,6.643533707E-1
2.119067675E0,7.803319693E-1,-9.309523702E-1,1.208672523E0
2.129067675E0,9.225788116E-1,-9.975529909E-1,2.169491768E0
2.139067675E0,1.191370130E0,-1.051175356E0,2.621595383E0
2.149067675E0,1.372685075E0,-1.130469561E0,2.534959793E0
2.159067675E0,1.345448375E0,-1.244082212E0,2.205254555E0
2.169067675E0,9.930359125E-1,-1.357889295E0,1.724815369E0
2.179067675E0,1.180904269E0,-1.454019666E0,1.016252518E0
2.189067675E0,1.474581718E0,-1.319243193E0,3.696107864E-1
2.199067675E0,1.337532043E0,-1.175757289E0,1.359024048E-1
2.209067675E0,9.460551739E-1,-1.059408426E0,2.445974350E-1
2.219067675E0,2.959697247E-1,-1.014879465E0,7.590579987E-1
2.229067675E0,-3.964803219E-1,-1.074170828E0,1.090276718E0
2.239067675E0,-7.721598148E-1,-1.142641425E0,1.078499794E0
2.249067675E0,-8.186819553E-1,-1.207688689E0,8.927669525E-1
2.259067675E0,-6.186851263E-1,-1.217695236E0,5.243110657E-1
2.269067675E0,-4.661700130E-1,-1.218961358E0,1.508522034E-2
2.279067675E0,-2.263432741E-1,-1.207386851E0,-5.660228729E-1
2.289067675E0,1.674358845E-1,-9.180498123E-1,-1.034663200E0
2.299067675E0,4.910116196E-1,-5.136429071E-1,-1.258817673E0
2.309067675E0,5.525557995E-1,-2.046852708E-1,-1.398139954E0
2.319067675E0,2.727301121E-1,-2.248805761E-2,-1.493714333E0
2.329067675E0,-2.369552851E-1,1.276813149E-1,-1.675305367E0
2.339067675E0,-7.565870285E-1,4.074578881E-1,-1.978528500E0
2.349067675E0,-7.394742966E-1,7.128872275E-1,-2.260680676E0
2.359067675E0,-1.164308786E0,9.629217982E-1,-2.652661324E0
2.369067675E0,-7.275483608E-1,1.298851371E0,-2.747677803E0
2.379067675E0,-1.970872879E-1,1.482602954E0,-2.594571114E0
2.389067675E0,-2.312572002E-1,1.314741015E0,-2.210945129E0
2.399067675E0,-5.495042801E-1,1.036526442E0,-1.683846951E0
2.409067675E0,-7.975925207E-1,8.118057847E-1,-1.148398399E0
2.419067675E0,-8.813586235E-1,8.128094077E-1,-6.866197586E-1
2.429067675E0,-8.378057480E-1,9.787953496E-1,-4.371767044E-1
2.439067675E0,-7.983160019E-1,1.168887258E0,-4.927825928E-1
2.449067675E0,-8.703775406E-1,1.211098671E0,-4.604024887E-1
2.459067675E0,-1.140969753E0,1.073905230E0,-2.525300980E-1
2.469067675E0,-1.295430303E0,8.395074606E-1,1.089763641E-2
2.479067675E0,-1.137427330E0,5.934418440E-1,-1.549720764E-2
2.489067675E0,-8.165185452E-1,4.156978130E-1,-2.195329666E-1
2.499067675E0,-6.094986200E-1,3.647528887E-1,-6.409444809E-1
2.509067675E0,-5.975511074E-1,3.693188429E-1,-1.359256744E0
2.519067675E0,-8.725311756E-1,4.222952127E-1,-2.097471714E0
2.529067675E0,-1.290041447E0,6.499394178E-1,-2.692583084E0
2.539067675E0,-1.618671179E0,9.445933104E-1,-2.595068455E0
2.549067675E0,-1.638709545E0,1.130131960E0,-1.773463726E0
2.559067675E0,-1.564883709E0,7.836569548E-1,-1.096714020E0
2.569067675E0,-1.458782196E0,3.278573751E-1,-8.210840225E-1
2.579067675E0,-1.483844042E0,1.325980425E-1,-7.997360229E-1
2.589067675E0,-1.495263457E0,1.603559256E-1,-6.593856812E-1
2.599067675E0,-1.063463569E0,3.605300188E-1,-1.659107208E-1
2.609067675E0,5.637145042E-2,7.894222736E-1,6.014270782E-1
2.619067675E0,1.078578353E0,1.295788407E0,1.259900093E0
2.629067675E0,1.012962461E0,1.383731604E0,1.532116890E0
2.639067675E0,-2.982616425E-1,9.426338673E-1,1.591305733E0
2.649067675E0,-1.866318583E0,3.048968315E-1,1.374876022E0
2.659067675E0,-3.103091002E0,-5.119955540E-2,1.993297577E0
2.669067675E0,-3.651505947E0,-4.753782749E-1,3.615196228E0
2.679067675E0,-2.519212008E0,-6.729755402E-1,4.863369942E0
2.689067675E0,-9.551697969E-1,-9.959647655E-1,5.176457405E0
2.699067675E0,7.402884960E-2,-1.693837881E0,4.860361099E0
2.709067675E0,3.339555264E-1,-2.132305861E0,4.114437103E0
2.719067675E0,5.986987352E-1,-2.040385008E0,3.508155823E0
2.729067675E0,6.604530811E-1,-1.709386468E0,2.876190186E0
2.739067675E0,4.236054420E-1,-1.534613132E0,1.690257072E0
2.749067675E0,1.352173090E-1,-1.426096320E0,2.350511551E-1
2.759067675E0,-8.202916980E-1,-1.358572841E0,-9.669189453E-1
2.769067675E0,-1.709391475E0,-1.271046877E0,-1.120984077E0
2.779067675E0,-1.595256567E0,-1.029496074E0,-1.110700607E0
2.789067675E0,-9.618659019E-1,-6.332191825E-1,-4.943132401E-1
2.799067675E0,-9.823632240E-2,-2.656679153E-1,7.140989304E-1
2.809067675E0,9.840998650E-1,-2.123520970E-1,1.181962967E0
2.819067675E0,1.424430132E0,-5.704552531E-1,8.672380447E-1
2.829067675E0,1.164831996E0,-1.019378901E0,6.157178879E-1
2.839067675E0,8.406960964E-1,-1.361065865E0,-4.925251007E-1
2.849067675E0,1.702961922E-1,-1.399676442E0,-1.212358475E0
2.859067675E0,-5.055961609E-1,-1.233817816E0,-1.532436371E0
2.869067675E0,-1.258044958E0,-9.936606884E-1,-2.265082359E0
2.879067675E0,-1.756950259E0,-8.222054839E-1,-2.671899796E0
2.889067675E0,-2.016508579E0,-8.316427469E-1,-2.723678589E0
2.899067675E0,-1.604302645E0,-8.849703074E-1,-2.520156860E0
2.909067675E0,-3.366029263E-1,-3.951338530E-1,-2.895078659E0
2.919067675E0,1.489342213E0,5.636481643E-1,-3.109580994E0
2.929067675E0,1.998287201E0,8.294858932E-1,-2.941502571E0
2.939067675E0,1.391856670E0,3.421545029E-1,-2.885951519E0
2.949067675E0,8.080224991E-1,-1.222062111E-2,-2.693142891E0
2.959067675E0,2.443394661E-1,-1.893961430E-2,-2.351698399E0
2.969067675E0,3.272676468E-2,1.746565700E-1,-1.824473381E0
2.979067675E0,1.995851994E-1,2.558884025E-1,-1.078705311E0
2.989067675E0,4.498660564E-1,9.751760960E-2,-7.152452469E-1
2.999067675E0,9.207351208E-1,-4.667854309E-2,-7.935328484E-1
3.009067675E0,1.269792557E0,-1.748350859E-1,-1.921391487E0
3.019067675E0,1.240612745E0,-2.336276770E-1,-3.496469021E0
3.029067675E0,1.165163994E0,3.230082989E-2,-3.215265274E0
3.039067675E0,1.104993820E0,3.362923861E-1,-1.770992279E0
3.049067675E0,1.008104086E0,1.055267811E0,4.389734268E-1
3.059067675E0,4.237313271E-1,1.260217428E0,2.525531769E0
3.069067675E0,-7.928617001E-1,8.029365540E-2,1.905015945E0
3.079067675E0,1.975232363E-1,-2.517768145E-1,1.642996788E0
3.089067675E0,9.801089764E-1,-2.131285667E-1,1.377344131E0
3.099067675E0,8.516267538E-1,-2.511751652E-1,4.728107452E-1
3.109067675E0,-6.277215481E-2,3.321452141E-1,7.498025894E-1
3.119067675E0,-3.597904444E-1,1.299491644E0,1.256663322E0
3.129067675E0,-3.284987211E-1,2.222432137E0,1.821674347E0
3.139067675E0,7.607626915E-2,2.837798357E0,1.712452888E0
3.149067675E0,6.127820015E-1,2.781562328E0,9.094772339E-1
3.159067675E0,1.150638580E0,2.330760241E0,3.202981949E-1
3.169067675E0,1.256994605E0,1.692154169E0,1.048396111E0
3.179067675E0,-4.667143345E0,1.148610592E0,4.057024002E0
3.189067675E0,-5.774794579E0,1.260993719E0,2.441730499E0
